Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
1084,55,,"Solange du fleißig lernst, wirst du die Prüfung bestehen.","Solange du fleißig lernst, wirst du die Prüfung bestehen.","As long as you study diligently, you will pass the exam.","Tant que vous étudiez avec diligence, vous réussirez l’examen.",solange,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: <i>Solange</i>,En première position : <i>Solange</i>,,,,<br><br>In first position: <i>Solange</i>,<br><br>En première position : <i>Solange</i>,"<br><br>solange = as long as, so long as ● Subordinating conjunction","<br><br>solange = as long as, so long as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>solange = as long as, so long as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>solange = as long as, so long as ● Subordinating conjunction"
1085,55,,"Wir bleiben draußen, solange es nicht regnet.","Wir bleiben draußen, solange es nicht regnet.",We will stay outside as long as it doesn’t rain.,Nous resterons dehors tant qu’il ne pleut pas.,solange,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>solange = as long as, so long as ● Subordinating conjunction","<br><br>solange = as long as, so long as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>solange = as long as, so long as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>solange = as long as, so long as ● Subordinating conjunction"
1086,55,,"Bisher hatte niemand an der Strategie gezweifelt, doch nun wurden erste Kritikpunkte laut.","Bisher hatte niemand an der Strategie gezweifelt, doch nun wurden erste Kritikpunkte laut.","Until now, nobody had doubted the strategy, but now the first criticisms were voiced.","Jusqu’à présent, personne n’avait douté de la stratégie, mais les premières critiques ont émergé.",bisher,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",In first position: <i>Bisher</i>,En première position : <i>Bisher</i>,,,,<br><br>In first position: <i>Bisher</i>,<br><br>En première position : <i>Bisher</i>,"<br><br>bisher = so far, until now ● Adverb","<br><br>bisher = so far, until now ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>bisher = so far, until now ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>bisher = so far, until now ● Adverb"
1087,55,,"Bisher lief das Projekt reibungslos, während sich unerwartete Probleme zeigten.","Bisher lief das Projekt reibungslos, während sich unerwartete Probleme zeigten.","Until now, the project had run smoothly, while unexpected problems appeared.","Jusqu’à présent, le projet se déroulait sans accroc, tandis que des problèmes inattendus sont apparus.",bisher,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",In first position: <i>Bisher</i>,En première position : <i>Bisher</i>,,,,<br><br>In first position: <i>Bisher</i>,<br><br>En première position : <i>Bisher</i>,"<br><br>bisher = so far, until now ● Adverb","<br><br>bisher = so far, until now ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>bisher = so far, until now ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>bisher = so far, until now ● Adverb"
1088,55,,"Bisher hatte er sich zurückgehalten, doch diesmal wollte er seine Meinung äußern./Bisher hatte er sich zurückgehalten, doch er wollte diesmal seine Meinung äußern.","Bisher hatte er sich zurückgehalten, doch diesmal wollte er seine Meinung äußern.","Until now, he had held back, but this time he wanted to express his opinion.","Jusqu’à présent, il s’était retenu, mais cette fois il voulait exprimer son opinion.",bisher,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",In first position: <i>Bisher</i>,En première position : <i>Bisher</i>,,,,<br><br>In first position: <i>Bisher</i>,<br><br>En première position : <i>Bisher</i>,"<br><br>bisher = so far, until now ● Adverb","<br><br>bisher = so far, until now ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>bisher = so far, until now ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>bisher = so far, until now ● Adverb"
1089,55,,"Er traf eine mutige Entscheidung, und seither verfolgt er seine Ziele mit größerer Konsequenz./Er traf eine mutige Entscheidung, und er verfolgt seither seine Ziele mit größerer Konsequenz.","Er traf eine mutige Entscheidung, und seither verfolgt er seine Ziele mit größerer Konsequenz.","He made a bold decision, and since then he has pursued his goals with greater consistency.","Il a pris une décision audacieuse, et depuis, il poursuit ses objectifs avec plus de constance.",seither,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>seither = since then, ever since ● Adverb","<br><br>seither = since then, ever since ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>seither = since then, ever since ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>seither = since then, ever since ● Adverb"
1090,55,,"Das Team wurde neu zusammengestellt, und seither arbeitet es deutlich effizienter./Das Team wurde neu zusammengestellt, und es arbeitet seither deutlich effizienter.","Das Team wurde zusammengestellt, und seither arbeitet es deutlich effizienter.","The team was reorganized, and since then it has worked much more efficiently.","L’équipe a été réorganisée, et depuis, elle travaille beaucoup plus efficacement.",seither,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>seither = since then, ever since ● Adverb","<br><br>seither = since then, ever since ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>seither = since then, ever since ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>seither = since then, ever since ● Adverb"
1091,55,,"Sie war überrascht, dass man in diesem Unternehmen so miteinander umgeht.","Sie war überrascht, dass man in diesem Unternehmen so miteinander umgeht.",She was surprised that people in this company treat each other like that.,Elle était surprise qu’on se comporte comme ça les uns avec les autres dans cette entreprise.,so,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>so = like that, that way ● Adverb","<br><br>so = like that, that way ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>so = like that, that way ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>so = like that, that way ● Adverb"
1092,55,,"Er zeigte mir seine Methode, und ich habe das Problem so gelöst.","Er zeigte mir seine Methode, und ich habe das Problem so gelöst.","He showed me his method, and that's how I solved the problem.","Il m'a montré sa méthode, et c'est ainsi que j'ai résolu le problème.",so,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>so = like that, that way ● Adverb","<br><br>so = like that, that way ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>so = like that, that way ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>so = like that, that way ● Adverb"
1093,55,,"Er liebt Abenteuerreisen, wohingegen seine Frau lieber am Strand entspannt.","Er liebt Abenteuerreisen, wohingegen seine Frau lieber am Strand entspannt.","He loves adventure travel, whereas his wife prefers relaxing on the beach.","Il aime les voyages d'aventure, tandis que sa femme préfère se détendre sur la plage.",wohingegen,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>wohingegen = whereas ● Subordinating conjunction,<br><br>wohingegen = whereas ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wohingegen = whereas ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wohingegen = whereas ● Subordinating conjunction"
1094,55,,"Das eine Hotel war sehr teuer, wohingegen das andere viel günstiger war.","Das eine Hotel war sehr teuer, wohingegen das andere viel günstiger war.","One hotel was very expensive, whereas the other one was much cheaper.","Un hôtel était très cher, tandis que l’autre était beaucoup moins cher.",wohingegen,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>wohingegen = whereas ● Subordinating conjunction,<br><br>wohingegen = whereas ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wohingegen = whereas ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wohingegen = whereas ● Subordinating conjunction"
1095,55,,"Ich mag moderne Kunst, wohingegen mein Bruder klassische Malerei bevorzugt.","Ich mag moderne Kunst, wohingegen mein Bruder klassische Malerei bevorzugt.","I like modern art, whereas my brother prefers classical painting.","J'aime l'art moderne, alors que mon frère préfère la peinture classique.",wohingegen,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>wohingegen = whereas ● Subordinating conjunction,<br><br>wohingegen = whereas ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wohingegen = whereas ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wohingegen = whereas ● Subordinating conjunction"
1096,55,,"Wir fahren in den Urlaub, auch wenn das Wetter schlecht ist.","Wir fahren in den Urlaub, auch wenn das Wetter schlecht ist.","We go on vacation, even if the weather is bad.",Nous partons en vacances même si le temps est mauvais.,auch wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>auch wenn = even if ● Subordinating conjunction,<br><br>auch wenn = even if ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>auch wenn = even if ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>auch wenn = even if ● Subordinating conjunction"
1097,55,,"Ich esse das Gericht, auch wenn ich es nicht mag.","Ich esse das Gericht, auch wenn ich es nicht mag.",I eat the dish even if I don’t like it.,Je mange le plat même si je ne l’aime pas.,auch wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>auch wenn = even if ● Subordinating conjunction,<br><br>auch wenn = even if ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>auch wenn = even if ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>auch wenn = even if ● Subordinating conjunction"
1098,55,,"Immer wenn ich dieses Lied höre, denke ich an meine Kindheit.","Immer wenn ich dieses Lied höre, denke ich an meine Kindheit.","Whenever I hear this song, I think of my childhood.","Chaque fois que j'entends cette chanson, je pense à mon enfance.",immer wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: <i>Immer</i>,En première position : <i>Immer</i>,,,,<br><br>In first position: <i>Immer</i>,<br><br>En première position : <i>Immer</i>,"<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction"
1099,55,,"Er ist glücklich, immer wenn er seine Freunde trifft.","Er ist glücklich, immer wenn er seine Freunde trifft.",He is happy whenever he meets his friends.,Il est heureux à chaque fois qu'il rencontre ses amis.,immer wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction"
1100,55,,"Immer wenn es regnet, nehme ich meinen Regenschirm mit.","Immer wenn es regnet, nehme ich meinen Regenschirm mit.","Whenever it rains, I take my umbrella with me.","Chaque fois qu’il pleut, je prends mon parapluie avec moi.",immer wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: <i>Immer</i>,En première position : <i>Immer</i>,,,,<br><br>In first position: <i>Immer</i>,<br><br>En première position : <i>Immer</i>,"<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>immer wenn = everytime, whenever ● Subordinating conjunction"
1101,56,,"Ich werde dich besuchen, sobald ich Zeit habe.","Ich werde dich besuchen, sobald ich Zeit habe.",I will visit you as soon as I have time.,Je viendrai vous rendre visite dès que j'aurai le temps.,sobald,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>sobald = as soon as, whenever ● Subordinating conjunction","<br><br>sobald = as soon as, whenever ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>sobald = as soon as, whenever ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>sobald = as soon as, whenever ● Subordinating conjunction"
1102,56,,"Sobald sie die E-Mail gelesen hat, wird sie antworten.","Sobald sie die E-Mail gelesen hat, wird sie antworten.","As soon as she has read the email, she will reply.","Dès qu'elle aura lu l'e-mail, elle répondra.",sobald,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: <i>Sobald</i>,En première position : <i>Sobald</i>,,,,<br><br>In first position: <i>Sobald</i>,<br><br>En première position : <i>Sobald</i>,"<br><br>sobald = as soon as, whenever ● Subordinating conjunction","<br><br>sobald = as soon as, whenever ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>sobald = as soon as, whenever ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>sobald = as soon as, whenever ● Subordinating conjunction"
1103,56,,"Du kannst hier bleiben, solange du möchtest.","Du kannst hier bleiben, solange du möchtest.",You can stay here as long as you want.,Vous pouvez rester ici aussi longtemps que vous le souhaitez.,solange,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>solange = as long as, so long as ● Subordinating conjunction","<br><br>solange = as long as, so long as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>solange = as long as, so long as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>solange = as long as, so long as ● Subordinating conjunction"
1104,56,,"Solange das Wetter schön ist, gehen wir jeden Tag spazieren.","Solange das Wetter schön ist, gehen wir jeden Tag spazieren.","As long as the weather is nice, we go for a walk every day.","Tant qu'il fait beau, nous allons nous promener tous les jours.",solange,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: <i>Solange</i>,En première position : <i>Solange</i>,,,,<br><br>In first position: <i>Solange</i>,<br><br>En première position : <i>Solange</i>,"<br><br>solange = as long as, so long as ● Subordinating conjunction","<br><br>solange = as long as, so long as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>solange = as long as, so long as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>solange = as long as, so long as ● Subordinating conjunction"
1105,56,,"Er wird helfen, solange er Zeit hat.","Er wird helfen, solange er Zeit hat.",He will help as long as he has time.,Il aidera tant qu'il aura le temps.,solange,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>solange = as long as, so long as ● Subordinating conjunction","<br><br>solange = as long as, so long as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>solange = as long as, so long as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>solange = as long as, so long as ● Subordinating conjunction"
1106,56,,"Bisher war die Lösung überzeugend, aber sie funktioniert nicht mehr.","Bisher war die Lösung überzeugend, aber sie funktioniert nicht mehr.","Until now, the solution was convincing, but it no longer works.","Jusqu'à présent, cette solution était convaincante, mais elle ne fonctionne plus.",bisher,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",In first position: <i>Bisher</i>,En première position : <i>Bisher</i>,,,,<br><br>In first position: <i>Bisher</i>,<br><br>En première position : <i>Bisher</i>,"<br><br>bisher = so far, until now ● Adverb","<br><br>bisher = so far, until now ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>bisher = so far, until now ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>bisher = so far, until now ● Adverb"
1107,56,,"Bisher hatte man das Problem unterschätzt, weshalb drastische Maßnahmen notwendig wurden.","Bisher hatte man das Problem unterschätzt, weshalb drastische Maßnahmen notwendig wurden.","Until now, the problem had been underestimated, which is why drastic measures have become necessary.","Jusqu’à présent, on avait sous-estimé le problème, ce qui rend des mesures drastiques nécessaires.",bisher,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",In first position: <i>Bisher</i>,En première position : <i>Bisher</i>,,,,<br><br>In first position: <i>Bisher</i>,<br><br>En première position : <i>Bisher</i>,"<br><br>bisher = so far, until now ● Adverb","<br><br>bisher = so far, until now ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>bisher = so far, until now ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>bisher = so far, until now ● Adverb"
1108,56,,"Er hat die Firma vor zwei Jahren verlassen, und seither hat sich viel verändert.","Er hat die Firma vor zwei Jahren verlassen, und seither hat sich viel verändert.","He left the company two years ago, and since then much has changed.","Il a quitté l’entreprise il y a deux ans, et depuis, многое a changé.",seither,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>seither = since then, ever since ● Adverb","<br><br>seither = since then, ever since ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>seither = since then, ever since ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>seither = since then, ever since ● Adverb"
