Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
1402,72,B2,B1,B2,_____ Symptom,das,das Symptom,the symptom,le symptôme,die Symptome,<br><br>Plural: die Symptome,<br><br>Pluriel: die Symptome,,,<br><br>Plural: die Symptome,<br><br>Pluriel: die Symptome
1403,72,B2,B1,B2,_____ Top,das,das Top,the top,le haut,die Tops,<br><br>Plural: die Tops,<br><br>Pluriel: die Tops,,,<br><br>Plural: die Tops,<br><br>Pluriel: die Tops
1404,72,B2,B1,B2,_____ Verbreitung,die,die Verbreitung,the spread,l'étalement,die Verbreitungen,<br><br>Plural: die Verbreitungen,<br><br>Pluriel: die Verbreitungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Verbreitungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Verbreitungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1405,72,B2,B1,B2,_____ Vorhaben,das,das Vorhaben,the project,le projet,die Vorhaben,<br><br>Plural: die Vorhaben,<br><br>Pluriel: die Vorhaben,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Vorhaben<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Vorhaben<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
1406,72,B2,B1,B2,_____ Vorlage,die,die Vorlage,the template,le modèle,die Vorlagen,<br><br>Plural: die Vorlagen,<br><br>Pluriel: die Vorlagen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Vorlagen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Vorlagen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
1407,72,B2,B1,B2,_____ Anhänger,der,der Anhänger,the follower,le suiveur,die Anhänger,<br><br>Plural: die Anhänger,<br><br>Pluriel: die Anhänger,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Anhänger<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Anhänger<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
1408,72,B2,B1,B2,_____ Aufklärung,die,die Aufklärung,the Enlightenment,les Lumières,die Aufklärungen,<br><br>Plural: die Aufklärungen,<br><br>Pluriel: die Aufklärungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Aufklärungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Aufklärungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1409,72,B2,B1,B2,_____ Auflösung,die,die Auflösung,the resolution,la résolution,die Auflösungen,<br><br>Plural: die Auflösungen,<br><br>Pluriel: die Auflösungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Auflösungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Auflösungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1410,72,B2,B1,B2,_____ Bestellung,die,die Bestellung,the order,l'ordre,die Bestellungen,<br><br>Plural: die Bestellungen,<br><br>Pluriel: die Bestellungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Bestellungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Bestellungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1411,72,B2,B1,B2,_____ Bude,der,der Bude,the booth,le stand,die Buden,<br><br>Plural: die Buden,<br><br>Pluriel: die Buden,,,<br><br>Plural: die Buden,<br><br>Pluriel: die Buden
1412,72,B2,B1,B2,_____ Bündnis,das,das Bündnis,the alliance,l'alliance,die Bündnisse,<br><br>Plural: die Bündnisse,<br><br>Pluriel: die Bündnisse,Words finishing in <i>-nis</i> are mostly Neuter,Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres,<br><br>Plural: die Bündnisse<br><br>Words finishing in <i>-nis</i> are mostly Neuter,<br><br>Pluriel: die Bündnisse<br><br>Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres
1413,72,B2,B1,B2,_____ Durchführung,die,die Durchführung,the implementation,la mise en œuvre,die Durchführungen,<br><br>Plural: die Durchführungen,<br><br>Pluriel: die Durchführungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Durchführungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Durchführungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1414,72,B2,B1,B2,_____ Einigung,die,die Einigung,the agreement,l'accord,die Einigungen,<br><br>Plural: die Einigungen,<br><br>Pluriel: die Einigungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Einigungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Einigungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1415,72,B2,B1,B2,_____ Einsicht,die,die Einsicht,the insight,l'intuition,die Einsichten,<br><br>Plural: die Einsichten,<br><br>Pluriel: die Einsichten,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Einsichten<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Einsichten<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
1416,73,B2,B1,B2,_____ Gedächtnis,das,das Gedächtnis,the memory,le souvenir,die Gedächtnisse,<br><br>Plural: die Gedächtnisse,<br><br>Pluriel: die Gedächtnisse,Words beginning in <i>Ge-</i> are usually Neuter<br>Words finishing in <i>-nis</i> are mostly Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres<br>Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres,<br><br>Plural: die Gedächtnisse<br><br>Words beginning in <i>Ge-</i> are usually Neuter<br>Words finishing in <i>-nis</i> are mostly Neuter,<br><br>Pluriel: die Gedächtnisse<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres<br>Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres
1417,73,B2,B1,B2,_____ Gleichung,die,die Gleichung,the equation,l'équation,die Gleichungen,<br><br>Plural: die Gleichungen,<br><br>Pluriel: die Gleichungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Gleichungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Gleichungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1418,73,B2,B1,B2,_____ Herrschaft,die,die Herrschaft,the rule,la règle,die Herrschaften,<br><br>Plural: die Herrschaften,<br><br>Pluriel: die Herrschaften,Words finishing in <i>-schaft</i> are Feminine,Les noms communs se terminant par <i>-schaft</i> sont Féminins,<br><br>Plural: die Herrschaften<br><br>Words finishing in <i>-schaft</i> are Feminine,<br><br>Pluriel: die Herrschaften<br><br>Les noms communs se terminant par <i>-schaft</i> sont Féminins
1419,73,B2,B1,B2,_____ Infrastruktur,die,die Infrastruktur,the infrastructure,l'infrastructure,die Infrastrukturen,<br><br>Plural: die Infrastrukturen,<br><br>Pluriel: die Infrastrukturen,Words finishing in <i>-ur</i> are usually Feminine,Les noms communs se terminant par <i>-ur</i> sont généralement Féminins,<br><br>Plural: die Infrastrukturen<br><br>Words finishing in <i>-ur</i> are usually Feminine,<br><br>Pluriel: die Infrastrukturen<br><br>Les noms communs se terminant par <i>-ur</i> sont généralement Féminins
1420,73,B2,B1,B2,_____ Mission,die,die Mission,the mission,la mission,die Missionen,<br><br>Plural: die Missionen,<br><br>Pluriel: die Missionen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Missionen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Missionen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
1421,73,B2,B1,B2,_____ Mitteilung,die,die Mitteilung,the message,le message,die Mitteilungen,<br><br>Plural: die Mitteilungen,<br><br>Pluriel: die Mitteilungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Mitteilungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Mitteilungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1422,73,B2,B1,B2,_____ Nahrung,die,die Nahrung,the food,la nourriture,die Nahrungen,<br><br>Plural: die Nahrungen,<br><br>Pluriel: die Nahrungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Nahrungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Nahrungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1423,73,B2,B1,B2,_____ Offizier,der,der Offizier,the officer,l'officier,die Offiziere,<br><br>Plural: die Offiziere,<br><br>Pluriel: die Offiziere,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Offiziere<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Offiziere<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
1424,73,B2,B1,B2,_____ Philosophie,die,die Philosophie,the philosophy,la philosophie,die Philosophien,<br><br>Plural: die Philosophien,<br><br>Pluriel: die Philosophien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Philosophien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Philosophien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
1425,73,B2,B1,B2,_____ Realisierung,die,die Realisierung,the realization,la réalisation,die Realisierungen,<br><br>Plural: die Realisierungen,<br><br>Pluriel: die Realisierungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Realisierungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Realisierungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1426,73,B2,B1,B2,_____ Schnitt,der,der Schnitt,the cut,la coupe,die Schnitte,<br><br>Plural: die Schnitte,<br><br>Pluriel: die Schnitte,,,<br><br>Plural: die Schnitte,<br><br>Pluriel: die Schnitte
1427,73,B2,B1,B2,_____ Schnittstelle,die,die Schnittstelle,the interface,l'interface,die Schnittstellen,<br><br>Plural: die Schnittstellen,<br><br>Pluriel: die Schnittstellen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Schnittstellen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Schnittstellen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
1428,73,B2,B1,B2,_____ Sehnsucht,die,die Sehnsucht,the longing,le désir,die Sehnsüchte,<br><br>Plural: die Sehnsüchte,<br><br>Pluriel: die Sehnsüchte,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Sehnsüchte<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Sehnsüchte<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
1429,73,B2,B1,B2,_____ Skandal,der,der Skandal,the scandal,le scandale,die Skandale,<br><br>Plural: die Skandale,<br><br>Pluriel: die Skandale,,,<br><br>Plural: die Skandale,<br><br>Pluriel: die Skandale
1430,73,B2,B1,B2,_____ Wurzel,die,die Wurzel,the root,la racine,die Wurzeln,<br><br>Plural: die Wurzeln,<br><br>Pluriel: die Wurzeln,,,<br><br>Plural: die Wurzeln,<br><br>Pluriel: die Wurzeln
1431,73,B2,B1,B2,_____ Anblick,der,der Anblick,the sight,la vue,die Anblicke,<br><br>Plural: die Anblicke,<br><br>Pluriel: die Anblicke,,,<br><br>Plural: die Anblicke,<br><br>Pluriel: die Anblicke
1432,73,B2,B1,B2,_____ Anliegen,das,das Anliegen,the concern,la préoccupation,die Anliegen,<br><br>Plural: die Anliegen,<br><br>Pluriel: die Anliegen,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Anliegen<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Anliegen<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
1433,73,B2,B1,B2,_____ Anpassung,die,die Anpassung,the adaptation,l'adaptation,die Anpassungen,<br><br>Plural: die Anpassungen,<br><br>Pluriel: die Anpassungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Anpassungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Anpassungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1434,73,B2,B1,B2,_____ Anstieg,der,der Anstieg,the increase,l'augmentation,die Anstiege,<br><br>Plural: die Anstiege,<br><br>Pluriel: die Anstiege,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Anstiege<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Anstiege<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
1435,73,B2,B1,B2,_____ Arbeitsamt,das,das Arbeitsamt,the employment office,le bureau de l'emploi,die Arbeitsämter,<br><br>Plural: die Arbeitsämter,<br><br>Pluriel: die Arbeitsämter,,,<br><br>Plural: die Arbeitsämter,<br><br>Pluriel: die Arbeitsämter
1436,74,B2,B1,B2,_____ Befehl,der,der Befehl,the command,la commande,die Befehle,<br><br>Plural: die Befehle,<br><br>Pluriel: die Befehle,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Befehle<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Befehle<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
1437,74,B2,B1,B2,_____ Bereitschaft,die,die Bereitschaft,the willingness,la volonté,die Bereitschaften,<br><br>Plural: die Bereitschaften,<br><br>Pluriel: die Bereitschaften,Words finishing in <i>-schaft</i> are Feminine,Les noms communs se terminant par <i>-schaft</i> sont Féminins,<br><br>Plural: die Bereitschaften<br><br>Words finishing in <i>-schaft</i> are Feminine,<br><br>Pluriel: die Bereitschaften<br><br>Les noms communs se terminant par <i>-schaft</i> sont Féminins
1438,74,B2,B1,B2,_____ Beschwerde,die,die Beschwerde,the complaint,la plainte,die Beschwerden,<br><br>Plural: die Beschwerden,<br><br>Pluriel: die Beschwerden,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Beschwerden<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Beschwerden<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
1439,74,B2,B1,B2,_____ Bundesliga,die,die Bundesliga,the Bundesliga,la Bundesliga,die Bundesligen,<br><br>Plural: die Bundesligen,<br><br>Pluriel: die Bundesligen,,,<br><br>Plural: die Bundesligen,<br><br>Pluriel: die Bundesligen
1440,74,B2,B1,B2,_____ Ehre,die,die Ehre,the honor,l'honneur,die Ehren,<br><br>Plural: die Ehren,<br><br>Pluriel: die Ehren,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Ehren<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Ehren<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
1441,74,B2,B1,B2,_____ Eigentum,das,das Eigentum,the property,la propriété,die Eigentümer,<br><br>Plural: die Eigentümer,<br><br>Pluriel: die Eigentümer,Words finishing in <i>-um</i> are generally Neuter,Les noms communs se terminant par <i>-um</i> sont généralement Neutres,<br><br>Plural: die Eigentümer<br><br>Words finishing in <i>-um</i> are generally Neuter,<br><br>Pluriel: die Eigentümer<br><br>Les noms communs se terminant par <i>-um</i> sont généralement Neutres
1442,74,B2,B1,B2,_____ Einzelfall,der,der Einzelfall,the individual case,le cas individuel,die Einzelfälle,<br><br>Plural: die Einzelfälle,<br><br>Pluriel: die Einzelfälle,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Einzelfälle<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Einzelfälle<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
1443,74,B2,B1,B2,_____ Epoche,die,die Epoche,the era,l'ère,die Epochen,<br><br>Plural: die Epochen,<br><br>Pluriel: die Epochen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Epochen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Epochen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
1444,74,B2,B1,B2,_____ Erreger,der,der Erreger,the pathogen,le pathogène,die Erreger,<br><br>Plural: die Erreger,<br><br>Pluriel: die Erreger,,,<br><br>Plural: die Erreger,<br><br>Pluriel: die Erreger
1445,74,B2,B1,B2,_____ Feststellung,die,die Feststellung,the finding,la découverte,die Feststellungen,<br><br>Plural: die Feststellungen,<br><br>Pluriel: die Feststellungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Feststellungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Feststellungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1446,74,B2,B1,B2,_____ Formulierung,die,die Formulierung,the wording,la formulation,die Formulierungen,<br><br>Plural: die Formulierungen,<br><br>Pluriel: die Formulierungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Formulierungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Formulierungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1447,74,B2,B1,B2,_____ Gelände,das,das Gelände,the area,la région,die Gelände,<br><br>Plural: die Gelände,<br><br>Pluriel: die Gelände,Words beginning in <i>Ge-</i> are usually Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres,<br><br>Plural: die Gelände<br><br>Words beginning in <i>Ge-</i> are usually Neuter,<br><br>Pluriel: die Gelände<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres
1448,74,B2,B1,B2,_____ Inszenierung,die,die Inszenierung,the staging,la mise en scène,die Inszenierungen,<br><br>Plural: die Inszenierungen,<br><br>Pluriel: die Inszenierungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Inszenierungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Inszenierungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1449,74,B2,B1,B2,_____ Kapitän,der,der Kapitän,the captain,le capitaine,die Kapitäne,<br><br>Plural: die Kapitäne,<br><br>Pluriel: die Kapitäne,,,<br><br>Plural: die Kapitäne,<br><br>Pluriel: die Kapitäne
1450,74,B2,B1,B2,_____ Kontext,der,der Kontext,the context,le contexte,die Kontexte,<br><br>Plural: die Kontexte,<br><br>Pluriel: die Kontexte,,,<br><br>Plural: die Kontexte,<br><br>Pluriel: die Kontexte
1451,74,B2,B1,B2,_____ Kunstwerk,das,das Kunstwerk,the artwork,l'œuvre d'art,die Kunstwerke,<br><br>Plural: die Kunstwerke,<br><br>Pluriel: die Kunstwerke,,,<br><br>Plural: die Kunstwerke,<br><br>Pluriel: die Kunstwerke
1452,74,B2,B1,B2,_____ Lebewesen,das,das Lebewesen,the living being,l'être vivant,die Lebewesen,<br><br>Plural: die Lebewesen,<br><br>Pluriel: die Lebewesen,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Lebewesen<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Lebewesen<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
1453,74,B2,B1,B2,_____ Lastkraftwagen,der,der Lastkraftwagen,the truck,le camion,die Lastkraftwagen,<br><br>Plural: die Lastkraftwagen,<br><br>Pluriel: die Lastkraftwagen,,,<br><br>Plural: die Lastkraftwagen,<br><br>Pluriel: die Lastkraftwagen
1454,74,B2,B1,B2,_____ Mörder,der,der Mörder,the murderer,le meurtrier,die Mörder,<br><br>Plural: die Mörder,<br><br>Pluriel: die Mörder,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Mörder<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Mörder<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
1455,74,B2,B1,B2,_____ Öffnung,die,die Öffnung,the opening,l'ouverture,die Öffnungen,<br><br>Plural: die Öffnungen,<br><br>Pluriel: die Öffnungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Öffnungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Öffnungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1456,75,B2,B1,B2,_____ Partie,die,die Partie,the game,le jeu,die Partien,<br><br>Plural: die Partien,<br><br>Pluriel: die Partien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Partien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Partien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
1457,75,B2,B1,B2,_____ Reflexion,die,die Reflexion,the reflection,le reflet,die Reflexionen,<br><br>Plural: die Reflexionen,<br><br>Pluriel: die Reflexionen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Reflexionen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Reflexionen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
1458,75,B2,B1,B2,_____ Show,die,die Show,the show,le spectacle,die Shows,<br><br>Plural: die Shows,<br><br>Pluriel: die Shows,,,<br><br>Plural: die Shows,<br><br>Pluriel: die Shows
1459,75,B2,B1,B2,_____ Stiftung,die,die Stiftung,the foundation,la fondation,die Stiftungen,<br><br>Plural: die Stiftungen,<br><br>Pluriel: die Stiftungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Stiftungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Stiftungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1460,75,B2,B1,B2,_____ Unterscheidung,die,die Unterscheidung,the distinction,la distinction,die Unterscheidungen,<br><br>Plural: die Unterscheidungen,<br><br>Pluriel: die Unterscheidungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Unterscheidungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Unterscheidungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1461,75,B2,B1,B2,_____ Version,die,die Version,the version,la version,die Versionen,<br><br>Plural: die Versionen,<br><br>Pluriel: die Versionen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Versionen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Versionen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
1462,75,B2,B1,B2,_____ Wähler,der,der Wähler,the voter,l'électeur,die Wähler,<br><br>Plural: die Wähler,<br><br>Pluriel: die Wähler,,,<br><br>Plural: die Wähler,<br><br>Pluriel: die Wähler
1463,75,B2,B1,B2,_____ Wechselwirkung,die,die Wechselwirkung,the interaction,l'interaction,die Wechselwirkungen,<br><br>Plural: die Wechselwirkungen,<br><br>Pluriel: die Wechselwirkungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Wechselwirkungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Wechselwirkungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
1464,75,B2,B1,B2,_____ Abbau,der,der Abbau,the dismantling,le démantèlement,die Abbaue,<br><br>Plural: die Abbaue,<br><br>Pluriel: die Abbaue,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Abbaue<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Abbaue<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
1465,75,B2,B1,B2,_____ Agentur,die,die Agentur,the agency,l'agence,die Agenturen,<br><br>Plural: die Agenturen,<br><br>Pluriel: die Agenturen,Words finishing in <i>-ur</i> are usually Feminine,Les noms communs se terminant par <i>-ur</i> sont généralement Féminins,<br><br>Plural: die Agenturen<br><br>Words finishing in <i>-ur</i> are usually Feminine,<br><br>Pluriel: die Agenturen<br><br>Les noms communs se terminant par <i>-ur</i> sont généralement Féminins
