Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
178,7,Diese Entscheidung hat _____ Kunden geschadet.,den,Diese Entscheidung hat den Kunden geschadet.,This decision harmed the customers.,Cette décision a nui aux clients.,der/die/das,Dative,Datif,Plural,Pluriel,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Dative,Datif,schaden → Dative,schaden → Datif,,,"der/die/das, Plural, Dative → den<br><br>schaden → Dative<br><br>schaden = to damage, to harm (someone)","der/die/das, Pluriel, Datif → den<br><br>schaden → Datif<br><br>schaden = endommager, nuire (à quelqu'un)"
179,8,"Ich höre _____ aufmerksam zu, auch wenn ich nicht immer einverstanden bin.",dir,"Ich höre dir aufmerksam zu, auch wenn ich nicht immer einverstanden bin.","I listen to you attentively, even if I don’t always agree.","Je t’écoute attentivement, même si je ne suis pas toujours d’accord.",du,Dative,Datif,,,zuhören,to listen to someone (with dative),écouter quelqu'un,"du, Dative → dir","du, Datif → dir",Dative,Datif,zuhören → Dative,zuhören → Datif,,,"du, Dative → dir<br><br>zuhören → Dative<br><br>zuhören = to listen to someone (with dative)","du, Datif → dir<br><br>zuhören → Datif<br><br>zuhören = écouter quelqu'un"
180,8,Sie hört _____ Vortragenden aufmerksam zu und macht sich Notizen.,dem,Sie hört dem Vortragenden aufmerksam zu und macht sich Notizen.,She listens attentively to the speaker and takes notes.,Elle écoute attentivement l’orateur et prend des notes.,der/die/das,Dative,Datif,Masculine,Masculin,zuhören,to listen to someone (with dative),écouter quelqu'un,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,zuhören → Dative,zuhören → Datif,,,"der/die/das, Masculine, Dative → dem<br><br>zuhören → Dative<br><br>zuhören = to listen to someone (with dative)","der/die/das, Masculin, Datif → dem<br><br>zuhören → Datif<br><br>zuhören = écouter quelqu'un"
181,8,"Wir sollten _____ Kollegen besser zuhören, bevor wir entscheiden.",unseren,"Wir sollten unseren Kollegen besser zuhören, bevor wir entscheiden.",We should listen to our colleagues more carefully before we decide.,Nous devrions mieux écouter nos collègues avant de décider.,unser,Dative,Datif,Plural,Pluriel,zuhören,to listen to someone (with dative),écouter quelqu'un,"unser, Plural, Dative → unseren","unser, Pluriel, Datif → unseren",Dative,Datif,zuhören → Dative,zuhören → Datif,,,"unser, Plural, Dative → unseren<br><br>zuhören → Dative<br><br>zuhören = to listen to someone (with dative)","unser, Pluriel, Datif → unseren<br><br>zuhören → Datif<br><br>zuhören = écouter quelqu'un"
182,9,Ich bin _____ gestern zufällig im Park begegnet.,ihm,Ich bin ihm gestern zufällig im Park begegnet.,I ran into him by chance in the park yesterday.,Je l’ai rencontré par hasard au parc hier.,er,Dative,Datif,,,begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer","er, Dative → ihm","er, Datif → ihm",Dative,Datif,begegnen → Dative,begegnen → Datif,,,"er, Dative → ihm<br><br>begegnen → Dative<br><br>begegnen = to encounter (with dative), to meet","er, Datif → ihm<br><br>begegnen → Datif<br><br>begegnen = rencontrer, se rencontrer"
183,9,Sie begegnet _____ Ideen immer mit großer Offenheit.,neuen,Sie begegnet neuen Ideen immer mit großer Offenheit.,She always approaches new ideas with great openness.,Elle aborde toujours les nouvelles idées avec beaucoup d’ouverture.,neue,Dative,Datif,Plural,Pluriel,begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer","neue, Plural, Dative → neuen","neue, Pluriel, Datif → neuen",Dative,Datif,begegnen → Dative,begegnen → Datif,,,"neue, Plural, Dative → neuen<br><br>begegnen → Dative<br><br>begegnen = to encounter (with dative), to meet","neue, Pluriel, Datif → neuen<br><br>begegnen → Datif<br><br>begegnen = rencontrer, se rencontrer"
184,9,Wir sind _____ Problem schon einmal in einem anderen Projekt begegnet.,dem,Wir sind dem Problem schon einmal in einem anderen Projekt begegnet.,We have already encountered the problem in another project.,Nous avons déjà rencontré ce problème dans un autre projet.,der/die/das,Dative,Datif,Neuter,Neutre,begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer","der/die/das, Neuter, Dative → dem","der/die/das, Neutre, Datif → dem",Dative,Datif,begegnen → Dative,begegnen → Datif,,,"der/die/das, Neuter, Dative → dem<br><br>begegnen → Dative<br><br>begegnen = to encounter (with dative), to meet","der/die/das, Neutre, Datif → dem<br><br>begegnen → Datif<br><br>begegnen = rencontrer, se rencontrer"
185,7,Die Akademie verleiht _____ Wissenschaftler eine bedeutende Auszeichnung für seine Forschung.,dem,Die Akademie verleiht dem Wissenschaftler eine bedeutende Auszeichnung für seine Forschung.,The academy awards the scientist a significant distinction for his research.,L’académie décerne au scientifique une distinction importante pour ses recherches.,der/die/das,Dative,Datif,Masculine,Masculin,verleihen,"to award, to grant, to lend","attribuer, accorder, prêter","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verleihen → Accusative + Dative (Ditransitive),verleihen → Accusatif + Datif (Ditransitif),,,"der/die/das, Masculine, Dative → dem<br><br>verleihen → Accusative + Dative (Ditransitive)<br><br>verleihen = to award, to grant, to lend","der/die/das, Masculin, Datif → dem<br><br>verleihen → Accusatif + Datif (Ditransitif)<br><br>verleihen = attribuer, accorder, prêter"
186,8,Sie widmet _____ Projekt ihre ganze Aufmerksamkeit während der entscheidenden Phase.,dem,Sie widmet dem Projekt ihre ganze Aufmerksamkeit während der entscheidenden Phase.,She devotes all her attention to the project during the crucial phase.,Elle consacre toute son attention au projet pendant la phase décisive.,der/die/das,Dative,Datif,Neuter,Neutre,widmen,"to dedicate, to devote",consacrer,"der/die/das, Neuter, Dative → dem","der/die/das, Neutre, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),widmen → Accusative + Dative (Ditransitive),widmen → Accusatif + Datif (Ditransitif),,,"der/die/das, Neuter, Dative → dem<br><br>widmen → Accusative + Dative (Ditransitive)<br><br>widmen = to dedicate, to devote","der/die/das, Neutre, Datif → dem<br><br>widmen → Accusatif + Datif (Ditransitif)<br><br>widmen = consacrer"
187,9,Er leiht _____ Kollegen kurzfristig einen größeren Geldbetrag.,seinem,Er leiht seinem Kollegen kurzfristig einen größeren Geldbetrag.,He lends his colleague a larger sum of money at short notice.,Il prête à son collègue une somme d’argent importante à court terme.,sein,Dative,Datif,Masculine,Masculin,leihen,"to lend, to borrow","prêter, emprunter","sein, Masculine, Dative → seinem","sein, Masculin, Datif → seinem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),leihen → Accusative + Dative (Ditransitive),leihen → Accusatif + Datif (Ditransitif),,,"sein, Masculine, Dative → seinem<br><br>leihen → Accusative + Dative (Ditransitive)<br><br>leihen = to lend, to borrow","sein, Masculin, Datif → seinem<br><br>leihen → Accusatif + Datif (Ditransitif)<br><br>leihen = prêter, emprunter"
188,7,Sie verzeiht ihm _____ Fehler trotz der schwierigen Situation.,seinen,Sie verzeiht ihm seinen Fehler trotz der schwierigen Situation.,She forgives him his mistake despite the difficult situation.,Elle lui pardonne son erreur malgré la situation difficile.,sein,Dative,Datif,Masculine,Masculin,verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser","sein, Masculine, Dative → seinen","sein, Masculin, Datif → seinen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verzeihen → Accusative + Dative (Ditransitive),verzeihen → Accusatif + Datif (Ditransitif),,,"sein, Masculine, Dative → seinen<br><br>verzeihen → Accusative + Dative (Ditransitive)<br><br>verzeihen = to forgive, to pardon, to excuse","sein, Masculin, Datif → seinen<br><br>verzeihen → Accusatif + Datif (Ditransitif)<br><br>verzeihen = pardonner, excuser"
189,8,Er gibt _____ Kundin das Geld nach der Beschwerde zurück.,der,Er gibt der Kundin das Geld nach der Beschwerde zurück.,He gives the money back to the customer after the complaint.,Il rend l’argent à la cliente après la réclamation.,der/die/das,Dative,Datif,Feminine,Féminin,zurückgeben,"to return, to give back, to answer back","rendre, répondre","der/die/das, Feminine, Dative → der","der/die/das, Féminin, Datif → der",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zurückgeben → Accusative + Dative (Ditransitive),zurückgeben → Accusatif + Datif (Ditransitif),,,"der/die/das, Feminine, Dative → der<br><br>zurückgeben → Accusative + Dative (Ditransitive)<br><br>zurückgeben = to return, to give back, to answer back","der/die/das, Féminin, Datif → der<br><br>zurückgeben → Accusatif + Datif (Ditransitif)<br><br>zurückgeben = rendre, répondre"
190,9,Die Agentur vermittelt _____ Unternehmen qualifizierte Fachkräfte.,dem,Die Agentur vermittelt dem Unternehmen qualifizierte Fachkräfte.,The agency provides the company with qualified professionals.,L’agence fournit à l’entreprise des spécialistes qualifiés.,der/die/das,Dative,Datif,Neuter,Neutre,vermitteln,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger","der/die/das, Neuter, Dative → dem","der/die/das, Neutre, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vermitteln → Accusative + Dative (Ditransitive),vermitteln → Accusatif + Datif (Ditransitif),,,"der/die/das, Neuter, Dative → dem<br><br>vermitteln → Accusative + Dative (Ditransitive)<br><br>vermitteln = to convey, to mediate, to arrange","der/die/das, Neutre, Datif → dem<br><br>vermitteln → Accusatif + Datif (Ditransitif)<br><br>vermitteln = transmettre, servir de médiateur, arranger"
191,7,Er legt _____ Kunden den Vertrag zur Prüfung vor.,dem,Er legt dem Kunden den Vertrag zur Prüfung vor.,He presents the contract to the customer for review.,Il présente le contrat au client pour examen.,der/die/das,Dative,Datif,Masculine,Masculin,vorlegen,"to present, to submit, to bring forward","présenter, soumettre, avancer","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vorlegen → Accusative + Dative (Ditransitive),vorlegen → Accusatif + Datif (Ditransitif),,,"der/die/das, Masculine, Dative → dem<br><br>vorlegen → Accusative + Dative (Ditransitive)<br><br>vorlegen = to present, to submit, to bring forward","der/die/das, Masculin, Datif → dem<br><br>vorlegen → Accusatif + Datif (Ditransitif)<br><br>vorlegen = présenter, soumettre, avancer"
192,8,Das System ordnet _____ Daten einen klaren Kontext zu.,den,Das System ordnet den Daten einen klaren Kontext zu.,The system assigns a clear context to the data.,Le système attribue un contexte clair aux données.,der/die/das,Dative,Datif,Plural,Pluriel,zuordnen,"to assign, to allocate","attribuer, allouer","der/die/das, Plural, Dative → den","der/die/das, Pluriel, Datif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zuordnen → Accusative + Dative (Ditransitive),zuordnen → Accusatif + Datif (Ditransitif),,,"der/die/das, Plural, Dative → den<br><br>zuordnen → Accusative + Dative (Ditransitive)<br><br>zuordnen = to assign, to allocate","der/die/das, Pluriel, Datif → den<br><br>zuordnen → Accusatif + Datif (Ditransitif)<br><br>zuordnen = attribuer, allouer"
193,9,Die Behörde erteilt _____ Antragsteller eine offizielle Genehmigung.,dem,Die Behörde erteilt dem Antragsteller eine offizielle Genehmigung.,The authority grants the applicant an official permit.,L’autorité accorde au demandeur une autorisation officielle.,der/die/das,Dative,Datif,Masculine,Masculin,erteilen,"to grant, to issue, to give","accorder, délivrer, donner","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erteilen → Accusative + Dative (Ditransitive),erteilen → Accusatif + Datif (Ditransitif),,,"der/die/das, Masculine, Dative → dem<br><br>erteilen → Accusative + Dative (Ditransitive)<br><br>erteilen = to grant, to issue, to give","der/die/das, Masculin, Datif → dem<br><br>erteilen → Accusatif + Datif (Ditransitif)<br><br>erteilen = accorder, délivrer, donner"
194,7,Sie verrät _____ das Geheimnis erst nach langem Zögern.,ihm,Sie verrät ihm das Geheimnis erst nach langem Zögern.,She reveals the secret to him only after long hesitation.,Elle lui révèle le secret seulement après une longue hésitation.,er,Dative,Datif,,,verraten,"to betray, to reveal","trahir, révéler","er, Dative → ihm","er, Datif → ihm",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verraten → Accusative + Dative (Ditransitive),verraten → Accusatif + Datif (Ditransitif),,,"er, Dative → ihm<br><br>verraten → Accusative + Dative (Ditransitive)<br><br>verraten = to betray, to reveal","er, Datif → ihm<br><br>verraten → Accusatif + Datif (Ditransitif)<br><br>verraten = trahir, révéler"
195,8,Ich vergebe _____ deinen Fehler nach so vielen Jahren.,dir,Ich vergebe dir deinen Fehler nach so vielen Jahren.,I forgive you for your mistake after so many years.,Je te pardonne ton erreur après tant d’années.,du,Dative,Datif,,,vergeben,"to forgive, to award, to assign","pardonner, récompenser, attribuer","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vergeben → Accusative + Dative (Ditransitive),vergeben → Accusatif + Datif (Ditransitif),,,"du, Dative → dir<br><br>vergeben → Accusative + Dative (Ditransitive)<br><br>vergeben = to forgive, to award, to assign","du, Datif → dir<br><br>vergeben → Accusatif + Datif (Ditransitif)<br><br>vergeben = pardonner, récompenser, attribuer"
196,7,Die Akademie verleiht dem Wissenschaftler _____ bedeutende Auszeichnung für seine Forschung.,eine,Die Akademie verleiht dem Wissenschaftler eine bedeutende Auszeichnung für seine Forschung.,The academy awards the scientist a significant distinction for his research.,L’académie décerne au scientifique une distinction importante pour ses recherches.,ein,Accusative,Accusatif,Feminine,Féminin,verleihen,"to award, to grant, to lend","attribuer, accorder, prêter","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verleihen → Accusative + Dative (Ditransitive),verleihen → Accusatif + Datif (Ditransitif),,,"ein, Feminine, Accusative → eine<br><br>verleihen → Accusative + Dative (Ditransitive)<br><br>verleihen = to award, to grant, to lend","ein, Féminin, Accusatif → eine<br><br>verleihen → Accusatif + Datif (Ditransitif)<br><br>verleihen = attribuer, accorder, prêter"
197,8,Sie widmet dem Projekt _____ ganze Aufmerksamkeit während der entscheidenden Phase.,ihre,Sie widmet dem Projekt ihre ganze Aufmerksamkeit während der entscheidenden Phase.,She devotes all her attention to the project during the crucial phase.,Elle consacre toute son attention au projet pendant la phase décisive.,ihr,Accusative,Accusatif,Feminine,Féminin,widmen,"to dedicate, to devote",consacrer,"ihr, Feminine, Accusative → ihre","ihr, Féminin, Accusatif → ihre",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),widmen → Accusative + Dative (Ditransitive),widmen → Accusatif + Datif (Ditransitif),,,"ihr, Feminine, Accusative → ihre<br><br>widmen → Accusative + Dative (Ditransitive)<br><br>widmen = to dedicate, to devote","ihr, Féminin, Accusatif → ihre<br><br>widmen → Accusatif + Datif (Ditransitif)<br><br>widmen = consacrer"
198,9,Er leiht seinem Kollegen kurzfristig _____ größeren Geldbetrag.,einen,Er leiht seinem Kollegen kurzfristig einen größeren Geldbetrag.,He lends his colleague a larger sum of money at short notice.,Il prête à son collègue une somme d’argent importante à court terme.,ein,Accusative,Accusatif,Masculine,Masculin,leihen,"to lend, to borrow","prêter, emprunter","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),leihen → Accusative + Dative (Ditransitive),leihen → Accusatif + Datif (Ditransitif),,,"ein, Masculine, Accusative → einen<br><br>leihen → Accusative + Dative (Ditransitive)<br><br>leihen = to lend, to borrow","ein, Masculin, Accusatif → einen<br><br>leihen → Accusatif + Datif (Ditransitif)<br><br>leihen = prêter, emprunter"
199,7,Sie verzeiht ihm _____ Fehler trotz der schwierigen Situation.,seinen,Sie verzeiht ihm seinen Fehler trotz der schwierigen Situation.,She forgives him his mistake despite the difficult situation.,Elle lui pardonne son erreur malgré la situation difficile.,sein,Accusative,Accusatif,Masculine,Masculin,verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser","sein, Masculine, Accusative → seinen","sein, Masculin, Accusatif → seinen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verzeihen → Accusative + Dative (Ditransitive),verzeihen → Accusatif + Datif (Ditransitif),,,"sein, Masculine, Accusative → seinen<br><br>verzeihen → Accusative + Dative (Ditransitive)<br><br>verzeihen = to forgive, to pardon, to excuse","sein, Masculin, Accusatif → seinen<br><br>verzeihen → Accusatif + Datif (Ditransitif)<br><br>verzeihen = pardonner, excuser"
200,8,Er gibt der Kundin _____ Geld nach der Beschwerde zurück.,das,Er gibt der Kundin das Geld nach der Beschwerde zurück.,He gives the money back to the customer after the complaint.,Il rend l’argent à la cliente après la réclamation.,der/die/das,Accusative,Accusatif,Neuter,Neutre,zurückgeben,"to return, to give back, to answer back","rendre, répondre","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zurückgeben → Accusative + Dative (Ditransitive),zurückgeben → Accusatif + Datif (Ditransitif),,,"der/die/das, Neuter, Accusative → das<br><br>zurückgeben → Accusative + Dative (Ditransitive)<br><br>zurückgeben = to return, to give back, to answer back","der/die/das, Neutre, Accusatif → das<br><br>zurückgeben → Accusatif + Datif (Ditransitif)<br><br>zurückgeben = rendre, répondre"
201,9,Die Agentur vermittelt dem Unternehmen _____ Fachkräfte.,qualifizierte,Die Agentur vermittelt dem Unternehmen qualifizierte Fachkräfte.,The agency provides the company with qualified professionals.,L’agence fournit à l’entreprise des spécialistes qualifiés.,qualifiziert,Accusative,Accusatif,Plural,Pluriel,vermitteln,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger","qualifiziert, Plural, Accusative → qualifizierte","qualifiziert, Pluriel, Accusatif → qualifizierte",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vermitteln → Accusative + Dative (Ditransitive),vermitteln → Accusatif + Datif (Ditransitif),,,"qualifiziert, Plural, Accusative → qualifizierte<br><br>vermitteln → Accusative + Dative (Ditransitive)<br><br>vermitteln = to convey, to mediate, to arrange","qualifiziert, Pluriel, Accusatif → qualifizierte<br><br>vermitteln → Accusatif + Datif (Ditransitif)<br><br>vermitteln = transmettre, servir de médiateur, arranger"
202,7,Er legt dem Kunden _____ Vertrag zur Prüfung vor.,den,Er legt dem Kunden den Vertrag zur Prüfung vor.,He presents the contract to the customer for review.,Il présente le contrat au client pour examen.,der/die/das,Accusative,Accusatif,Masculine,Masculin,vorlegen,"to present, to submit, to bring forward","présenter, soumettre, avancer","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vorlegen → Accusative + Dative (Ditransitive),vorlegen → Accusatif + Datif (Ditransitif),,,"der/die/das, Masculine, Accusative → den<br><br>vorlegen → Accusative + Dative (Ditransitive)<br><br>vorlegen = to present, to submit, to bring forward","der/die/das, Masculin, Accusatif → den<br><br>vorlegen → Accusatif + Datif (Ditransitif)<br><br>vorlegen = présenter, soumettre, avancer"
203,8,Das System ordnet den Daten _____ klaren Kontext zu.,einen,Das System ordnet den Daten einen klaren Kontext zu.,The system assigns a clear context to the data.,Le système attribue un contexte clair aux données.,ein,Accusative,Accusatif,Masculine,Masculin,zuordnen,"to assign, to allocate","attribuer, allouer","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),zuordnen → Accusative + Dative (Ditransitive),zuordnen → Accusatif + Datif (Ditransitif),,,"ein, Masculine, Accusative → einen<br><br>zuordnen → Accusative + Dative (Ditransitive)<br><br>zuordnen = to assign, to allocate","ein, Masculin, Accusatif → einen<br><br>zuordnen → Accusatif + Datif (Ditransitif)<br><br>zuordnen = attribuer, allouer"
204,9,Die Behörde erteilt dem Antragsteller _____ offizielle Genehmigung.,eine,Die Behörde erteilt dem Antragsteller eine offizielle Genehmigung.,The authority grants the applicant an official permit.,L’autorité accorde au demandeur une autorisation officielle.,ein,Accusative,Accusatif,Feminine,Féminin,erteilen,"to grant, to issue, to give","accorder, délivrer, donner","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erteilen → Accusative + Dative (Ditransitive),erteilen → Accusatif + Datif (Ditransitif),,,"ein, Feminine, Accusative → eine<br><br>erteilen → Accusative + Dative (Ditransitive)<br><br>erteilen = to grant, to issue, to give","ein, Féminin, Accusatif → eine<br><br>erteilen → Accusatif + Datif (Ditransitif)<br><br>erteilen = accorder, délivrer, donner"
205,7,Sie verrät ihm _____ Geheimnis erst nach langem Zögern.,das,Sie verrät ihm das Geheimnis erst nach langem Zögern.,She reveals the secret to him only after long hesitation.,Elle lui révèle le secret seulement après une longue hésitation.,der/die/das,Accusative,Accusatif,Neuter,Neutre,verraten,"to betray, to reveal","trahir, révéler","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verraten → Accusative + Dative (Ditransitive),verraten → Accusatif + Datif (Ditransitif),,,"der/die/das, Neuter, Accusative → das<br><br>verraten → Accusative + Dative (Ditransitive)<br><br>verraten = to betray, to reveal","der/die/das, Neutre, Accusatif → das<br><br>verraten → Accusatif + Datif (Ditransitif)<br><br>verraten = trahir, révéler"
206,8,Ich vergebe dir _____ Fehler nach so vielen Jahren.,deinen,Ich vergebe dir deinen Fehler nach so vielen Jahren.,I forgive you for your mistake after so many years.,Je te pardonne ton erreur après tant d’années.,dein,Accusative,Accusatif,Masculine,Masculin,vergeben,"to forgive, to award, to assign","pardonner, récompenser, attribuer","dein, Masculine, Accusative → deinen","dein, Masculin, Accusatif → deinen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vergeben → Accusative + Dative (Ditransitive),vergeben → Accusatif + Datif (Ditransitif),,,"dein, Masculine, Accusative → deinen<br><br>vergeben → Accusative + Dative (Ditransitive)<br><br>vergeben = to forgive, to award, to assign","dein, Masculin, Accusatif → deinen<br><br>vergeben → Accusatif + Datif (Ditransitif)<br><br>vergeben = pardonner, récompenser, attribuer"
207,7,Diese Erfahrung hat ihn _____ Cent gekostet.,keinen,Diese Erfahrung hat ihn keinen Cent gekostet.,That experience didn't cost him a dime.,Cette expérience ne lui a pas coûté un centime.,kein,Accusative,Accusatif,Masculine,Masculin,kosten,"to cost, to taste",coûter,"kein, Masculine, Accusative → keinen","kein, Masculin, Accusatif → keinen",Double Accusatives,Double Accusatifs,kosten → Double Accusatives,kosten → Double Accusatifs,,,"kein, Masculine, Accusative → keinen<br><br>kosten → Double Accusatives<br><br>kosten = to cost, to taste","kein, Masculin, Accusatif → keinen<br><br>kosten → Double Accusatifs<br><br>kosten = coûter"
208,8,Der erfahrene Trainer lehrt _____ Teilnehmer wichtige Strategien.,die,Der erfahrene Trainer lehrt die Teilnehmer wichtige Strategien.,The experienced trainer teaches the participants important strategies.,L’entraîneur expérimenté enseigne aux participants des stratégies importantes.,der/die/das,Accusative,Accusatif,Plural,Pluriel,lehren,"to teach, to instruct","enseigner, instruire","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Double Accusatives,Double Accusatifs,lehren → Double Accusatives,lehren → Double Accusatifs,,,"der/die/das, Plural, Accusative → die<br><br>lehren → Double Accusatives<br><br>lehren = to teach, to instruct","der/die/das, Pluriel, Accusatif → die<br><br>lehren → Double Accusatifs<br><br>lehren = enseigner, instruire"
209,9,Man nennt _____ einen der besten Experten auf diesem Gebiet.,ihn,Man nennt ihn einen der besten Experten auf diesem Gebiet.,He is considered one of the best experts in this field.,On le considère comme l’un des meilleurs experts dans ce domaine.,er,Accusative,Accusatif,,,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner","er, Accusative → ihn","er, Accusatif → ihn",Double Accusatives,Double Accusatifs,nennen → Double Accusatives,nennen → Double Accusatifs,,,"er, Accusative → ihn<br><br>nennen → Double Accusatives<br><br>nennen = to name, to call someone something, to mention","er, Accusatif → ihn<br><br>nennen → Double Accusatifs<br><br>nennen = nommer, appeler quelqu'un par quelque chose, mentionner"
210,7,Diese Erfahrung hat _____ keinen Cent gekostet.,ihn,Diese Erfahrung hat ihn keinen Cent gekostet.,That experience didn't cost him a dime.,Cette expérience ne lui a pas coûté un centime.,er,Accusative,Accusatif,,,kosten,"to cost, to taste",coûter,"er, Accusative → ihn","er, Accusatif → ihn",Double Accusatives,Double Accusatifs,kosten → Double Accusatives,kosten → Double Accusatifs,,,"er, Accusative → ihn<br><br>kosten → Double Accusatives<br><br>kosten = to cost, to taste","er, Accusatif → ihn<br><br>kosten → Double Accusatifs<br><br>kosten = coûter"
211,8,Der erfahrene Trainer lehrt die Teilnehmer _____ Strategien.,wichtige,Der erfahrene Trainer lehrt die Teilnehmer wichtige Strategien.,The experienced trainer teaches the participants important strategies.,L’entraîneur expérimenté enseigne aux participants des stratégies importantes.,wichtig,Accusative,Accusatif,Plural,Pluriel,lehren,"to teach, to instruct","enseigner, instruire","wichtig, Plural, Accusative → wichtige","wichtig, Pluriel, Accusatif → wichtige",Double Accusatives,Double Accusatifs,lehren → Double Accusatives,lehren → Double Accusatifs,,,"wichtig, Plural, Accusative → wichtige<br><br>lehren → Double Accusatives<br><br>lehren = to teach, to instruct","wichtig, Pluriel, Accusatif → wichtige<br><br>lehren → Double Accusatifs<br><br>lehren = enseigner, instruire"
212,9,Man nennt ihn _____ der besten Experten auf diesem Gebiet.,einen,Man nennt ihn einen der besten Experten auf diesem Gebiet.,He is considered one of the best experts in this field.,On le considère comme l’un des meilleurs experts dans ce domaine.,ein,Accusative,Accusatif,Masculine,Masculin,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Double Accusatives,Double Accusatifs,nennen → Double Accusatives,nennen → Double Accusatifs,,,"ein, Masculine, Accusative → einen<br><br>nennen → Double Accusatives<br><br>nennen = to name, to call someone something, to mention","ein, Masculin, Accusatif → einen<br><br>nennen → Double Accusatifs<br><br>nennen = nommer, appeler quelqu'un par quelque chose, mentionner"
213,7,Trotz der schwierigen Umstände bleibt er _____ verlässlicher Partner.,ein,Trotz der schwierigen Umstände bleibt er ein verlässlicher Partner.,"Despite the difficult circumstances, he remains a reliable partner.","Malgré les circonstances difficiles, il reste un partenaire fiable.",ein,Nominative,Nominatif,Masculine,Masculin,bleiben,"to remain, to stay",rester,"ein, Masculine, Nominative → ein","ein, Masculin, Nominatif → ein",Nominative,Nominatif,bleiben → Nominative,bleiben → Nominatif,,,"ein, Masculine, Nominative → ein<br><br>bleiben → Nominative<br><br>bleiben = to remain, to stay","ein, Masculin, Nominatif → ein<br><br>bleiben → Nominatif<br><br>bleiben = rester"
214,7,Nach all den Jahren ist sie _____ Person geblieben.,dieselbe,Nach all den Jahren ist sie dieselbe Person geblieben.,"After all these years, she has remained the same person.","Après toutes ces années, elle est restée la même personne.",dieselbe,Nominative,Nominatif,Feminine,Féminin,bleiben,"to remain, to stay",rester,"dieselbe, Feminine, Nominative → dieselbe","dieselbe, Féminin, Nominatif → dieselbe",Nominative,Nominatif,bleiben → Nominative,bleiben → Nominatif,,,"dieselbe, Feminine, Nominative → dieselbe<br><br>bleiben → Nominative<br><br>bleiben = to remain, to stay","dieselbe, Féminin, Nominatif → dieselbe<br><br>bleiben → Nominatif<br><br>bleiben = rester"
