Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
870,28,22,Sie unterhält sich gerade _____ Kollegin über das neue Projekt.,mit ihrer,Sie unterhält sich gerade mit ihrer Kollegin über das neue Projekt.,She is talking to her colleague about the new project.,Elle discute du nouveau projet avec sa collègue.,ihr,mit,ihrer,sich unterhalten mit,Dative,Datif,Feminine,Féminin,to talk with = sich unterhalten mit + Dative<br>to introduce a partner → mit + Dat.,converser avec = sich unterhalten mit + Datif<br>pour introduire un partenaire → mit + Dat.,", Dative",", Datif"
871,29,22,Wir haben uns _____ Konzert unterhalten.,über das,Wir haben uns über das Konzert unterhalten.,We talked about the concert.,Nous avons parlé du concert.,der/die/das,über,das,sich unterhalten über,Accusative,Accusatif,Neuter,Neutre,"to talk, converse about = sich unterhalten über + Accusative<br>to introduce a general subject → über + Acc.",converser à propos de = sich unterhalten über + Accusatif<br>pour introduire un sujet général → über + Acc.,", Accusative",", Accusatif"
872,26,22,Die neuen Regeln gelten _____ Mitarbeiter.,für alle,Die neuen Regeln gelten für alle Mitarbeiter.,The new rules apply to all employees.,Les nouvelles règles s'appliquent à tous les employés.,alle,für,alle,gelten für,Accusative,Accusatif,Plural,Pluriel,"to apply to (people), to be valid for (people) = gelten für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","s'appliquer à (des personnes), être valable pour (des personnes) = gelten für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
873,27,22,Die Methode eignet sich gut _____ Einsatz im Unterricht.,für den,Die Methode eignet sich gut für den Einsatz im Unterricht.,The method is well suited for use in class.,Cette méthode est parfaitement adaptée à une utilisation en classe.,der/die/das,für,den,sich eignen für,Accusative,Accusatif,Masculine,Masculin,"to be suitable for (a concrete goal or group) = sich eignen für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","convernir à (un objectif ou un groupe concret) = sich eignen für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
874,28,22,Dieses Holz eignet sich nicht _____ Möbelbau.,zum,Dieses Holz eignet sich nicht zum Möbelbau.,This wood is not suitable for making furniture.,Ce bois ne convient pas à la fabrication de meubles.,der/die/das,zu,dem,sich eignen zu,Dative,Datif,Masculine,Masculin,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
875,29,22,Die App eignet sich hervorragend _____ Lernen unterwegs.,zum,Die App eignet sich hervorragend zum Lernen unterwegs.,The app is perfectly suited for learning on the go.,L'application est parfaitement adaptée à l'apprentissage en déplacement.,der/die/das,zu,dem,sich eignen zu,Dative,Datif,Neuter,Neutre,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
876,26,22,Diese Schere eignet sich gut _____ Basteln mit Kindern.,zum,Diese Schere eignet sich gut zum Basteln mit Kindern.,These scissors are ideal for crafting with children.,Ces ciseaux sont idéaux pour les activités manuelles avec les enfants.,der/die/das,zu,dem,sich eignen zu,Dative,Datif,Neuter,Neutre,to be suitable for (an abstract purpose) = sich eignen zu + Dative<br>to introduce a combination → zu + Dat.,convernir à (une fonction abstraite) = sich eignen zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
877,27,22,"Er griff _____ Handy, um Hilfe zu rufen.",zum,"Er griff zum Handy, um Hilfe zu rufen.",He reached for his cell phone to call for help.,Il a pris son téléphone portable pour appeler à l'aide.,der/die/das,zu,dem,greifen zu,Dative,Datif,Neuter,Neutre,to reach for = greifen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se tourner vers = greifen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
878,28,22,Sie greift abends gern _____ guten Buch.,zu einem,Sie greift abends gern zu einem guten Buch.,She likes to read a good book in the evening.,Elle aime lire un bon livre le soir.,ein,zu,einem,greifen zu,Dative,Datif,Neuter,Neutre,to reach for = greifen zu + Dative<br>to introduce an outcome or direction → zu + Dat.,se tourner vers = greifen zu + Datif<br>pour introduire un résultat ou une direction → zu + Dat.,", Dative",", Datif"
879,29,24,Er setzt sich _____ Umweltschutz ein.,für den,Er setzt sich für den Umweltschutz ein.,He is committed to environmental protection.,Il est engagé en faveur de la protection de l'environnement.,der/die/das,für,den,sich einsetzen für,Accusative,Accusatif,Masculine,Masculin,"to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
880,26,24,Sie setzt sich aktiv _____ Rechte von Kindern ein.,für die,Sie setzt sich aktiv für die Rechte von Kindern ein.,It actively campaigns for children's rights.,Elle milite activement pour les droits des enfants.,der/die/das,für,die,sich einsetzen für,Accusative,Accusatif,Plural,Pluriel,"to advocate for = sich einsetzen für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","militer en faveur de = sich einsetzen für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
881,27,24,Er verfügt _____ Erfahrung in diesem Bereich.,über viel,Er verfügt über viel Erfahrung in diesem Bereich.,He has a lot of experience in this field.,Il possède une grande expérience dans ce domaine.,viel,über,viel,verfügen über,Accusative,Accusatif,Feminine,Féminin,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc.",", Accusative",", Accusatif"
882,28,24,Die Schule verfügt _____ gut ausgestattete Bibliothek.,über eine,Die Schule verfügt über eine gut ausgestattete Bibliothek.,The school has a well-equipped library.,L'école possède une bibliothèque bien équipée.,ein,über,eine,verfügen über,Accusative,Accusatif,Feminine,Féminin,to have at one's disposal = verfügen über + Accusative<br>to introduce a position of dominance → über + Acc.,"avoir à sa disposition, disposer de = verfügen über + Accusatif<br>pour introduire une position dominante → über + Acc.",", Accusative",", Accusatif"
883,29,24,Ich möchte nicht so viel _____ Essen ausgeben.,für das,Ich möchte nicht so viel für das Essen ausgeben.,I don't want to spend so much on food.,Je ne veux pas dépenser autant en nourriture.,der/die/das,für,das,ausgeben für,Accusative,Accusatif,Neuter,Neutre,"to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
884,26,24,Er gibt sein gesamtes Erspartes _____ Renovierung aus.,für die,Er gibt sein gesamtes Erspartes für die Renovierung aus.,He is spending all his savings on the renovation.,Il dépense toutes ses économies pour la rénovation.,der/die/das,für,die,ausgeben für,Accusative,Accusatif,Feminine,Féminin,"to spend on = ausgeben für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","dépenser pour, dépenser en = ausgeben für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
885,27,24,Er verlangt Respekt _____ Mitarbeitern.,von seinen,Er verlangt Respekt von seinen Mitarbeitern.,He demands respect from his employees.,Il exige le respect de ses employés.,sein,von,seinen,verlangen von,Dative,Datif,Plural,Pluriel,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
886,28,24,Ich verlange eine Erklärung _____.,von dir,Ich verlange eine Erklärung von dir.,I demand an explanation from you.,J'exige une explication de votre part.,du,von,dir,verlangen von,Dative,Datif,,,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,Dative,Datif
887,29,24,Sie verlangt _____ Kindern mehr Verantwortungsbewusstsein.,von ihren,Sie verlangt von ihren Kindern mehr Verantwortungsbewusstsein.,She demands a greater sense of responsibility from her children.,Elle exige de ses enfants un plus grand sens des responsabilités.,ihr,von,ihren,verlangen von,Dative,Datif,Plural,Pluriel,to demand from = verlangen von + Dative<br>to introduce an expectation or a demand → von + Dat.,exiger de = verlangen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
888,26,24,Die Entscheidung basiert _____ gründlichen Analyse.,auf einer,Die Entscheidung basiert auf einer gründlichen Analyse.,The decision is based on a thorough analysis.,La décision est basée sur une analyse approfondie.,ein,auf,einer,basieren auf,Dative,Datif,Feminine,Féminin,to be based on = basieren auf + Dative<br>to introduce a base or a foundation → auf + Dat.,être basé sur = basieren auf + Datif<br>pour introduire une base ou une fondation → auf + Dat.,", Dative",", Datif"
889,27,24,Ich beziehe mich _____ Schreiben vom 1. März.,auf Ihr,Ich beziehe mich auf Ihr Schreiben vom 1. März.,I refer to your letter of March 1st.,Je fais référence à votre lettre du 1er mars.,Ihr,auf,Ihr,sich beziehen auf,Accusative,Accusatif,Neuter,Neutre,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
890,28,24,Er bezog sich _____ früheres Gespräch.,auf ein,Er bezog sich auf ein früheres Gespräch.,He referred to an earlier conversation.,Il a fait référence à une conversation antérieure.,ein,auf,ein,sich beziehen auf,Accusative,Accusatif,Neuter,Neutre,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
891,29,24,Sie bezog sich in ihrer Präsentation _____ neuesten Forschungsergebnisse.,auf die,Sie bezog sich in ihrer Präsentation auf die neuesten Forschungsergebnisse.,"In her presentation, she referred to the latest research findings.","Dans sa présentation, elle s’est référée aux dernières découvertes scientifiques.",der/die/das,auf,die,sich beziehen auf,Accusative,Accusatif,Plural,Pluriel,to refer to = sich beziehen auf + Accusative<br>to introduce a reliance or a reference → auf + Acc.,faire référence à = sich beziehen auf + Accusatif<br>pour introduire une référence ou une mention → auf + Acc.,", Accusative",", Accusatif"
892,26,24,Sie klagte _____ schlechten Arbeitsbedingungen.,über die,Sie klagte über die schlechten Arbeitsbedingungen.,She complained about the poor working conditions.,Elle s’est plainte des mauvaises conditions de travail.,der/die/das,über,die,klagen über,Accusative,Accusatif,Plural,Pluriel,to complain about = klagen über + Accusative<br>to introduce an emotional theme → über + Acc.,se plaindre de = klagen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
893,27,24,Sie klagt _____ Arbeitgeber.,gegen den,Sie klagt gegen den Arbeitgeber.,She is suing the employer.,Elle poursuit son employeur en justice.,der/die/das,gegen,den,klagen gegen,Accusative,Accusatif,Masculine,Masculin,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
894,28,24,Er klagt _____ Entscheidung.,gegen die,Er klagt gegen die Entscheidung.,He is taking legal action against the decision.,Il intente une action en justice contre cette décision.,der/die/das,gegen,die,klagen gegen,Accusative,Accusatif,Feminine,Féminin,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
895,29,24,Die Anwohner klagen _____ Bauprojekt.,gegen das,Die Anwohner klagen gegen das Bauprojekt.,The residents are suing against the construction project.,Les riverains intentent une action contre le projet de construction.,der/die/das,gegen,das,klagen gegen,Accusative,Accusatif,Neuter,Neutre,to sue = klagen gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,intenter une action en justice = klagen gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
896,26,24,Ich habe mich _____ Nachricht erschreckt.,über die,Ich habe mich über die Nachricht erschreckt.,I was shocked by the news.,J'ai été choqué par la nouvelle.,der/die/das,über,die,erschrecken über,Accusative,Accusatif,Feminine,Féminin,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
897,27,24,Sie erschreckte _____ plötzlichen Knall.,über den,Sie erschreckte über den plötzlichen Knall.,She was startled by the sudden bang.,Elle a été surprise par le bruit soudain.,der/die/das,über,den,erschrecken über,Accusative,Accusatif,Masculine,Masculin,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
898,28,24,Er erschrak _____ drastischen Veränderungen im Bericht.,über die,Er erschrak über die drastischen Veränderungen im Bericht.,He was startled by the drastic changes in the report.,Il a été effrayé par les changements drastiques dans le rapport.,der/die/das,über,die,erschrecken über,Accusative,Accusatif,Plural,Pluriel,to get frightened by = erschrecken über + Accusative<br>to introduce an emotional theme → über + Acc.,avoir peur de = erschrecken über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
899,29,24,Das Kind erschrak _____ Hund.,vor dem,Das Kind erschrak vor dem Hund.,The child was frightened of the dog.,L'enfant avait peur du chien.,der/die/das,vor,dem,erschrecken vor,Dative,Datif,Masculine,Masculin,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.,", Dative",", Datif"
900,26,24,Sie erschrak _____ lauten Donner.,vor dem,Sie erschrak vor dem lauten Donner.,She was startled by the loud thunder.,Elle a sursauté devant le tonnerre puissant.,der/die/das,vor,dem,erschrecken vor,Dative,Datif,Masculine,Masculin,to be scared of = erschrecken vor + Dative<br>to introduce an object of danger → vor + Dat.,avoir peur de = erschrecken vor + Datif<br>pour introduire un danger → vor + Dat.,", Dative",", Datif"
901,27,24,Es handelt sich _____ Missverständnis.,um ein,Es handelt sich um ein Missverständnis.,It’s about a misunderstanding.,Il s'agit d'un malentendu.,ein,um,ein,sich handeln um,Accusative,Accusatif,Neuter,Neutre,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
902,28,24,Der Film handelt sich _____ wahre Geschichte.,um eine,Der Film handelt sich um eine wahre Geschichte.,The film is about a true story.,Le film est inspiré d'une histoire vraie.,ein,um,eine,sich handeln um,Accusative,Accusatif,Feminine,Féminin,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
903,29,24,In dem Buch handelt es sich _____ historisches Ereignis.,um ein,In dem Buch handelt es sich um ein historisches Ereignis.,The book is about a historical event.,Ce livre relate un événement historique.,ein,um,ein,sich handeln um,Accusative,Accusatif,Neuter,Neutre,to be about = sich handeln um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.,"être à propos de, s'agir de = sich handeln um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
904,26,24,Die Geschichte handelt _____ jungen Abenteurer.,von einem,Die Geschichte handelt von einem jungen Abenteurer.,The story is about a young adventurer.,L'histoire parle d'un jeune aventurier.,ein,von,einem,handeln von,Dative,Datif,Neuter,Neutre,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",", Dative",", Datif"
905,27,24,Der Film handelt _____ schwierigen Vater-Sohn-Beziehung.,von einer,Der Film handelt von einer schwierigen Vater-Sohn-Beziehung.,The movie is about a difficult father-son relationship.,Le film traite d'une relation père-fils difficile.,ein,von,einer,handeln von,Dative,Datif,Feminine,Féminin,"to revolve around, to be about = handeln von + Dative","traiter de, être à propos de = handeln von + Datif",", Dative",", Datif"
906,28,24,Die Studierenden demonstrierten _____ Erhalt der Universität.,für den,Die Studierenden demonstrierten für den Erhalt der Universität.,The students demonstrated for the preservation of the university.,Les étudiants ont manifesté pour la préservation de l’université.,der/die/das,für,den,demonstrieren für,Accusative,Accusatif,Masculine,Masculin,"to demonstrate for = demonstrieren für + Accusative<br>to introduce an endorsement, an approval or an advocacy → für + Acc.","manifester pour = demonstrieren für + Accusatif<br>pour introduire une approbation, un accord ou un plaidoyer → für + Acc.",", Accusative",", Accusatif"
907,29,24,Die Bevölkerung demonstriert _____ Steuererhöhung.,gegen die,Die Bevölkerung demonstriert gegen die Steuererhöhung.,The population is protesting against the tax increase.,La population manifeste contre l'augmentation des impôts.,der/die/das,gegen,die,demonstrieren gegen,Accusative,Accusatif,Feminine,Féminin,to demonstrate against = demonstrieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,manifester contre = demonstrieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
908,26,24,Studenten demonstrierten _____ Schließung der Bibliothek.,gegen die,Studenten demonstrierten gegen die Schließung der Bibliothek.,Students protested against the closure of the library.,Les étudiants ont manifesté contre la fermeture de la bibliothèque.,der/die/das,gegen,die,demonstrieren gegen,Accusative,Accusatif,Feminine,Féminin,to demonstrate against = demonstrieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,manifester contre = demonstrieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
909,27,24,Tausende demonstrierten _____ geplante Reform.,gegen die,Tausende demonstrierten gegen die geplante Reform.,Thousands protested against the planned reform.,Des milliers de personnes ont manifesté contre la réforme prévue.,der/die/das,gegen,die,demonstrieren gegen,Accusative,Accusatif,Feminine,Féminin,to demonstrate against = demonstrieren gegen + Accusative<br>to introduce a rejection or an opposition → gegen + Acc.,manifester contre = demonstrieren gegen + Accusatif<br>pour introduire un rejet ou une opposition → gegen + Acc.,", Accusative",", Accusatif"
910,30,6,Er ist wütend _____ Kollegen wegen des Fehlers.,auf seinen,Er ist wütend auf seinen Kollegen wegen des Fehlers.,He is angry at his colleague because of the mistake.,Il est en colère contre son collègue à cause de l'erreur.,sein,auf,seinen,wütend auf sein,Accusative,Accusatif,Masculine,Masculin,to be angry at someone = wütend auf sein + Accusative<br>to introduce an object of focus or a target → auf + Acc.,être en colère envers quelqu'un = wütend auf sein + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
911,31,6,Sie ist wütend _____ Behörden wegen der Verzögerung.,auf die,Sie ist wütend auf die Behörden wegen der Verzögerung.,She is angry at the authorities because of the delay.,Elle est en colère contre les autorités à cause du retard.,der/die/das,auf,die,wütend auf sein,Accusative,Accusatif,Plural,Pluriel,to be angry at someone = wütend auf sein + Accusative<br>to introduce an object of focus or a target → auf + Acc.,être en colère envers quelqu'un = wütend auf sein + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
912,32,6,"Ich bin wütend _____ Nachbarn, weil er immer so laut ist.",auf meinen,"Ich bin wütend auf meinen Nachbarn, weil er immer so laut ist.",I’m angry at my neighbor because he’s always so loud.,Je suis en colère contre mon voisin parce qu’il est toujours si bruyant.,mein,auf,meinen,wütend auf sein,Accusative,Accusatif,Masculine,Masculin,to be angry at someone = wütend auf sein + Accusative<br>to introduce an object of focus or a target → auf + Acc.,être en colère envers quelqu'un = wütend auf sein + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
913,30,6,Er ist wütend _____ ungerechte Behandlung.,über die,Er ist wütend über die ungerechte Behandlung.,He is angry about the unfair treatment.,Il est en colère à cause du traitement injuste qu’il subit.,die,über,die,wütend über sein,Accusative,Accusatif,Feminine,Féminin,to be angry about a situation = wütend über sein + Accusative<br>to introduce an emotional theme → über + Acc.,être en colère à propos d'une situation = wütend über sein + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
914,31,6,Sie ist wütend _____ schlechten Kundenservice.,über den,Sie ist wütend über den schlechten Kundenservice.,She is angry about the poor customer service.,Elle est en colère à cause du mauvais service client.,der/die/das,über,den,wütend über sein,Accusative,Accusatif,Masculine,Masculin,to be angry about a situation = wütend über sein + Accusative<br>to introduce an emotional theme → über + Acc.,être en colère à propos d'une situation = wütend über sein + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
915,32,6,"Viele Bürger sind wütend _____ neuen Steuern, die plötzlich eingeführt wurden.",über die,"Viele Bürger sind wütend über die neuen Steuern, die plötzlich eingeführt wurden.",Many citizens are angry about the new taxes that were suddenly introduced.,De nombreux citoyens sont en colère à propos des nouvelles taxes qui ont été introduites soudainement.,die,über,die,wütend über sein,Accusative,Accusatif,Plural,Pluriel,to be angry about a situation = wütend über sein + Accusative<br>to introduce an emotional theme → über + Acc.,être en colère à propos d'une situation = wütend über sein + Accusatif<br>pour introduire un thème émotionnel → über + Acc.,", Accusative",", Accusatif"
916,30,6,Ich bin enttäuscht _____ Ergebnis.,vom,Ich bin enttäuscht vom Ergebnis.,I am disappointed with the result.,Je suis déçu du résultat.,der/die/das,von,dem,enttäuscht von sein,Dative,Datif,Neuter,Neutre,to be disappointed by = enttäuscht von sein + Dative<br>to introduce an expectation or a demand → von + Dat.,être déçu par = enttäuscht von sein + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
917,31,6,Sie war enttäuscht _____ Verhalten.,von seinem,Sie war enttäuscht von seinem Verhalten.,She was disappointed with his behavior.,Elle était déçue par son comportement.,sein,von,seinem,enttäuscht von sein,Dative,Datif,Neuter,Neutre,to be disappointed by = enttäuscht von sein + Dative<br>to introduce an expectation or a demand → von + Dat.,être déçu par = enttäuscht von sein + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
918,32,6,"Wir sind enttäuscht _____ Service im Restaurant, er war wirklich langsam.",vom,"Wir sind enttäuscht vom Service im Restaurant, er war wirklich langsam.",We are disappointed with the service at the restaurant; it was really slow.,"Nous sommes déçus du service au restaurant, il était vraiment lent.",der/die/das,von,dem,enttäuscht von sein,Dative,Datif,Neuter,Neutre,to be disappointed by = enttäuscht von sein + Dative<br>to introduce an expectation or a demand → von + Dat.,être déçu par = enttäuscht von sein + Datif<br>pour introduire une attente ou une demande → von + Dat.,", Dative",", Datif"
919,30,6,Regelmäßiges Lesen ist hilfreich _____ Lernen neuer Wörter.,beim,Regelmäßiges Lesen ist hilfreich beim Lernen neuer Wörter.,Regular reading is helpful when learning new words.,La lecture régulière est utile pour apprendre de nouveaux mots.,der/die/das,bei,dem,hilfreich bei sein,Dative,Datif,Neuter,Neutre,to be helpful = hilfreich bei sein + Dative<br>to introduce a context or a situation → bei + Dat.,être utile pour = hilfreich bei sein + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
920,31,6,Ein guter Plan ist hilfreich _____ Vorbereitung auf die Prüfung.,bei der,Ein guter Plan ist hilfreich bei der Vorbereitung auf die Prüfung.,A good plan is helpful when preparing for the exam.,Un bon plan est utile pour la préparation à l’examen.,der/die/das,bei,der,hilfreich bei sein,Dative,Datif,Feminine,Féminin,to be helpful = hilfreich bei sein + Dative<br>to introduce a context or a situation → bei + Dat.,être utile pour = hilfreich bei sein + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
921,32,6,Die App war hilfreich _____ Organisation meines Alltags.,bei der,Die App war hilfreich bei der Organisation meines Alltags.,The app was helpful in organizing my daily life.,L’application a été utile pour l’organisation de mon quotidien.,der/die/das,bei,der,hilfreich bei sein,Dative,Datif,Feminine,Féminin,to be helpful = hilfreich bei sein + Dative<br>to introduce a context or a situation → bei + Dat.,être utile pour = hilfreich bei sein + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
922,30,6,Ich bin _____ langen Arbeitszeiten gewöhnt.,an die,Ich bin an die langen Arbeitszeiten gewöhnt.,I am used to the long working hours.,Je suis habitué aux longues heures de travail.,der/die/das,an,die,gewöhnt an sein,Accusative,Accusatif,Plural,Pluriel,to be used to = gewöhnt an sein + Accusative<br>to introduce an adaptation → an + Acc.,être habitué à = gewöhnt an sein + Accusatif<br>pour introduire une adaptation → an + Acc.,", Accusative",", Accusatif"
923,31,6,Sie ist _____ Leben in der Großstadt gewöhnt.,ans,Sie ist ans Leben in der Großstadt gewöhnt.,She is used to life in the big city.,Elle est habituée à la vie dans la grande ville.,der/die/das,an,das,gewöhnt an sein,Accusative,Accusatif,Neuter,Neutre,to be used to = gewöhnt an sein + Accusative<br>to introduce an adaptation → an + Acc.,être habitué à = gewöhnt an sein + Accusatif<br>pour introduire une adaptation → an + Acc.,", Accusative",", Accusatif"
924,32,6,Nach mehreren Jahren im Ausland ist er _____ ständige Reisen und die verschiedenen Kulturen gewöhnt.,ans,Nach mehreren Jahren im Ausland ist er ans ständige Reisen und die verschiedenen Kulturen gewöhnt.,"After several years abroad, he is used to constant traveling and different cultures.","Après plusieurs années à l’étranger, il est habitué aux voyages constants et aux différentes cultures.",der/die/das,an,das,gewöhnt an sein,Accusative,Accusatif,Neuter,Neutre,to be used to = gewöhnt an sein + Accusative<br>to introduce an adaptation → an + Acc.,être habitué à = gewöhnt an sein + Accusatif<br>pour introduire une adaptation → an + Acc.,", Accusative",", Accusatif"
925,30,6,Er ist schuldig _____ Unfall.,am,Er ist schuldig am Unfall.,He is guilty of the accident.,Il est coupable de l'accident.,der/die/das,an,dem,schuldig an sein,Dative,Datif,Masculine,Masculin,to be guilty of = schuldig an sein + Dative<br>to introduce a cause → an + Dat.,être coupable de = schuldig an sein + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
926,31,6,Sie wurde schuldig _____ Verzögerung befunden.,an der,Sie wurde schuldig an der Verzögerung befunden.,She was found guilty of the delay.,Elle a été reconnue coupable de retard.,der/die/das,an,der,schuldig an sein,Dative,Datif,Feminine,Féminin,to be guilty of = schuldig an sein + Dative<br>to introduce a cause → an + Dat.,être coupable de = schuldig an sein + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
927,32,6,"Der Manager fühlte sich schuldig _____ Scheitern des Projekts, obwohl er alles versucht hatte.",am,"Der Manager fühlte sich schuldig am Scheitern des Projekts, obwohl er alles versucht hatte.","The manager felt guilty for the failure of the project, even though he had tried everything.","Le directeur se sentait coupable de l'échec du projet, même s'il avait tout essayé.",der/die/das,an,dem,schuldig an sein,Dative,Datif,Neuter,Neutre,to be guilty of = schuldig an sein + Dative<br>to introduce a cause → an + Dat.,être coupable de = schuldig an sein + Datif<br>pour introduire une cause → an + Dat.,", Dative",", Datif"
928,30,6,"Ich bin stolz _____ Bruder, der die Prüfung bestanden hat.",auf meinen,"Ich bin stolz auf meinen Bruder, der die Prüfung bestanden hat.","I am proud of my brother, who passed the exam.",Je suis fier de mon frère qui a réussi l'examen.,mein,auf,meinen,stolz auf sein,Accusative,Accusatif,Masculine,Masculin,to be proud of = stolz auf sein + Accusative<br>to introduce an object of focus or a target → auf + Acc.,être fier de = stolz auf sein + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
