Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,level,type
1212,62,,angestrengt,anstrengen,"to exert, to strain, to make an effort, to apply","exercer, se démener, faire un effort, appliquer","anstrengen, strengte an, angestrengt","anstrengen, strengte an, angestrengt",C1,all
1213,62,,sich entschlossen,sich entschließen,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),"sich entschließen, entschloss sich, sich entschlossen","sich entschließen, entschloss sich, sich entschlossen",C1,all
1214,62,,gestaunt,staunen,"to be astonished, to be amazed","être étonné, être émerveillé","staunen, staunte, gestaunt","staunen, staunte, gestaunt",C1,all
1215,62,,abgedeckt,abdecken,"to cover, to remove, to uncover","couvrir, enlever, découvrir","abdecken, deckte ab, abgedeckt","abdecken, deckte ab, abgedeckt",C1,all
1216,62,,abgesetzt,absetzen,"to set down, to put down, to deduct, to dismiss","Déposer, mettre de côté, déduire, rejeter","absetzen, setzte ab, abgesetzt","absetzen, setzte ab, abgesetzt",C1,all
1217,62,,ausgeglichen,ausgleichen,"to balance, to offset, to compensate, to equalize","équilibrer, compenser, égaliser","ausgleichen, glich aus, ausgeglichen","ausgleichen, glich aus, ausgeglichen",C1,all
1218,62,,eingebracht,einbringen,"to bring in, to contribute, to introduce, to harvest","apporter, contribuer, introduire, récolter","einbringen, brachte ein, eingebracht","einbringen, brachte ein, eingebracht",C1,all
1219,62,,genehmigt,genehmigen,"to allow, to permit, to authorize, to approve","permettre, autoriser, approuver","genehmigen, genehmigte, genehmigt","genehmigen, genehmigte, genehmigt",C1,all
1220,62,,gepresst,pressen,"to press, to squeeze, to push, to bear down","presser, serrer, pousser, exercer une pression","pressen, presste, gepresst","pressen, presste, gepresst",C1,all
1221,62,,vorgeschrieben,vorschreiben,"to dictate, to prescribe, to instruct, to stipulate","dicter, prescrire, instruire, stipuler","vorschreiben, schrieb vor, vorgeschrieben","vorschreiben, schrieb vor, vorgeschrieben",C1,all
1222,63,,behindert,behindern,"to obstruct, to hamper","gêner, entraver","behindern, behinderte, behindert","behindern, behinderte, behindert",C1,all
1223,63,,angehört,anhören,to listen to someone,écouter quelqu'un,"anhören, hörte an, angehört","anhören, hörte an, angehört",C1,all
1224,63,,gespendet,spenden,"to donate, to contribute, to dispense, to give","faire un don, contribuer, distribuer, donner","spenden, spendete, gespendet","spenden, spendete, gespendet",C1,all
1225,63,,geschwungen,schwingen,"to swing, to oscillate","se balancer, osciller","schwingen, schwang, geschwungen","schwingen, schwang, geschwungen",C1,all
1226,63,,abgeschaltet,abschalten,"to switch off, to disconnect, to turn off","éteindre, déconnecter, couper","abschalten, schaltete ab, abgeschaltet","abschalten, schaltete ab, abgeschaltet",C1,all
1227,63,,geduzt,duzen,to address informally,s'adresser de manière informelle,"duzen, duzte, geduzt","duzen, duzte, geduzt",C1,all
1228,63,,gehämmert,hämmern,"to hammer, to pound, to bang, to beat","marteler, pilonner, cogner, battre","hämmern, hämmerte, gehämmert","hämmern, hämmerte, gehämmert",C1,all
1229,63,,verzögert,verzögern,"to delay, to postpone, to stall","retarder, reporter, bloquer","verzögern, verzögerte, verzögert","verzögern, verzögerte, verzögert",C1,all
1230,63,,gehagelt,hageln,"to hail, to volley","saluer, faire une volée","hageln, hagelte, gehagelt","hageln, hagelte, gehagelt",C1,all
1231,63,,verschwendet,verschwenden,"to squander, to waste",gaspiller,"verschwenden, verschwendete, verschwendet","verschwenden, verschwendete, verschwendet",C1,all
1232,63,,vertragen,vertragen,"to tolerate, to get along, to bear","tolérer, s'entendre, supporter","vertragen, vertrug, vertragen","vertragen, vertrug, vertragen",C1,all
1233,63,,eingebrochen,einbrechen,"to break in, to collapse, to break down","s'introduire par effraction, s'effondrer, tomber en panne","einbrechen, brach ein, eingebrochen","einbrechen, brach ein, eingebrochen",C1,all
1234,63,,besiegt,besiegen,to defeat (in battle or contest),vaincre (au combat ou dans un concours),"besiegen, besiegte, besiegt","besiegen, besiegte, besiegt",C1,all
1235,63,,aufgeteilt,aufteilen,"to distribute, to divide, to partition","distribuer, diviser, partitionner","aufteilen, teilte auf, aufgeteilt","aufteilen, teilte auf, aufgeteilt",C1,all
1236,63,,zugemacht,zumachen,"to close, to shut, to close down","fermer, cesser ses activités","zumachen, machte zu, zugemacht","zumachen, machte zu, zugemacht",C1,all
1237,63,,hingefahren,hinfahren,"to drive there, to go, to travel","aller en voiture, y aller, voyager","hinfahren, fuhr hin, hingefahren","hinfahren, fuhr hin, hingefahren",C1,all
1238,63,,ausgetragen,austragen,"to deliver, to distribute, to carry out","livrer, distribuer, exécuter","austragen, trug aus, ausgetragen","austragen, trug aus, ausgetragen",C1,all
1239,63,,überreicht,überreichen,"to hand over, to present, to submit","remettre, présenter, soumettre","überreichen, überreichte, überreicht","überreichen, überreichte, überreicht",C1,all
1240,63,,getröstet,trösten,"to console, to comfort, to bring comfort to","consoler, réconforter, apporter du réconfort à","trösten, tröstete, getröstet","trösten, tröstete, getröstet",C1,all
1241,63,,vorgetragen,vortragen,"to perform, to recite, to present, to carry over","interpréter, réciter, présenter, transmettre","vortragen, trug vor, vorgetragen","vortragen, trug vor, vorgetragen",C1,all
1242,64,,gefegt,fegen,"to sweep, to move quickly, to tear","balayer, se déplacer rapidement, déchirer","fegen, fegte, gefegt","fegen, fegte, gefegt",C1,all
1243,64,,wiedergesehen,wiedersehen,"to see again, to meet again","revoir, se revoir","wiedersehen, sah wieder, wiedergesehen","wiedersehen, sah wieder, wiedergesehen",C1,all
1244,64,,ausgewiesen,ausweisen,"to expel, to identify, to deport","expulser, identifier, déporter","ausweisen, wies aus, ausgewiesen","ausweisen, wies aus, ausgewiesen",C1,all
1245,64,,aufbewahrt,aufbewahren,"to preserve, to keep, to store","préserver, conserver, stocker","aufbewahren, bewahrte auf, aufbewahrt","aufbewahren, bewahrte auf, aufbewahrt",C1,all
1246,64,,bedauert,bedauern,"to regret, to deplore, to lament, to pity","regretter, déplorer, se lamenter, avoir pitié","bedauern, bedauerte, bedauert","bedauern, bedauerte, bedauert",C1,all
1247,64,,losgelassen,loslassen,"to release, to let go, to let loose, to disengage","libérer, lâcher prise, se délier, se désengager","loslassen, ließ los, losgelassen","loslassen, ließ los, losgelassen",C1,all
1248,64,,gespiegelt,spiegeln,"to mirror, to reflect, to assign, to dazzle","refléter, renvoyer, attribuer, éblouir","spiegeln, spiegelte, gespiegelt","spiegeln, spiegelte, gespiegelt",C1,all
1249,64,,weggenommen,wegnehmen,"to take away, to remove, to abstract, to cancel","enlever, supprimer, abstraire, annuler","wegnehmen, nahm weg, weggenommen","wegnehmen, nahm weg, weggenommen",C1,all
1250,64,,gebellt,bellen,to bark,aboyer,"bellen, bellte, gebellt","bellen, bellte, gebellt",C1,all
1251,64,,eingeatmet,einatmen,"to inhale, to breath in","inspirer, respirer","einatmen, atmete ein, eingeatmet","einatmen, atmete ein, eingeatmet",C1,all
1252,64,,mitgefahren,mitfahren,"to go with, to ride along","accompagner, faire un tour avec","mitfahren, fuhr mit, mitgefahren","mitfahren, fuhr mit, mitgefahren",C1,all
1253,64,,abgerechnet,abrechnen,"to settle, to account for, to bill","régler, rendre compte, facturer","abrechnen, rechnete ab, abgerechnet","abrechnen, rechnete ab, abgerechnet",C1,all
1254,64,,dekoriert,dekorieren,"to decorate, to adorn","décorer, orner","dekorieren, dekorierte, dekoriert","dekorieren, dekorierte, dekoriert",C1,all
1255,64,,eingesammelt,einsammeln,"to collect, to gather","collecter, rassembler","einsammeln, sammelte ein, eingesammelt","einsammeln, sammelte ein, eingesammelt",C1,all
1256,64,,getwittert,twittern,to tweet,tweeter,"twittern, twitterte, getwittert","twittern, twitterte, getwittert",C1,all
1257,64,,gefilmt,filmen,"to film, to shoot","filmer, tourner","filmen, filmte, gefilmt","filmen, filmte, gefilmt",C1,all
1258,64,,variiert,variieren,"to vary, to alter, to change partially","varier, modifier, changer partiellement","variieren, variierte, variiert","variieren, variierte, variiert",C1,all
1259,64,,verschmutzt,verschmutzen,to pollute,"polluer, salir","verschmutzen, verschmutzte, verschmutzt","verschmutzen, verschmutzte, verschmutzt",C1,all
1260,64,,zurückgefahren,zurückfahren,"to back, to drive back, to flinch","reculer, faire marche arrière, tressaillir","zurückfahren, fuhr zurück, zurückgefahren","zurückfahren, fuhr zurück, zurückgefahren",C1,all
1261,64,,genesen,genesen,"to recover, to convalesce, to get well",se rétablir,"genesen, genas, genesen","genesen, genas, genesen",C1,all
1262,65,,genähert/sich genähert,nähern,"to approach, to get closer, to advance","s'approcher, se rapprocher, avancer","nähern, näherte, genähert","nähern, näherte, genähert",C1,all
1263,65,,vereinfacht,vereinfachen,"to simplify, to demystify, to deskill, to dumb down","simplifier, démystifier, déqualifier, abêtir","vereinfachen, vereinfachte, vereinfacht","vereinfachen, vereinfachte, vereinfacht",C1,all
1264,65,,beeinträchtigt,beeinträchtigen,"to affect, to impair, to alloy, to compromise","affecter, altérer, allier, compromettre","beeinträchtigen, beeinträchtigte, beeinträchtigt","beeinträchtigen, beeinträchtigte, beeinträchtigt",C1,all
1265,65,,synchronisiert,synchronisieren,"to synchronize, to dub, to sync","synchroniser, doubler","synchronisieren, synchronisierte, synchronisiert","synchronisieren, synchronisierte, synchronisiert",C1,all
1266,65,,gerächt/sich gerächt,rächen,to take revenge (refl.),se venger (réfl.),"rächen, rächte, gerächt","rächen, rächte, gerächt",C1,all
1267,65,,herausgefordert,herausfordern,"to challenge, to provoke, to banter to","défier, affronter","herausfordern, forderte heraus, herausgefordert","herausfordern, forderte heraus, herausgefordert",C1,all
1268,65,,gepfiffen,pfeifen,"to whistle, to ignore, to referee, to arbitrate","siffler, siffloter","pfeifen, pfiff, gepfiffen","pfeifen, pfiff, gepfiffen",C1,all
1269,65,,getobt,toben,"to fume, to rage, to rampage, to romp","se défouler, se déchaîner, fulminer","toben, tobte, getobt","toben, tobte, getobt",C1,all
1270,65,,gegrenzt,grenzen,"to abut, to approach, to border, to limit",limiter,"grenzen, grenzte, gegrenzt","grenzen, grenzte, gegrenzt",C1,all
1271,65,,konfiguriert,konfigurieren,"to configure, to set up",configurer,"konfigurieren, konfigurierte, konfiguriert","konfigurieren, konfigurierte, konfiguriert",C1,all
1272,65,,getagt,tagen,"to meet, to convene, to be in session","se réunir, tenir une réunion","tagen, tagte, getagt","tagen, tagte, getagt",C1,all
1273,65,,verkehrt,verkehren,"to circulate, to interact, to turn, to twist",circuler,"verkehren, verkehrte, verkehrt","verkehren, verkehrte, verkehrt",C1,all
1274,65,,gehauen/gehaut,hauen,"to slash, to cut, to hit (coll.)","trancher, couper, frapper (coll.)","hauen, haute, gehauen","hauen, haute, gehauen",C1,all
1275,65,,geehrt,ehren,"to honor, to respect, to esteem",honorer,"ehren, ehrte, geehrt","ehren, ehrte, geehrt",C1,all
1276,65,,erwogen,erwägen,"to consider, to contemplate, to ponder","envisager, considérer","erwägen, erwog, erwogen","erwägen, erwog, erwogen",C1,all
1277,65,,gestopft,stopfen,"to stuff, to darn, to jam","bourrer, combler","stopfen, stopfte, gestopft","stopfen, stopfte, gestopft",C1,all
1278,65,,gewacht,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller","wachen, wachte, gewacht","wachen, wachte, gewacht",C1,all
1279,65,,begangen,begehen,"to commit, perpetrate (a crime, an offence)","commettre, perpétrer (un crime, un délit)","begehen, beging, begangen","begehen, beging, begangen",C1,all
1280,65,,abgeschnitten,abschneiden,"to cut off, to amputate, to block","couper, amputer, bloquer","abschneiden, schnitt ab, abgeschnitten","abschneiden, schnitt ab, abgeschnitten",C1,all
1281,65,,verdankt,verdanken,"to owe, to be indebted, to owe to","devoir (quelque chose à quelqu'un), être redevable","verdanken, verdankte, verdankt","verdanken, verdankte, verdankt",C1,all
1282,66,,zurückgehalten,zurückhalten,"to restrain, to hold back, to withhold","restreindre, retenir","zurückhalten, hielt zurück, zurückgehalten","zurückhalten, hielt zurück, zurückgehalten",C1,all
1283,66,,verdoppelt,verdoppeln,"to double, to duplicate, to reduplicate","doubler, dupliquer, redoubler","verdoppeln, verdoppelte, verdoppelt","verdoppeln, verdoppelte, verdoppelt",C1,all
1284,66,,geherrscht,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler","herrschen, herrschte, geherrscht","herrschen, herrschte, geherrscht",C1,all
1285,66,,verknüpft,verknüpfen,"to connect, to link, to associate, to tie, to annex to","connecter, relier, associer, lier, annexer à","verknüpfen, verknüpfte, verknüpft","verknüpfen, verknüpfte, verknüpft",C1,all
1286,66,,aufgezeigt,aufzeigen,"to point out, to demonstrate, to indicate","souligner, démontrer, indiquer","aufzeigen, zeigte auf, aufgezeigt","aufzeigen, zeigte auf, aufgezeigt",C1,all
1287,66,,aufgebracht,aufbringen,"to capture, to raise, to antagonise",appliquer,"aufbringen, brachte auf, aufgebracht","aufbringen, brachte auf, aufgebracht",C1,all
1288,66,,beibehalten,beibehalten,"to maintain, to keep, to retain",maintenir,"beibehalten, behielt bei, beibehalten","beibehalten, behielt bei, beibehalten",C1,all
1289,66,,exportiert,exportieren,to export,exporter,"exportieren, exportierte, exportiert","exportieren, exportierte, exportiert",C1,all
1290,66,,positioniert,positionieren,"to position, to assert, to clarify","positionner, placer","positionieren, positionierte, positioniert","positionieren, positionierte, positioniert",C1,all
1291,66,,gebrüllt,brüllen,"to bellow, to howl, to roar, to bray",hurler,"brüllen, brüllte, gebrüllt","brüllen, brüllte, gebrüllt",C1,all
1292,66,,erschöpft/sich erschöpft,erschöpfen,"to exhaust, to deplete, to drain",épuiser,"erschöpfen, erschöpfte, erschöpft","erschöpfen, erschöpfte, erschöpft",C1,all
1293,66,,geschwebt,schweben,"to over, to float, to glide","flotter, planer","schweben, schwebte, geschwebt","schweben, schwebte, geschwebt",C1,all
1294,66,,gedämpft,dämpfen,"to dampen, to steam, to attenuate, to reduce","étouffer, amortir","dämpfen, dämpfte, gedämpft","dämpfen, dämpfte, gedämpft",C1,all
1295,66,,gedehnt,dehnen,"to extend, to stretch, to expand, to dilate","étirer, étendre allonger","dehnen, dehnte, gedehnt","dehnen, dehnte, gedehnt",C1,all
1296,66,,geheult,heulen,"to howl, to wail, to bawl, to blubber","hurler, pleurer, crier","heulen, heulte, geheult","heulen, heulte, geheult",C1,all
1297,66,,verführt,verführen,"to seduce, to entice, to tempt, to debauch",séduire,"verführen, verführte, verführt","verführen, verführte, verführt",C1,all
1298,66,,geronnen,rinnen,"to flow, to trickle, to run",canaliser,"rinnen, rann, geronnen","rinnen, rann, geronnen",C1,all
1299,66,,gerahmt,rahmen,"to frame, to enclose, to collect, to cream",encadrer,"rahmen, rahmte, gerahmt","rahmen, rahmte, gerahmt",C1,all
1300,66,,geforscht,forschen,"to research, to investigate","faire des recherches, enquêter","forschen, forschte, geforscht","forschen, forschte, geforscht",C1,all
1301,66,,vorausgesetzt,voraussetzen,"to presume, to require, to assume","présumer, exiger, supposer","voraussetzen, setzte voraus, vorausgesetzt","voraussetzen, setzte voraus, vorausgesetzt",C1,all
1302,67,,experimentiert,experimentieren,to experiment,expérimenter,"experimentieren, experimentierte, experimentiert","experimentieren, experimentierte, experimentiert",C1,all
1303,67,,zurückgetreten,zurücktreten,"to resign, to step back, to step down, to withdraw","démissionner, se retirer, quitter ses fonctions","zurücktreten, trat zurück, zurückgetreten","zurücktreten, trat zurück, zurückgetreten",C1,all
1304,67,,hervorgegangen,hervorgehen,"to result, to arise, to arise from, to emerge","résulter, survenir, provenir de, émerger","hervorgehen, ging hervor, hervorgegangen","hervorgehen, ging hervor, hervorgegangen",C1,all
1305,67,,verblieben,verbleiben,to remain,rester,"verbleiben, verblieb, verblieben","verbleiben, verblieb, verblieben",C1,all
1306,67,,hergekommen,herkommen,"to come over, come here (towards the speaker), to come from","venir, venir ici (vers l'orateur), venir de","herkommen, kam her, hergekommen","herkommen, kam her, hergekommen",C1,all
1307,67,,beigebracht,beibringen,"to teach, to break (news, information) carefully to, to inflict","enseigner, annoncer (des nouvelles, des informations) avec précaution, infliger","beibringen, brachte bei, beigebracht","beibringen, brachte bei, beigebracht",C1,all
1308,67,,befördert,befördern,to transport,transporter,"befördern, beförderte, befördert","befördern, beförderte, befördert",C1,all
1309,67,,gestrickt,stricken,to knit,tricoter,"stricken, strickte, gestrickt","stricken, strickte, gestrickt",C1,all
1310,67,,angebracht,anbringen,"to affix, to attach, to fasten, to add, to apply","fixer, attacher, ajouter, appliquer","anbringen, brachte an, angebracht","anbringen, brachte an, angebracht",C1,all
1311,67,,bedurft,bedürfen,"to need, to require, to depend, to demand","avoir besoin, exiger, dépendre, demander","bedürfen, bedurfte, bedurft","bedürfen, bedurfte, bedurft",C1,all
1312,67,,begriffen,begreifen,"to understand, to comprehend, to grasp, to realise","comprendre, saisir, appréhender, réaliser","begreifen, begriff, begriffen","begreifen, begriff, begriffen",C1,all
1313,67,,beigetreten,beitreten,"to join, to support, to accede to, to affiliate","adhérer, soutenir, adhérer à, s'affilier","beitreten, trat bei, beigetreten","beitreten, trat bei, beigetreten",C1,all
1314,67,,geblättert,blättern,"to browse in, to leaf, to leaf through, to page through","parcourir, feuilleter, feuilleter, parcourir les pages","blättern, blätterte, geblättert","blättern, blätterte, geblättert",C1,all
1315,67,,eingeräumt,einräumen,"to admit, to acknowledge, to concede, to put away","admettre, reconnaître, concéder, mettre de côté","einräumen, räumte ein, eingeräumt","einräumen, räumte ein, eingeräumt",C1,all
1316,67,,entfallen,entfallen,"to be omitted, to be dropped, to be canceled, to be inapplicable","à omettre, à supprimer, à annuler, à ne pas appliquer","entfallen, entfiel, entfallen","entfallen, entfiel, entfallen",C1,all
1317,67,,erbracht,erbringen,"to yield, to provide, to raise, to deliver","céder, fournir, lever, livrer","erbringen, erbrachte, erbracht","erbringen, erbrachte, erbracht",C1,all
1318,67,,ignoriert,ignorieren,"to ignore, to blank, to disregard","ignorer, faire l'impasse sur, négliger","ignorieren, ignorierte, ignoriert","ignorieren, ignorierte, ignoriert",C1,all
1319,67,,gekreist,kreisen,"to circle, to circulate, to circumgyrate","tourner en rond, circuler, circumgyrer","kreisen, kreiste, gekreist","kreisen, kreiste, gekreist",C1,all
1320,67,,manipuliert,manipulieren,"to manipulate, to influence, to rig, to adjust","manipuler, influencer, truquer, ajuster","manipulieren, manipulierte, manipuliert","manipulieren, manipulierte, manipuliert",C1,all
1321,67,,verdeutlicht,verdeutlichen,"to clarify, to elucidate, to explain, to illustrate","clarifier, élucider, expliquer, illustrer","verdeutlichen, verdeutlichte, verdeutlicht","verdeutlichen, verdeutlichte, verdeutlicht",C1,all
1322,68,,vereint,vereinen,"to unite, to combine, to join","unir, combiner, joindre","vereinen, vereinte, vereint","vereinen, vereinte, vereint",C1,all
1323,68,,vermocht,vermögen,"to be able, to be capable, to can","être capable, pouvoir","vermögen, vermochte, vermocht","vermögen, vermochte, vermocht",C1,all
1324,68,,verschafft,verschaffen,"to procure, to obtain, to acquire, to earn","se procurer, obtenir, acquérir, gagner","verschaffen, verschaffte, verschafft","verschaffen, verschaffte, verschafft",C1,all
1325,68,,versandt/versendet,versenden,"to dispatch, to send, to forward, to ship","expédier, envoyer, faire parvenir, transporter","versenden, versandte, versandt","versenden, versandte, versandt",C1,all
1326,68,,widerstanden,widerstehen,"to resist, to withstand, to oppose","résister, supporter, s'opposer","widerstehen, widerstand, widerstanden","widerstehen, widerstand, widerstanden",C1,all
1327,68,,zugekommen,zukommen,"to approach, to be assigned to, to be due (to)","approcher, être assigné à, être dû (à)","zukommen, kam zu, zugekommen","zukommen, kam zu, zugekommen",C1,all
1328,68,,zusammengehangen,zusammenhängen,"to be related, to hang together, to associate","être apparenté, être ensemble, s'associer","zusammenhängen, hing zusammen, zusammengehangen","zusammenhängen, hing zusammen, zusammengehangen",C1,all
1329,68,,zusammengesetzt,zusammensetzen,"to assemble, to put together, to be composed of","assembler, réunir, être composé de","zusammensetzen, setzte zusammen, zusammengesetzt","zusammensetzen, setzte zusammen, zusammengesetzt",C1,all
1330,68,,verborgen,verbergen,"to conceal sth, to hide something",cacher quelque chose,"verbergen, verbarg, verborgen","verbergen, verbarg, verborgen",C1,all
1331,68,,versetzt,versetzen,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)","mettre, déplacer, distribuer, donner (un coup), transférer (quand il s'agit de travailler)","versetzen, versetzte, versetzt","versetzen, versetzte, versetzt",C1,all
1332,68,,beseitigt,beseitigen,"to remove, to eliminate, to dispose","enlever, éliminer, se débarrasser","beseitigen, beseitigte, beseitigt","beseitigen, beseitigte, beseitigt",C1,all
1333,68,,geglänzt,glänzen,"to shine, to gleam, to sparkle, to glisten","briller, scintiller, étinceler","glänzen, glänzte, geglänzt","glänzen, glänzte, geglänzt",C1,all
1334,68,,gehüpft,hüpfen,"to hop, to skip, to bounce","sauter, bondir, rebondir","hüpfen, hüpfte, gehüpft","hüpfen, hüpfte, gehüpft",C1,all
1335,68,,irritiert,irritieren,"to confuse, to disturb, to irritate, to annoy","perturber, embêter, irriter, agacer","irritieren, irritierte, irritiert","irritieren, irritierte, irritiert",C1,all
1336,68,,gequält,quälen,"to torture, to afflict, to agonise","torturer, affliger, faire souffrir","quälen, quälte, gequält","quälen, quälte, gequält",C1,all
1337,68,,gekratzt,kratzen,"to scratch, to scrape","gratter, racler","kratzen, kratzte, gekratzt","kratzen, kratzte, gekratzt",C1,all
1338,68,,assoziiert,assoziieren,"to associate, to associate with, to link","s'associer, s'associer à, lier","assoziieren, assoziierte, assoziiert","assoziieren, assoziierte, assoziiert",C1,all
1339,68,,vergnügt,vergnügen,"to please, to amuse, to amuse oneself","plaire, amuser, se divertir","vergnügen, vergnügte, vergnügt","vergnügen, vergnügte, vergnügt",C1,all
1340,68,,gezweifelt,zweifeln,"to doubt, to question","douter, remettre en question","zweifeln, zweifelte, gezweifelt","zweifeln, zweifelte, gezweifelt",C1,all
1341,68,,berufen,berufen,"to appoint, to invoke, to cite","nommer, invoquer, citer","berufen, berief, berufen","berufen, berief, berufen",C1,all
1342,69,,überfallen,überfallen,"to attack, to raid (a bank), to invade (a country)","attaquer, piller (une banque), envahir (un pays)","überfallen, überfiel, überfallen","überfallen, überfiel, überfallen",C1,all
1343,69,,geschlachtet,schlachten,"to slaughter, to butcher, to battle","abattre, massacrer, combattre","schlachten, schlachtete, geschlachtet","schlachten, schlachtete, geschlachtet",C1,all
1344,69,,verdrängt,verdrängen,"to displace, to oust, to repress","déplacer, évincer, réprimer","verdrängen, verdrängte, verdrängt","verdrängen, verdrängte, verdrängt",C1,all
1345,69,,reguliert,regulieren,"to regulate, to control, to arrange","réglementer, contrôler, organiser","regulieren, regulierte, reguliert","regulieren, regulierte, reguliert",C1,all
1346,69,,widerrufen,widerrufen,"to cancel, to revoke, to withdraw","annuler, révoquer, retirer","widerrufen, widerrief, widerrufen","widerrufen, widerrief, widerrufen",C1,all
1347,69,,eingeschrieben,einschreiben,"to sign up, to enroll",s'inscrire,"einschreiben, schrieb ein, eingeschrieben","einschreiben, schrieb ein, eingeschrieben",C1,all
1348,69,,gequietscht,quietschen,"to squeak, to squeal",couiner,"quietschen, quietschte, gequietscht","quietschen, quietschte, gequietscht",C1,all
1349,69,,geeilt,eilen,"to hurry, to rush, to be urgent, to haste","se dépêcher, se hâter, être urgent","eilen, eilte, geeilt","eilen, eilte, geeilt",C1,all
1350,69,,entgegengekommen,entgegenkommen,"to accommodate, to approach, to come towards","s'adapter, s'approcher, venir vers","entgegenkommen, kam entgegen, entgegengekommen","entgegenkommen, kam entgegen, entgegengekommen",C1,all
1351,69,,erzogen,erziehen,"to educate, to raise, to nurture, to teach, to train","éduquer, élever, nourrir, enseigner, former","erziehen, erzog, erzogen","erziehen, erzog, erzogen",C1,all
1352,69,,überholt,überholen,"to overtake, to outstrip, to repair, to outpace","dépasser, distancer, réparer, surpasser","überholen, überholte, überholt","überholen, überholte, überholt",C1,all
1353,69,,bemalt,bemalen,"to paint, to apply makeup, to color","peindre, maquiller, colorier, colorer","bemalen, bemalte, bemalt","bemalen, bemalte, bemalt",C1,all
1354,69,,inszeniert,inszenieren,"to direct, to orchestrate, to produce","diriger, orchestrer, produire","inszenieren, inszenierte, inszeniert","inszenieren, inszenierte, inszeniert",C1,all
1355,69,,geschmückt,schmücken,"to adorn, to decorate, to embellish","orner, décorer, embellir","schmücken, schmückte, geschmückt","schmücken, schmückte, geschmückt",C1,all
1356,69,,gekämmt,kämmen,to comb,peigner,"kämmen, kämmte, gekämmt","kämmen, kämmte, gekämmt",C1,all
1357,69,,weggelaufen,weglaufen,to run away,s'enfuir,"weglaufen, lief weg, weggelaufen","weglaufen, lief weg, weggelaufen",C1,all
1358,69,,vorhergesagt,vorhersagen,"to foretell, to forecast, to predict","prédire, prévoir, annoncer","vorhersagen, sagte vorher, vorhergesagt","vorhersagen, sagte vorher, vorhergesagt",C1,all
1359,69,,geschont,schonen,"to spare, to preserve, to conserve","épargner, préserver, conserver","schonen, schonte, geschont","schonen, schonte, geschont",C1,all
1360,69,,erwachsen,erwachsen,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler","erwachsen, erwuchs, erwachsen","erwachsen, erwuchs, erwachsen",C1,all
1361,69,,abgeschrieben,abschreiben,"to write off, to copy, to transcribe","radier, copier, transcrire","abschreiben, schrieb ab, abgeschrieben","abschreiben, schrieb ab, abgeschrieben",C1,all
1362,70,,erschlossen,erschließen,"to develop, to access, to deduce, to unlock","développer, accéder, déduire, déverrouiller","erschließen, erschloss, erschlossen","erschließen, erschloss, erschlossen",C1,all
1363,70,,herausgenommen,herausnehmen,"to take out, to remove, to arrogate","enlever, retirer, s'arroger","herausnehmen, nahm heraus, herausgenommen","herausnehmen, nahm heraus, herausgenommen",C1,all
1364,70,,genervt,nerven,"to annoy someone, to get on someone's nerves","ennuyer quelqu'un, taper sur les nerfs de quelqu'un","nerven, nervte, genervt","nerven, nervte, genervt",C1,all
1365,70,,bereut,bereuen,"to regret something, to rue something","regretter quelque chose, se lamenter sur quelque chose","bereuen, bereute, bereut","bereuen, bereute, bereut",C1,all
1366,70,,weitergeholfen,weiterhelfen,"to assist, to help","pour aider, pour soutenir","weiterhelfen, half weiter, weitergeholfen","weiterhelfen, half weiter, weitergeholfen",C1,all
1367,70,,aufgehängt,aufhängen,"to hang up, to hang, to anchor","accrocher, suspendre, ancrer","aufhängen, hängte auf, aufgehängt","aufhängen, hängte auf, aufgehängt",C1,all
1368,70,,hingelegt,hinlegen,"to lie down, to put down, to lay down","s'allonger, poser, se coucher","hinlegen, legte hin, hingelegt","hinlegen, legte hin, hingelegt",C1,all
1369,70,,beleuchtet,beleuchten,"to illuminate, to examine","éclairer, examiner","beleuchten, beleuchtete, beleuchtet","beleuchten, beleuchtete, beleuchtet",C1,all
1370,70,,geerntet,ernten,"to harvest, to reap, to crop, to gather","récolter, moissonner, cueillir","ernten, erntete, geerntet","ernten, erntete, geerntet",C1,all
1371,70,,zugetroffen,zutreffen,"to apply, to hold true, to be applicable","s'appliquer, être vrai, être applicable","zutreffen, traf zu, zugetroffen","zutreffen, traf zu, zugetroffen",C1,all
1372,70,,zugewandt/zugewendet,zuwenden,"to turn to, to turn towards, to allocate, to dedicate","se tourner vers, allouer, dédier","zuwenden, wandte zu, zugewandt","zuwenden, wandte zu, zugewandt",C1,all
1373,70,,überredet,überreden,"to convince, to persuade, to argue into","convaincre, persuader, amener à argumenter","überreden, überredete, überredet","überreden, überredete, überredet",C1,all
1374,70,,repräsentiert,repräsentieren,"to represent, to stand for, to act for","représenter, défendre, agir pour","repräsentieren, repräsentierte, repräsentiert","repräsentieren, repräsentierte, repräsentiert",C1,all
1375,70,,erschossen,erschießen,to shoot dead,tuer par balle,"erschießen, erschoss, erschossen","erschießen, erschoss, erschossen",C1,all
