exercise,question,answer,german,english,french,transitivity_english,transitivity_french
90,,ergreifen,ergreifen,"to seize, to grasp, to take hold of","saisir, s'emparer de",,
90,,einnehmen,einnehmen,"to capture, to earn, to ingest","capturer, gagner, ingérer",Sometimes Reflexive,Parfois Réfléchi
90,,betrachten,betrachten,"to view, to observe","voir, observer",,
90,,verarbeiten,verarbeiten,"to process, to handle, to work through","traiter, manipuler, travailler",Sometimes Reflexive,Parfois Réfléchi
90,,aufbauen,aufbauen,"to build, to establish, to develop","construire, établir, développer",Sometimes Reflexive,Parfois Réfléchi
90,,identifizieren,identifizieren,to identify,identifier,Sometimes Reflexive,Parfois Réfléchi
90,,erfordern,erfordern,"to require, to demand, to necessitate","exiger, nécessiter",,
90,,biegen,biegen,"to turn, to bend","tourner, se pencher",Sometimes Reflexive,Parfois Réfléchi
90,,verpflichten,verpflichten,"to oblige, to commit, to bind","obliger, engager, lier",Sometimes Reflexive,Parfois Réfléchi
91,,beleidigen,beleidigen,"to offend someone, to insult someone","offenser quelqu'un, insulter quelqu'un",,
91,,einhalten,einhalten,"to observe, to adhere, to comply","observer, adhérer, se conformer",,
91,,ausprobieren,ausprobieren,"to test, to try, to check out","tester, essayer, vérifier",,
91,,weitergeben,weitergeben,"to pass on, to impart, to relay","transmettre, relayer",,
91,,posten,posten,"to post, to shop","poster, acheter",,
91,,deuten,deuten,"to indicate, to interpret, to point","interpréter, indiquer",,
91,,einbauen,einbauen,"to install, to build in, to build into","installer, monter, intégrer, insérer",,
91,,aufrufen,aufrufen,"to call up, to call, to call for, to invite","appeler, solliciter, inviter",,
91,,grüßen,grüßen,"to greet, to salute","saluer, faire un salut",,
91,,aufheben,aufheben,"to abolish, to lift, to pick up, to keep","abolir, lever, ramasser, garder",,
91,,bewahren,bewahren,"to keep, to preserve (to maintain the condition of)","garder, préserver (maintenir l'état de)",,
91,,formulieren,formulieren,"to formulate, to phrase","formuler, exprimer",,
91,,hinterlassen,hinterlassen,"to leave behind, to bequeath","laisser derrière soi, léguer",,
91,,aufstellen,aufstellen,"to set up, to establish","mettre en place, établir",,
91,,sieben,sieben,"to sieve, to filter","tamiser, filtrer",,
91,,anhaben,anhaben,"to have on, to wear, to harm, to damage","porter, arborer, avoir, posséder",,
91,,tropfen,tropfen,"to drip, to drop, to be gouting","goutter, tomber",,
91,,sich beeilen,sich beeilen,"to hurry, to hasten, to rush (refl.)","se dépêcher, se hâter, se précipiter (réfl.)",,
91,,abbrechen,abbrechen,"to cancel, to break off, to interrupt","annuler, interrompre, rompre",,
91,,zerschlagen,zerschlagen,"to break, to crush, to defeat, to shatter","briser, écraser, vaincre, anéantir",,
92,,kürzen,kürzen,"to shorten, to reduce, to abbreviate","réduire, raccourcir, abréger",,
92,,nützen,nützen,"to be of use, to be useful, to benefit",utiliser,,
92,,meiden,meiden,"to avoid, to shun","éviter, fuir",,
92,,bewirken,bewirken,"to bring about, to cause, to effect","provoquer, causer, effectuer",,
92,,rühren,rühren,"to stir, to move, to mix",remuer,,
92,,unterliegen,unterliegen,"to be subject to, to undergo","être soumis à, subir",,
92,,überwinden,überwinden,"to overcome, to conquer, to surmount",surmonter,,
92,,blühen,blühen,"to bloom, to flourish","fleurir, s'épanouir",,
92,,gebrauchen,gebrauchen,"to use, to make use of","utiliser, faire usage de",,
92,,vernichten,vernichten,"to destroy, to ruin, to annihilate, to eradicate","détruire, ruiner, anéantir, éradiquer",,
92,,aussprechen,aussprechen,"to pronounce, to express, to speak out","prononcer, exprimer, s'exprimer",,
92,,entwerfen,entwerfen,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",,
92,,eintragen,eintragen,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",,
92,,qualifizieren,qualifizieren,"to qualify, to qualify for","se qualifier, se qualifier pour",,
92,,zurückkehren,zurückkehren,to return,revenir,,
92,,verwechseln,verwechseln,"to mix up, to confuse, to mistake for",confondre,,
92,,kombinieren,kombinieren,to combine,combiner,,
92,,verpacken,verpacken,"to pack, to wrap, to package","emballer, envelopper, conditionner",,
92,,versichern,versichern,"to assure, to insure, to cover","assurer, couvrir",,
92,,meistern,meistern,"to master, to overcome, to cope with","maîtriser, surmonter, faire face à",,
93,,bereitstellen,bereitstellen,"to make available, to provide, to supply","mettre à disposition, fournir, approvisionner",,
93,,umdrehen,umdrehen,to turn around,faire demi-tour,,
93,,einfallen,einfallen,"to invade, to collapse, to come to mind","envahir, s'effondrer, venir à l'esprit",,
93,,falten,falten,"to fold, to bend, to crease","plier, froisser, se plisser",,
93,,bremsen,bremsen,"to slow down, to brake, to decelerate, to retard","ralentir, freiner, décélérer, retarder",,
93,,abstellen,abstellen,"to put down, to assign, to set down, to shut down","poser, assigner, mettre en place, fermer",,
93,,tippen,tippen,"to type, to bet, to tap","taper, parier, appuyer",,
93,,rollen,rollen,to roll,rouler,,
93,,tanken,tanken,"to refuel, to fill up","faire le plein, faire le plein",,
93,,trauen,trauen,"to trust, to marry, to dare (refl.)","faire confiance, se marier, oser (réfl.)",,
93,,vermieten,vermieten,"to lease, to let, to rent to","louer, donner en location à",,
93,,befreien,befreien,to free (make free),libérer (rendre libre),,
93,,vorliegen,vorliegen,"to exist, to be available","exister, être disponible",,
93,,prägen,prägen,"to shape, to influence, to mint","façonner, influencer, frapper",,
93,,erwerben,erwerben,"to acquire, to purchase, to gain","acquérir, acheter, gagner",,
93,,verbreiten,verbreiten,"to spread, to disseminate, to distribute","diffuser, propager, distribuer",,
93,,bereiten,bereiten,"to prepare, to cause","préparer, provoquer",,
93,,spinnen,spinnen,"to spin, to act strangely, to act up","tisser, filer",,
93,,verreisen,verreisen,"to go away, to travel, to go on a trip","partir, voyager, faire un voyage",,
93,,buchstabieren,buchstabieren,to spell,épeler,,
94,,jobben,jobben,"to do casual jobs, to work part-time",travailler à temps partiel,,
94,,nicken,nicken,to nod,hocher la tête,,
94,,zitieren,zitieren,"to cite, to quote",citer,,
94,,vorlegen,vorlegen,"to present, to submit, to bring forward","présenter, soumettre, avancer",,
94,,bergen,bergen,"to recover, to rescue, to save, to salvage","récupérer, secourir, sauver, sauver",,
94,,definieren,definieren,to define,définir,,
94,,basieren,basieren,to base,à la base,,
94,,einleiten,einleiten,"to introduce, to initiate, to commence","introduire, initier, commencer",,
94,,durchsetzen,durchsetzen,"to enforce, to assert","faire respecter, affirmer",,
94,,nachweisen,nachweisen,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",,
94,,aufweisen,aufweisen,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",,
94,,schwören,schwören,"to swear, to take an oath","jurer, prêter serment",,
94,,befehlen,befehlen,"to command, to order, to bid","ordonner, commander, enjoindre",,
94,,leuchten,leuchten,"to shine, to glow, to be illuminated","briller, allumer, éclairer",,
94,,zielen,zielen,"to aim, to target, to focus on","viser, cibler, se concentrer sur",,
94,,sondern,sondern,"to separate, to split","séparer, diviser",,
94,,verderben,verderben,"to decay, to spoil, to addle, to degenerate","gâcher, gâter, perdre, périr",,
94,,verweigern,verweigern,"to refuse, to deny, to decline, to reject",refuser,,
94,,bewältigen,bewältigen,"to manage, to cope with, to overcome, to get over","gérer, faire face à, surmonter",,
94,,verbrennen,verbrennen,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",,
95,,aufhalten,aufhalten,"to stop, to stay, to delay","arrêter, rester, retarder",,
95,,erarbeiten,erarbeiten,"to develop, to elaborate, to work out, to acquire","développer, élaborer, acquérir",,
95,,bedrohen,bedrohen,"to threaten, to menace",menacer,,
95,,ausüben,ausüben,"to exercise, to perform, to practice","exercer, exécuter, pratiquer",,
95,,verstärken,verstärken,"to amplify, to intensify, to strengthen","amplifier, intensifier, renforcer",,
95,,bedenken,bedenken,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre",,
95,,impfen,impfen,"to vaccinate, to immunize, to inject","vacciner, immuniser, injecter",,
95,,betrügen,betrügen,"to cheat, to swindle, to defraud","tricher, escroquer, frauder",,
95,,verklagen,verklagen,"to sue, to bring a suit against, to bring an action against","poursuivre en justice, intenter un procès",,
95,,isolieren,isolieren,"to isolate, to insulate",isoler,,
95,,beherrschen,beherrschen,"to dominate, to master, to control, to rule","dominer, maîtriser, contrôler, régner",,
95,,blitzen,blitzen,to flash,"clignoter, étinceler, flasher, scintiller",,
95,,reizen,reizen,"to stimulate, to irritate, to tease","irriter, émouvoir, exciter",,
95,,auseinandersetzen,auseinandersetzen,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",,
95,,aushalten,aushalten,"to bear, to endure, to withstand, to tolerate","supporter, endurer, résister, tolérer",,
95,,proben,proben,"to rehearse, to practice",répéter,,
95,,vorbeikommen,vorbeikommen,"to come by, to come over, to drop by","passer, venir voir, faire un saut",,
95,,weitergehen,weitergehen,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",,
95,,betreten,betreten,"to enter, to access, to apprehend, to catch","entrer, accéder, appréhender, attraper",,
95,,entsorgen,entsorgen,"to clean up, to depollute, to dispose, to dispose of","nettoyer, dépolluer, éliminer, se débarrasser de",,
96,,erwischen,erwischen,"to catch, to seize, to nab, to surprise, to capture","attraper, saisir, capturer, surprendre, prendre",,
96,,sortieren,sortieren,"to sort, to arrange, to merge, to assort","trier, arranger, fusionner, associer",,
96,,verlegen,verlegen,"to install, to lay, to misplace, to publish","installer, poser, égarer, publier",,
96,,aufschreiben,aufschreiben,"to write down, to note down, to record","écrire, noter, enregistrer",,
96,,segeln,segeln,"to sail, to glide","naviguer, glisser",,
96,,einlegen,einlegen,"to insert, to pickle, to assert","insérer, mettre en conserve, affirmer",,
96,,wahrnehmen,wahrnehmen,"to perceive, to notice, to observe, to sense","percevoir, remarquer, observer, pressentir",,
96,,sicherstellen,sicherstellen,"to seize, to assure, to confiscate, to guarantee","saisir, assurer, confisquer, garantir",,
96,,besetzen,besetzen,"to occupy, to border, to cast","occuper, border, jeter",,
96,,aufführen,aufführen,"to perform, to present","exécuter, présenter",,
96,,verhaften,verhaften,"to detain, to take into custody","détenir, mettre en détention",,
96,,kommentieren,kommentieren,to comment,commenter,,
96,,überlassen,überlassen,"to leave to, to entrust, to surrender","laisser à, confier, abandonner",,
96,,befürchten,befürchten,"to fear, to apprehend, to be afraid","craindre, appréhender, avoir peur",,
96,,verfassen,verfassen,"to write, to compose, to draft","écrire, composer, rédiger",,
96,,kehren,kehren,"to sweep, to return","retourner, balayer",,
96,,einigen,einigen,"to unite, to reconcile, to agree","s'unir, se réconcilier, s'accorder",,
96,,reißen,reißen,"to rip, to tear, to break","déchirer, arracher, se casser, rompre",,
96,,saufen,saufen,"to drink (animals), to booze","boire (des animaux), s'enivrer",,
96,,abonnieren,abonnieren,to subscribe,s'abonner,,
97,,ablaufen,ablaufen,"to expire, to run out, to discharge","expirer, s'épuiser, se décharger",,
97,,anführen,anführen,"to cite, to lead, to quote, to instruct","citer, diriger, instruire",,
97,,vertreiben,vertreiben,"to expel, to dislodge, to displace, to put on the market, to sell","expulser, déloger, déplacer",,
97,,erteilen,erteilen,"to grant, to issue, to give","accorder, délivrer, donner",,
97,,erfassen,erfassen,"to record, to capture, to collect","enregistrer, capturer, collecter",,
97,,übergeben,übergeben,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",,
97,,stützen,stützen,"to support, to back, to hold something up, to bolster","soutenir, appuyer, soutenir quelque chose, étayer",,
97,,befassen,befassen,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",,
97,,beruhen,beruhen,"to base on, to depend on, to consist","se baser sur, dépendre de, se composer de",,
97,,vorwerfen,vorwerfen,"to reproach, to accuse of, to allege","reprocher, accuser de, alléguer",,
97,,verwirklichen,verwirklichen,"to realize, to actualize, to fulfill, to implement","réaliser, concrétiser, accomplir, mettre en œuvre",,
97,,siegen,siegen,"to win, to prevail, to triumph","gagner, triompher, prévaloir",,
97,,vereinigen,vereinigen,"to coalesce, to unify, to merge","unir, réunir, unifier, combiner",,
97,,zittern,zittern,"to shiver, to tremble, to fear","trembler, frissonner, grelotter",,
97,,locken,locken,"to entice, to lure, to rock, to tempt","attirer, allécher",,
97,,strahlen,strahlen,"to radiate, to beam","rayonner, briller, illuminer",,
97,,sich auswirken,sich auswirken,"to affect, to have an impact","affecter, avoir un impact",,
97,,abbauen,abbauen,"to dismantle, to reduce, to break down","démanteler, réduire, décomposer",,
97,,besorgen,besorgen,"to get, to obtain, to take care of","obtenir, prendre soin de",,
97,,anwenden,anwenden,"to apply, to make use of","appliquer, faire usage de",,
98,,zusammenstellen,zusammenstellen,"to compile, to assemble","compiler, assembler",,
98,,verbrauchen,verbrauchen,"to consume, to use","consommer, utiliser",,
98,,berühren,berühren,to touch,toucher,,
98,,anstellen,anstellen,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises",,
98,,festhalten,festhalten,"to hold, to retain something, to record something, to detain","détenir, conserver quelque chose, enregistrer quelque chose, détenir",,
98,,auflösen,auflösen,"to dissolve, to resolve, to annul, to liquidate","dissoudre, résoudre, annuler, liquider",,
98,,auslösen,auslösen,"to ransom, to trigger, to initiate, to set up","rançonner, déclencher, initier, mettre en place",,
98,,eintreten,eintreten,"to enter, to join, to occur, to step in","entrer, se joindre, se produire",,
98,,belasten,belasten,"to burden, to charge, to strain","charger, accabler, mettre à rude épreuve",,
98,,transportieren,transportieren,"to transport, to transfer","transporter, transférer",,
98,,verweisen,verweisen,"to refer, to direct","se référer, diriger",,
98,,regieren,regieren,"to govern, to reign, to rule, to command","gouverner, régner, diriger, commander",,
98,,opfern,opfern,to sacrifice,sacrifier,,
98,,überqueren,überqueren,to cross,traverser,,
98,,abziehen,abziehen,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",,
98,,lenken,lenken,"to steer, to direct, to guide","diriger, orienter, guider",,
98,,reifen,reifen,"to ripen, to mature",mûrir,,
98,,ausschalten,ausschalten,"to disable, to turn off","désactiver, éteindre",,
98,,tauchen,tauchen,"to dive, to dip","plonger, tremper",,
98,,registrieren,registrieren,"to register, to enroll","s'inscrire, s'inscrire",,
99,,langweilen,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux",,
99,,übereinstimmen,übereinstimmen,"to agree, to concur, to correspond","concorder, correspondre, coïncider",,
99,,kennzeichnen,kennzeichnen,"to mark, to label, to characterize, to flag","marquer, étiqueter, caractériser, signaler",,
99,,füttern,füttern,to feed (an animal),nourrir (un animal),,
99,,nähen,nähen,"to sew, to stitch, to seam","coudre, piquer, assembler",,
99,,aktivieren,aktivieren,"to activate, to enable","activer, permettre",,
99,,demonstrieren,demonstrieren,"to demonstrate, to show","démontrer, montrer",,
99,,schmerzen,schmerzen,"to hurt, to ache","faire mal, souffrir",,
99,,saugen,saugen,"to suck, to vacuum, to suckle","sucer, aspirer, téter",,
99,,zurückziehen,zurückziehen,"to withdraw, to pull back, to retreat","se retirer, se replier",,
99,,bekämpfen,bekämpfen,to fight against something,lutter contre quelque chose,,
99,,erlassen,erlassen,"to enact, to issue, to forgive, to let off, to release from","promulguer, pardonner, renoncer à, libérer de",,
99,,hetzen,hetzen,"to rush, to hurry","se précipiter, se dépêcher",,
99,,managen,managen,"to manage, to oversee, to organize, to supervise","gérer, contrôler",,
99,,genügen,genügen,"to suffice, to satisfy","suffire, satisfaire",,
99,,verringern,verringern,"to decrease, to diminish, to ease, to lower","diminuer, soulager, abaisser",,
99,,ruhen,ruhen,"to rest, to be at rest, to repose",reposer,,
99,,angehen,angehen,"to concern, to tackle (a problem), to turn on (a machine)","s'inquiéter, s'attaquer (à un problème), mettre en marche (une machine)",,
99,,wegwerfen,wegwerfen,"to throw away, to discard","jeter, se débarrasser de",,
99,,sich erkundigen,sich erkundigen,"to ask, to enquire, to enquire after, to inquire","demander, s'enquérir, se renseigner sur, interroger",,
100,,ablegen,ablegen,"to lay down, to put down, to remove","déposer, poser, enlever",,
100,,vergehen,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",,
100,,streben,streben,"to strive, to tend to, to aspire","aspirer, s'efforcer, viser",,
100,,wundern,wundern,"to surprise, to amaze","surprendre, étonner",,
100,,befragen,befragen,"to question, to ask, to interrogate, to consult","questionner, demander, interroger, consulter",,
100,,weichen,weichen,to soften,adoucir,,
100,,beißen,beißen,to bite,mordre,,
100,,kühlen,kühlen,"to chill, to cool, to refrigerate","refroidir, réfrigérer",,
100,,quellen,quellen,"to soak, to swell, to well, to spring","tremper, gonfler",,
100,,erstrecken,erstrecken,"to extend, to span, to bestride","étendre, enjamber",,
100,,gleiten,gleiten,"to glide, to slide","glisser, glisser",,
100,,umstellen,umstellen,"to relocate, to adapt, to change","déménager, s'adapter, changer",,
100,,hindern,hindern,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,,
100,,blasen,blasen,"to blow, to play, to puff, to breathe on, to emit",souffler,,
100,,ringen,ringen,"to struggle, to wrestle, to agonise",lutter,,
100,,gebären,gebären,to give birth to,donner naissance à,,
100,,überschreiten,überschreiten,"to exceed, to overstep, to surpass","dépasser, outrepasser, surpasser",,
100,,abrufen,abrufen,"to retrieve, to access, to call away","récupérer, accéder, appeler",,
100,,einschließen,einschließen,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",,
100,,gewähren,gewähren,"to grant, to afford, to allow, to accord","accorder, permettre",,
101,,formen,formen,"to form, to shape, to model, to mold, to fashion","former, modeler, façonner",,
101,,weiterleiten,weiterleiten,"to forward, to pass on","transmettre, faire passer",,
101,,züchten,züchten,"to breed, to grow","se reproduire, grandir",,
101,,strecken,strecken,"to stretch, to dilute, to extend","étirer, allonger",,
101,,versagen,versagen,"to fail, to refuse, to deny","échouer, refuser, nier",,
101,,zelten,zelten,"to camp, to camp out, to tent",camper,,
101,,hervorheben,hervorheben,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",,
101,,entziehen,entziehen,"to withdraw, to remove, to deprive","retirer, enlever, priver",,
101,,auswerten,auswerten,"to evaluate, to analyze, to assess","évaluer, analyser, estimer",,
101,,bevorzugen,bevorzugen,"to prefer, to favor","préférer, favoriser",,
101,,vertiefen,vertiefen,"to deepen, to intensify","approfondir, intensifier",,
101,,verwandeln,verwandeln,"to transform, to convert, to turn into, to metamorphose","transformer, convertir, se métamorphoser",,
101,,auffordern,auffordern,"to request, to invite, to ask","demander, inviter",,
101,,ableiten,ableiten,"to derive, to deduce","dériver, déduire",,
101,,einschränken,einschränken,"to limit, to restrict, to stint, to circumscribe","limiter, restreindre, circonscrire",,
101,,interpretieren,interpretieren,"to interpret, to take as","interpréter, prendre comme",,
101,,benennen,benennen,"to name, to designate, to appoint","nommer, désigner",,
101,,sich spezialisieren,sich spezialisieren,"to specialize, to specialise, to differentiate, to focus","se spécialiser, se différencier, se concentrer",,
101,,sich erkälten,sich erkälten,"to catch a cold, to get cold","attraper un rhume, prendre froid",,
101,,irren,irren,"to err, to wander",se tromper,,
102,,umbringen,umbringen,"to kill, to murder, to be very angry at someone","tuer, assassiner, être très en colère contre quelqu'un",,
102,,scheren,scheren,"to shear, to care, to clip, to cut","tondre, entretenir, tailler, couper",,
102,,erläutern,erläutern,"to explain, to clarify","expliquer, clarifier",,
102,,publizieren,publizieren,"to publish, to publicize, to announce","publier, faire connaître, annoncer",,
102,,schleichen,schleichen,"to sneak, to creep","se faufiler, ramper",,
102,,plagen,plagen,"to bother, to annoy, to plague, to rack","tourmenter, affliger",,
102,,verfahren,verfahren,"to proceed, to act, to deal",procéder,,
102,,auskommen,auskommen,"to get along, to get on, to manage",s'entendre,,
102,,spritzen,spritzen,"to inject, to spray, to splash","injecter, pulvériser, gicler, éclabousser",,
102,,bügeln,bügeln,to iron,repasser (des vêtements),,
102,,amüsieren,amüsieren,"to amuse, to entertain, to enjoy oneself","amuser, divertir, se faire plaisir",,
102,,erkunden,erkunden,"to explore, to investigate","explorer, enquêter",,
102,,ablenken,ablenken,"to distract, to divert, to steer away","distraire, détourner, éloigner",,
102,,aufladen,aufladen,"to charge, to load, to burden, to impose","charger, accabler, imposer",,
102,,übertreiben,übertreiben,"to exaggerate, to overdo","exagérer, exagérer",,
102,,dokumentieren,dokumentieren,"to record, to document, to demonstrate, to evidence","enregistrer, documenter, démontrer, prouver",,
102,,ausbauen,ausbauen,"to expand, to develop","étendre, développer",,
102,,scannen,scannen,"to scan, to court, to digitize","scanner, porter devant les tribunaux, numériser",,
102,,abbiegen,abbiegen,"to turn, to turn off, to bend","tourner, éteindre, plier",,
102,,aussagen,aussagen,"to testify, to state","témoigner, déclarer",,
103,,faszinieren,faszinieren,"to fascinate, to captivate","fasciner, captiver",,
103,,schimpfen,schimpfen,"to scold, to rant","gronder, pester",,
103,,motivieren,motivieren,"to motivate, to give reasons, to inspire","motiver, donner des raisons, inspirer",,
103,,ausleihen,ausleihen,"to borrow, to lend, to lend out","emprunter, prêter",,
103,,gefährden,gefährden,to endanger,mettre en danger,,
103,,aufkommen,aufkommen,"to arise, to come down, to emerge, to land","se lever, descendre, émerger, atterrir",,
103,,interviewen,interviewen,to interview,interviewer,,
103,,anfordern,anfordern,"to request, to solicit, to ask for, to circularize","demander, solliciter, diffuser",,
103,,belohnen,belohnen,"to reward, to award, to compensate","récompenser, attribuer, indemniser",,
103,,verschlafen,verschlafen,"to oversleep, to sleep in","dormir trop longtemps, faire la grasse matinée",,
103,,erstatten,erstatten,"to reimburse, to refund, to report","rembourser, déduire, signaler",,
103,,zuschauen,zuschauen,"to watch, to look on, to observe","regarder, observer, surveiller",,
103,,einzahlen,einzahlen,"to deposit, to make a deposit","déposer, verser",,
103,,betätigen,betätigen,"to operate, to activate, to engage","actionner, activer, engager",,
103,,sich wohlfühlen,sich wohlfühlen,"to feel good, to be comfortable","se sentir bien, être à l'aise",,
103,,färben,färben,"to color, to dye","colorer, teindre",,
103,,ablesen,ablesen,"to read off, to read out, to deduce","lire à haute voix, déduire",,
103,,losfahren,losfahren,"to set off, to drive off, to leave","partir, démarrer, prendre la route",,
103,,schälen,schälen,to peel,peler,,
103,,recherchieren,recherchieren,"to investigate, to research, to do research","enquêter, faire des recherches, mener des recherches",,
104,,verkleiden,verkleiden,"to to dress up, to to disguise oneself (refl.)",se déguiser,,
104,,verschicken,verschicken,"to dispatch, to despatch, to mail, to send","expédier, envoyer par la poste, envoyer",,
104,,anmachen,anmachen,"to turn on, to light, to switch on","allumer, mettre en marche, allumer",,
104,,aktualisieren,aktualisieren,to update,mettre à jour,,
104,,wetten,wetten,"to bet, to wager","parier, miser",,
104,,anhalten,anhalten,"to stop (cease moving), to continue, to compel","arrêter (cesser de bouger), continuer, contraindre",,
104,,beschleunigen,beschleunigen,"to accelerate, to speed up",accélérer,,
104,,fügen,fügen,"to acquiesce, to comply, to fit together","acquiescer, se conformer, s'adapter",,
104,,umgeben,umgeben,"to surround, to enclose, to encompass","entourer, enfermer, englober",,
104,,dringen,dringen,"to insist, the seep, to penetrate","insister, s'infiltrer, pénétrer",,
104,,wiederherstellen,wiederherstellen,"to restore, to recover, to rehabilitate","restaurer, récupérer, réhabiliter",,
104,,schleifen,schleifen,"to drag, to drill, to pull","poncer, affûter, aiguiser, tailler",,
104,,aufsteigen,aufsteigen,"to rise, to ascend, to advance, to climb","s'élever, monter, avancer, grimper",,
104,,zusehen,zusehen,"to watch, to see, to make sure (that something happens)","regarder, voir, s'assurer (que quelque chose se passe)",,
104,,auftauchen,auftauchen,"to arise, to surface, to turn up","surgir, faire surface, apparaître",,
104,,beklagen,beklagen,"to complain, to lament, to air grievances","se plaindre, se lamenter, exprimer des griefs",,
104,,drängen,drängen,"to urge, to push, to cajole, to shove","exhorter, pousser, cajoler, bousculer",,
104,,rechtfertigen,rechtfertigen,"to justify, to warrant, to back up, to exculpate","justifier, garantir, appuyer, disculper",,
104,,beinhalten,beinhalten,"to include, to contain, to entail, to comprise","inclure, contenir, impliquer, comprendre",,
104,,beauftragen,beauftragen,"to assign, to commission, to instruct","assigner, commissionner, instruire",,
105,,sprühen,sprühen,"to spray, to atomize, to disperse","pulvériser, atomiser, disperser",,
105,,gestatten,gestatten,"to allow, to permit, to license","autoriser, permettre, concéder une licence",,
105,,vorsehen,vorsehen,"to plan, to provide for","planifier, prévoir",,
105,,anfallen,anfallen,"to accrue, to accumulate, to arise, to incur","s'accumuler, survenir, encourir",,
105,,entkommen,entkommen,to escape,s'échapper,,
105,,lauten,lauten,"to read, to sound, to go (as in “it goes like…”)","lire, sonner",,
105,,anfassen,anfassen,"to touch, to handle","toucher, manipuler",,
105,,vorgeben,vorgeben,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",,
105,,ertragen,ertragen,"to bear, to stand","supporter, se tenir debout",,
105,,aufbrechen,aufbrechen,"to leave, to set off, to start, to break, to burst","partir, se mettre en route, démarrer, rompre, éclater",,
105,,anregen,anregen,"to encourage, to stimulate, to excite, to inspire","encourager, stimuler, exciter, inspirer",,
105,,abweichen,abweichen,"to depart (from), to soak off","partir (de), s'imprégner",,
105,,abbilden,abbilden,"to depict, to map, to illustrate","représenter, cartographier, illustrer",,
105,,erregen,erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",,
105,,erweisen,erweisen,"to prove (passively), to turn out to be, to show","prouver (passivement), s'avérer être, montrer",,
105,,agieren,agieren,"to act, to operate, to perform, to act out","agir, opérer, exécuter",,
105,,einreichen,einreichen,"to submit, to present, to bring, to bring in, to deposit","soumettre, présenter, apporter, déposer",,
105,,erforschen,erforschen,"to research, to investigate, to explore, to ascertain","faire des recherches, enquêter, explorer, vérifier",,
105,,befestigen,befestigen,"to attach, to fasten, to secure",fixer,,
105,,optimieren,optimieren,"to optimize, to improve, to steamline",optimiser,,
106,,schwinden,schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",,
106,,bestreiten,bestreiten,"to dispute, to contest","contester, disputer",,
106,,ticken,ticken,"to tick, to tap, to act","faire tic, taper",,
106,,zugreifen,zugreifen,"to access, to grab, to help oneself",accéder,,
106,,entführen,entführen,"to abduct, to kidnap","enlever, kidnapper",,
106,,knüpfen,knüpfen,"to knot, to tie, to weave",nouer,,
106,,verweilen,verweilen,"to linger, to stay, to tarry, to abide","rester, s'attarder, séjourner, demeurer",,
106,,bewundern,bewundern,to admire,admirer,,
106,,anschaffen,anschaffen,"to purchase, to acquire, to procure","acheter, acquérir, se procurer",,
106,,konsumieren,konsumieren,to consume,consommer,,
106,,zugehen,zugehen,"to approach, to close, to happen","s'approcher, se fermer, se produire",,
106,,festsetzen,festsetzen,"to fix, to appoint, to detain, to determine, to establish","fixer, nommer, détenir, déterminer, établir",,
106,,auszeichnen,auszeichnen,"to honor, to distinguish","honorer, distinguer",,
106,,festnehmen,festnehmen,"to arrest, to apprehend, to detain, to seize","arrêter, appréhender, détenir, saisir",,
106,,umarmen,umarmen,"to hug, to embrace, to caress, to embosom","étreindre, embrasser, caresser, enserrer",,
106,,antreten,antreten,"to begin, to compete","commencer, concourir",,
106,,einschlagen,einschlagen,"to strike, to hit, to drive in, to engrave, to heel in","frapper, toucher, enfoncer, graver",,
106,,anstrengen,anstrengen,"to exert, to strain, to make an effort, to apply","exercer, se démener, faire un effort, appliquer",,
106,,sich entschließen,sich entschließen,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),,
106,,staunen,staunen,"to be astonished, to be amazed","être étonné, être émerveillé",,
107,,abdecken,abdecken,"to cover, to remove, to uncover","couvrir, enlever, découvrir",,
107,,absetzen,absetzen,"to set down, to put down, to deduct, to dismiss","Déposer, mettre de côté, déduire, rejeter",,
107,,benehmen,benehmen,to behave (refl.),se comporter (réfl.),,
