Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
1554,82,C1,920,B2,,B1,herrschen,die Herrschaft,,"to rule, to prevail, to control",the rule,"gouverner, prévaloir, contrôler",la règle,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",die Herrschaft,the rule,la règle,Feminine,Féminin
1555,82,C1,920,A1,A1,A1,herrschen,der Herr,,"to rule, to prevail, to control","the man, the gentleman","gouverner, prévaloir, contrôler","l'homme, le gentleman",herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",der Herr,"the man, the gentleman","l'homme, le gentleman",Masculine,Masculin
1556,82,C1,922,C1,,,tauschen,der Tausch,,"to swap, to trade, to exchange",the exchange,"échanger, troquer, échanger",l'échange,tauschen,"to swap, to trade, to exchange","échanger, troquer, échanger",der Tausch,the exchange,l'échange,Masculine,Masculin
1557,82,C1,923,D1+,,,übertreiben,die Übertreibung,,"to exaggerate, to overdo",the exaggeration,"exagérer, exagérer",l'exagération,übertreiben,"to exaggerate, to overdo","exagérer, exagérer",die Übertreibung,the exaggeration,l'exagération,Feminine,Féminin
1558,82,C1,927,B2,,,dokumentieren,die Dokumentation,,"to record, to document, to demonstrate, to evidence",the documentation,"enregistrer, documenter, démontrer, prouver",la documentation,dokumentieren,"to record, to document, to demonstrate, to evidence","enregistrer, documenter, démontrer, prouver",die Dokumentation,the documentation,la documentation,Feminine,Féminin
1559,82,C1,929,C1,,,erforschen,die Erforschung,,"to research, to investigate, to explore, to ascertain",the exploration,"faire des recherches, enquêter, explorer, vérifier",l'exploration,erforschen,"to research, to investigate, to explore, to ascertain","faire des recherches, enquêter, explorer, vérifier",die Erforschung,the exploration,l'exploration,Feminine,Féminin
1560,82,C1,931,B1,,B1,ausbauen,der Ausbau,,"to expand, to develop",the expansion,"étendre, développer",l'expansion,ausbauen,"to expand, to develop","étendre, développer",der Ausbau,the expansion,l'expansion,Masculine,Masculin
1561,82,C1,932,C1,,,registrieren,die Registrierung,,"to register, to enroll",the registration,"s'inscrire, s'inscrire",l'inscription,registrieren,"to register, to enroll","s'inscrire, s'inscrire",die Registrierung,the registration,l'inscription,Feminine,Féminin
1562,82,C1,935,A1,,,kommunizieren,die Kommunikation,,"to communicate, to commune, to connect",the communication,"communiquer, se connecter",la communication,kommunizieren,"to communicate, to commune, to connect","communiquer, se connecter",die Kommunikation,the communication,la communication,Feminine,Féminin
1563,82,C1,936,C2,,,scannen,der Scanner,,"to scan, to court, to digitize",the scanner,"scanner, porter devant les tribunaux, numériser",le scanner,scannen,"to scan, to court, to digitize","scanner, porter devant les tribunaux, numériser",der Scanner,the scanner,le scanner,Masculine,Masculin
1564,82,C1,937,C1,,,vergehen,das Vergehen,,"to die, to pass, to elapse, to perish",the misdemeanor,"mourir, passer, s'écouler, périr",le délit,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",das Vergehen,the misdemeanor,le délit,Neuter,Neutre
1565,82,C1,938,B2,,,verabreden,die Verabredung,,"to arrange, to make an appointment",the appointment,"prendre rendez-vous, convenir d'un rendez-vous",le rendez-vous,verabreden,"to arrange, to make an appointment","prendre rendez-vous, convenir d'un rendez-vous",die Verabredung,the appointment,le rendez-vous,Feminine,Féminin
1566,82,C1,939,A2,,B1,kommentieren,der Kommentar,,to comment,"the comment, the commentary",commenter,le commentaire,kommentieren,to comment,commenter,der Kommentar,"the comment, the commentary",le commentaire,Masculine,Masculin
1567,82,C1,942,B1,,,auseinandersetzen,die Auseinandersetzung,,"to discuss, to engage, to altercate, to argue with","the dealing, the examination, the conflict, the clash","discuter, s'engager, se disputer, argumenter avec","la transaction, l'examen, le conflit, l'affrontement",auseinandersetzen,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",die Auseinandersetzung,"the dealing, the examination, the conflict, the clash","la transaction, l'examen, le conflit, l'affrontement",Feminine,Féminin
1568,82,C1,947,C1,,,staubsaugen,der Staubsauger,,"to vacuum, to hoover",the vacuum cleaner,"passer l'aspirateur, aspirer",l'aspirateur,staubsaugen,"to vacuum, to hoover","passer l'aspirateur, aspirer",der Staubsauger,the vacuum cleaner,l'aspirateur,Masculine,Masculin
1569,82,C1,948,C2,,,beschützen,der Beschützer,,"to protect, to defend (security)",the protector,"protéger, défendre (sécurité)",le protecteur,beschützen,"to protect, to defend (security)","protéger, défendre (sécurité)",der Beschützer,the protector,le protecteur,Masculine,Masculin
1570,82,C1,949,A1,B1,A2,schulden,die Schuld,,"to owe, to be due to",the debt,"devoir, être dû à",la dette,schulden,"to owe, to be due to","devoir, être dû à",die Schuld,the debt,la dette,Feminine,Féminin
1571,83,C1,950,A1,A1,A1,die Aussage,aussagen,,the statement,"to testify, to state",la déclaration,"témoigner, déclarer",aussagen,"to testify, to state","témoigner, déclarer",die Aussage,the statement,la déclaration,,
1572,83,C1,953,C1,,,die Befestigung,befestigen,,"the attachment, the fastening","to attach, to fasten, to secure",la fixation,fixer,befestigen,"to attach, to fasten, to secure",fixer,die Befestigung,"the attachment, the fastening",la fixation,,
1573,83,C1,954,C1,,,die Begrenzung,begrenzen,,"the margin, the boundary, the demarcation","to limit, to restrict, to bound","la marge, la limite, la démarcation","limiter, resteindre, confiner",begrenzen,"to limit, to restrict, to bound","limiter, resteindre, confiner",die Begrenzung,"the margin, the boundary, the demarcation","la marge, la limite, la démarcation",,
1574,83,C1,955,C2,,,die Entnahme,entnehmen,,"the removal, the withdrawal","to extract, to gather from, to remove",le retrait,"retirer, tirer, déduire",entnehmen,"to extract, to gather from, to remove","retirer, tirer, déduire",die Entnahme,"the removal, the withdrawal",le retrait,,
1575,83,C1,956,C2,,,das Optimum,optimieren,,the optimum,"to optimize, to improve, to steamline",l'optimum,optimiser,optimieren,"to optimize, to improve, to steamline",optimiser,das Optimum,the optimum,l'optimum,,
1576,83,C1,956,C1,,,die Optimierung,optimieren,,the optimization,"to optimize, to improve, to steamline",l'optimisation,optimiser,optimieren,"to optimize, to improve, to steamline",optimiser,die Optimierung,the optimization,l'optimisation,,
1577,83,C1,958,C2,,,der Schwund,schwinden,,the atrophy,"to diminish, to fade, to shrink",l'atrophie,"disparaître, diminuer, s'évanouir",schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",der Schwund,the atrophy,l'atrophie,,
1578,83,C1,959,C1,,,die Übereinstimmung,übereinstimmen,,the agreement,"to agree, to concur, to correspond",l'accord,"concorder, correspondre, coïncider",übereinstimmen,"to agree, to concur, to correspond","concorder, correspondre, coïncider",die Übereinstimmung,the agreement,l'accord,,
1579,83,C1,960,B1,,B1,die Anfrage,anfragen,,the inquiry,"to ask, to inquire, to enquire, to request",l'enquête,demander,anfragen,"to ask, to inquire, to enquire, to request",demander,die Anfrage,the inquiry,l'enquête,,
1580,83,C1,963,B2,,,der Export,exportieren,,the export,to export,l'exportation,exporter,exportieren,to export,exporter,der Export,the export,l'exportation,,
1581,83,C1,964,B2,,,das Gebot,gebieten,,"the command, the bid","to command, to demand, to bid, to dominate","l'ordre, l'offre","dominer, ordonner",gebieten,"to command, to demand, to bid, to dominate","dominer, ordonner",das Gebot,"the command, the bid","l'ordre, l'offre",,
1582,83,C1,965,C2,,,das Geleit,geleiten,,the escort,"to accompany, to escort, to conduct",l'escorte,accompagner,geleiten,"to accompany, to escort, to conduct",accompagner,das Geleit,the escort,l'escorte,,
1583,83,C1,966,A1,,,die Liste,listen,,the list,"to list, to allow in, to lead as a series",la liste,"énumérer, citer",listen,"to list, to allow in, to lead as a series","énumérer, citer",die Liste,the list,la liste,,
1584,83,C1,971,A1,,,der Wert,werten,,"the value, the worth","to assess, to consider, to value",la valeur,évaluer,werten,"to assess, to consider, to value",évaluer,der Wert,"the value, the worth",la valeur,,
1585,84,C1,950,A1,A1,A1,aussagen,die Aussage,,"to testify, to state",the statement,"témoigner, déclarer",la déclaration,aussagen,"to testify, to state","témoigner, déclarer",die Aussage,the statement,la déclaration,Feminine,Féminin
1586,84,C1,953,C1,,,befestigen,die Befestigung,,"to attach, to fasten, to secure","the attachment, the fastening",fixer,la fixation,befestigen,"to attach, to fasten, to secure",fixer,die Befestigung,"the attachment, the fastening",la fixation,Feminine,Féminin
1587,84,C1,954,C1,,,begrenzen,die Begrenzung,,"to limit, to restrict, to bound","the margin, the boundary, the demarcation","limiter, resteindre, confiner","la marge, la limite, la démarcation",begrenzen,"to limit, to restrict, to bound","limiter, resteindre, confiner",die Begrenzung,"the margin, the boundary, the demarcation","la marge, la limite, la démarcation",Feminine,Féminin
1588,84,C1,955,C2,,,entnehmen,die Entnahme,,"to extract, to gather from, to remove","the removal, the withdrawal","retirer, tirer, déduire",le retrait,entnehmen,"to extract, to gather from, to remove","retirer, tirer, déduire",die Entnahme,"the removal, the withdrawal",le retrait,Feminine,Féminin
1589,84,C1,956,C2,,,optimieren,das Optimum,,"to optimize, to improve, to steamline",the optimum,optimiser,l'optimum,optimieren,"to optimize, to improve, to steamline",optimiser,das Optimum,the optimum,l'optimum,Neuter,Neutre
1590,84,C1,956,C1,,,optimieren,die Optimierung,,"to optimize, to improve, to steamline",the optimization,optimiser,l'optimisation,optimieren,"to optimize, to improve, to steamline",optimiser,die Optimierung,the optimization,l'optimisation,Feminine,Féminin
1591,84,C1,958,C2,,,schwinden,der Schwund,,"to diminish, to fade, to shrink",the atrophy,"disparaître, diminuer, s'évanouir",l'atrophie,schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",der Schwund,the atrophy,l'atrophie,Masculine,Masculin
1592,84,C1,959,C1,,,übereinstimmen,die Übereinstimmung,,"to agree, to concur, to correspond",the agreement,"concorder, correspondre, coïncider",l'accord,übereinstimmen,"to agree, to concur, to correspond","concorder, correspondre, coïncider",die Übereinstimmung,the agreement,l'accord,Feminine,Féminin
1593,84,C1,960,B1,,B1,anfragen,die Anfrage,,"to ask, to inquire, to enquire, to request",the inquiry,demander,l'enquête,anfragen,"to ask, to inquire, to enquire, to request",demander,die Anfrage,the inquiry,l'enquête,Feminine,Féminin
1594,84,C1,963,B2,,,exportieren,der Export,,to export,the export,exporter,l'exportation,exportieren,to export,exporter,der Export,the export,l'exportation,Masculine,Masculin
1595,84,C1,964,B2,,,gebieten,das Gebot,,"to command, to demand, to bid, to dominate","the command, the bid","dominer, ordonner","l'ordre, l'offre",gebieten,"to command, to demand, to bid, to dominate","dominer, ordonner",das Gebot,"the command, the bid","l'ordre, l'offre",Neuter,Neutre
1596,84,C1,965,C2,,,geleiten,das Geleit,,"to accompany, to escort, to conduct",the escort,accompagner,l'escorte,geleiten,"to accompany, to escort, to conduct",accompagner,das Geleit,the escort,l'escorte,Neuter,Neutre
1597,84,C1,966,A1,,,listen,die Liste,,"to list, to allow in, to lead as a series",the list,"énumérer, citer",la liste,listen,"to list, to allow in, to lead as a series","énumérer, citer",die Liste,the list,la liste,Feminine,Féminin
1598,84,C1,971,A1,,,werten,der Wert,,"to assess, to consider, to value","the value, the worth",évaluer,la valeur,werten,"to assess, to consider, to value",évaluer,der Wert,"the value, the worth",la valeur,Masculine,Masculin
1599,85,C1,972,B1,,,der Zugriff,zugreifen,,"the access, the grasp","to access, to grab, to help oneself","l'accès, la prise",accéder,zugreifen,"to access, to grab, to help oneself",accéder,der Zugriff,"the access, the grasp","l'accès, la prise",,
1600,85,C1,977,C1,,,die Erschöpfung,erschöpfen,,"the depletion, the exhaustion","to exhaust, to deplete, to drain",l'épuisement,épuiser,erschöpfen,"to exhaust, to deplete, to drain",épuiser,die Erschöpfung,"the depletion, the exhaustion",l'épuisement,,
1601,85,C1,980,B1,,,die Spinne,spinnen,,the spider,"to spin, to act strangely, to act up",l'araignée,"tisser, filer",spinnen,"to spin, to act strangely, to act up","tisser, filer",die Spinne,the spider,l'araignée,,
1602,85,C1,981,C1,,,die Entführung,entführen,,the abduction,"to abduct, to kidnap",l'enlèvement,"enlever, kidnapper",entführen,"to abduct, to kidnap","enlever, kidnapper",die Entführung,the abduction,l'enlèvement,,
1603,85,C1,983,C2,,,die Dehnung,dehnen,,the stretching,"to extend, to stretch, to expand, to dilate",l'étirement,"étirer, étendre allonger",dehnen,"to extend, to stretch, to expand, to dilate","étirer, étendre allonger",die Dehnung,the stretching,l'étirement,,
1604,85,C1,986,B1,,,der Knopf,knüpfen,,the button,"to knot, to tie, to weave",le bouton,nouer,knüpfen,"to knot, to tie, to weave",nouer,der Knopf,the button,le bouton,,
1605,85,C1,987,C2,,,die Verführung,verführen,,the seduction,"to seduce, to entice, to tempt, to debauch",la séduction,séduire,verführen,"to seduce, to entice, to tempt, to debauch",séduire,die Verführung,the seduction,la séduction,,
1606,85,C1,989,C2,,,das Rauschen,rauschen,,"the murmur, the noise","to rustle, to murmur, to roar, to whisper","le murmure, le bruit","bruisser, murmurer",rauschen,"to rustle, to murmur, to roar, to whisper","bruisser, murmurer",das Rauschen,"the murmur, the noise","le murmure, le bruit",,
1607,85,C1,993,B1,,,das Gewebe,weben,,"the fabric, the tissue","to weave, to fabricate",le tissu,"tisser, tramer",weben,"to weave, to fabricate","tisser, tramer",das Gewebe,"the fabric, the tissue",le tissu,,
1608,85,C1,995,B1,,,die Erkältung,erkälten,,the cold (illness),"to catch a cold, to get cold",le rhume,"attraper un rhume, prendre froid",erkälten,"to catch a cold, to get cold","attraper un rhume, prendre froid",die Erkältung,the cold (illness),le rhume,,
1609,86,C1,972,B1,,,zugreifen,der Zugriff,,"to access, to grab, to help oneself","the access, the grasp",accéder,"l'accès, la prise",zugreifen,"to access, to grab, to help oneself",accéder,der Zugriff,"the access, the grasp","l'accès, la prise",Masculine,Masculin
1610,86,C1,977,C1,,,erschöpfen,die Erschöpfung,,"to exhaust, to deplete, to drain","the depletion, the exhaustion",épuiser,l'épuisement,erschöpfen,"to exhaust, to deplete, to drain",épuiser,die Erschöpfung,"the depletion, the exhaustion",l'épuisement,Feminine,Féminin
1611,86,C1,980,B1,,,spinnen,die Spinne,,"to spin, to act strangely, to act up",the spider,"tisser, filer",l'araignée,spinnen,"to spin, to act strangely, to act up","tisser, filer",die Spinne,the spider,l'araignée,Feminine,Féminin
1612,86,C1,981,C1,,,entführen,die Entführung,,"to abduct, to kidnap",the abduction,"enlever, kidnapper",l'enlèvement,entführen,"to abduct, to kidnap","enlever, kidnapper",die Entführung,the abduction,l'enlèvement,Feminine,Féminin
1613,86,C1,983,C2,,,dehnen,die Dehnung,,"to extend, to stretch, to expand, to dilate",the stretching,"étirer, étendre allonger",l'étirement,dehnen,"to extend, to stretch, to expand, to dilate","étirer, étendre allonger",die Dehnung,the stretching,l'étirement,Feminine,Féminin
1614,86,C1,986,B1,,,knüpfen,der Knopf,,"to knot, to tie, to weave",the button,nouer,le bouton,knüpfen,"to knot, to tie, to weave",nouer,der Knopf,the button,le bouton,Masculine,Masculin
1615,86,C1,987,C2,,,verführen,die Verführung,,"to seduce, to entice, to tempt, to debauch",the seduction,séduire,la séduction,verführen,"to seduce, to entice, to tempt, to debauch",séduire,die Verführung,the seduction,la séduction,Feminine,Féminin
1616,86,C1,989,C2,,,rauschen,das Rauschen,,"to rustle, to murmur, to roar, to whisper","the murmur, the noise","bruisser, murmurer","le murmure, le bruit",rauschen,"to rustle, to murmur, to roar, to whisper","bruisser, murmurer",das Rauschen,"the murmur, the noise","le murmure, le bruit",Neuter,Neutre
1617,86,C1,993,B1,,,weben,das Gewebe,,"to weave, to fabricate","the fabric, the tissue","tisser, tramer",le tissu,weben,"to weave, to fabricate","tisser, tramer",das Gewebe,"the fabric, the tissue",le tissu,Neuter,Neutre
1618,86,C1,995,B1,,,erkälten,die Erkältung,,"to catch a cold, to get cold",the cold (illness),"attraper un rhume, prendre froid",le rhume,erkälten,"to catch a cold, to get cold","attraper un rhume, prendre froid",die Erkältung,the cold (illness),le rhume,Feminine,Féminin
1619,110,C2,1009,B1,,B1,,,,,,,,beschweren,"to complain, to weigh down","se plaindre, alourdir",die Beschwerde,the complaint,la plainte,,
1620,110,C2,1010,A1,B1,A1,,,,,,,,forschen,"to research, to investigate","faire des recherches, enquêter",die Forschung,the research,la recherche,,
1621,110,C2,1011,D1+,,,,,,,,,,servieren,to serve,servir,das Servieren,the service,le service,,
1622,110,C2,1012,C2,,,,,,,,,,bewundern,to admire,admirer,die Bewunderung,the admiration,l'admiration,,
1623,110,C2,1013,B1,,,,,,,,,,absehen,"to foresee, to overlook, to disregard","prévoir, négliger",das Absicht,the intention,l'intention,,
1624,110,C2,1021,B2,,,,,,,,,,auszeichnen,"to honor, to distinguish","honorer, distinguer",die Auszeichnung,"the distinction, the award","la distinction, la récompense",,
1625,110,C2,1027,D1+,,,,,,,,,,antreten,"to begin, to compete","commencer, concourir",das Antreten,the competition,la compétition,,
1626,110,C2,1036,D1+,,,,,,,,,,entschließen,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),der Entschluss,the decision,la décision,,
1627,110,C2,1039,B1,,B1,,,,,,,,ansteigen,to increase,augmenter,der Anstieg,the increase,l'augmentation,,
1628,110,C2,1041,B2,,,,,,,,,,verbleiben,to remain,rester,der Verbleib,the stay,le séjour,,
1629,110,C2,1042,C1,,,,,,,,,,einbeziehen,"to include, to involve, to integrate","inclure, impliquer, intégrer",die Einbeziehung,the inclusion,l'inclusion,,
1630,110,C2,1044,B2,,B1,,,,,,,,formulieren,"to formulate, to phrase","formuler, exprimer",die Formulierung,the formulation,la formulation,,
1631,110,C2,1045,B1,B1,B1,,,,,,,,herkommen,"to come over, come here (towards the speaker), to come from","venir, venir ici (vers l'orateur), venir de",die Herkunft,the origin,l'origine,,
1632,110,C2,1047,D1+,,,,,,,,,,weitergehen,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",das Weitergehen,the continuation,la suite,,
1633,110,C2,1048,C2,,,,,,,,,,aussetzen,"to pause, to suspend something, to abandon someone, to expose oneself to something (refl.)","faire une pause, suspendre quelque chose, abandonner quelqu'un, s'exposer à quelque chose (réfl.)",die Aussetzung,the suspension,la suspension,,
1634,110,C2,1049,C1,,,,,,,,,,unterzeichnen,to sign (formal),signer (formel),die Unterzeichnung,the signature,la signature,,
1635,110,C2,1051,C1,,,,,,,,,,befördern,to transport,transporter,die Beförderung,the promotion,la promotion,,
1636,110,C2,1114,B2,,A2,,,,,,,,behindern,"to obstruct, to hamper","gêner, entraver",die Behinderung,the obstruction,l'obstruction,,
1637,110,C2,1115,D1+,,,,,,,,,,verbergen,to conceal sth: to hide something,cacher quelque chose : cacher quelque chose,die Verbergung,the concealment,la dissimulation,,
1638,110,C2,1116,C2,,,,,,,,,,versetzen,"to put, to move, to deal, to give (a blow, hit), to transfer (when to do with work)","mettre, déplacer, distribuer, donner (un coup, un coup), transférer (quand il s'agit de travailler)",die Versetzung,the relocation,le déménagement,,
1639,110,C2,1154,B2,B1,,,,,,,,,beeilen,"to hurry, to hasten, to rush (refl.)","se dépêcher, se hâter, se précipiter (réfl.)",die Eile,the hurry,la hâte,,
1640,110,C2,1181,A2,B1,A2,,,,,,,,zweifeln,"to doubt, to question","douter, remettre en question",der Zweifel,the doubt,le doute,,
1641,110,C2,1195,B2,,B1,,,,,,,,ausstatten,"to equip, to outfit","équiper, équiper",die Ausstattung,the equipment,l'équipement,,
1642,110,C2,1209,C2,,,,,,,,,,verkleiden,"to to dress up, to to disguise oneself (refl.)",se déguiser,die Verkleidung,the disguise,le déguisement,,
1643,110,C2,1213,C2,,,,,,,,,,lindern,"to alleviate, to relieve","soulager, soulager",die Linderung,the relief,le soulagement,,
1644,110,C2,1215,D1+,,,,,,,,,,gönnen,"to treat, to allow, to grant","traiter, permettre, accorder",die Gönnung,the indulgence,l'indulgence,,
1645,110,C2,1296,D1+,,,,,,,,,,loswerden,to get rid of something or someone,se débarrasser de quelque chose ou de quelqu'un,das Loswerden,the removal,l'enlèvement,,
1646,110,C2,1297,C1,,,,,,,,,,gedenken,"to commemorate, to remember","commémorer, se souvenir",das Gedenken,the remembrance,le souvenir,,
1647,110,C2,1298,B2,,,,,,,,,,modern,to modernize,moderniser,die Modernisierung,the modernization,la modernisation,,
1648,110,C2,1299,D1+,,,,,,,,,,schnappen,"to snap (with one's mouth), to catch, to nab (a criminal) (coll.)","claquer (avec sa bouche), attraper, choper (un criminel) (coll.)",das Schnappen,the snatch,l'arrachage,,
1649,110,C2,1336,D1+,,,,,,,,,,duzen,to address informally,s'adresser de manière informelle,das Duzen,the informal address,l'adresse informelle,,
1650,110,C2,1338,B1,A1,B1,,,,,,,,wiedersehen,"to see again, to meet again","revoir, se revoir",das Wiedersehen,the reunion,les retrouvailles,,
1651,120,D1,1402,C2,,,,,,,,,,erwachsen,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler",das Erwachsenenalter,the adulthood,l'âge adulte,,
1652,120,D1,1402,A1,,,,,,,,,,erwachsen,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler",der Erwachsene,the adult,l'adulte,,
1653,120,D1,1404,C2,,,,,,,,,,verschwenden,"to squander, to waste","gaspiller, gaspiller",die Verschwendung,the waste,les déchets,,
1654,120,D1,1405,D1+,,,,,,,,,,siezen,to address formally,s'adresser formellement,das Siezen,the formal address,l'adresse officielle,,
1655,120,D1,1406,D1+,,,,,,,,,,verschweigen,to conceal,dissimuler,das Verschweigen,the concealment,la dissimulation,,
1656,120,D1,1411,C2,,,,,,,,,,begraben,to bury,enterrer,das Begräbnis,the burial,l'enterrement,,
1657,120,D1,1501,A1,B1,A1,,,,,,,,erfreuen,"to please, to enjoy (refl.)","plaire, jouir (réfl.)",die Freude,the delight,le plaisir,,
1658,120,D1,1504,C1,,,,,,,,,,nerven,"to annoy someone, to get on someone's nerves","ennuyer quelqu'un, taper sur les nerfs de quelqu'un",die Nervosität,the annoyance,l'ennui,,
1659,120,D1,1507,D1+,,,,,,,,,,klauen,to steal (colloquial),voler (familier),der Klau,the theft,le vol,,
1660,120,D1,1508,A1,B1,A1,,,,,,,,riskieren,to risk,risquer,das Risiko,the risk,le risque,,
1661,120,D1,1509,A1,B1,A1,,,,,,,,besiegen,to defeat (in battle or contest),vaincre (au combat ou dans un concours),der Sieg,the victory,la victoire,,
1662,120,D1,1510,D1+,,,,,,,,,,rauskommen,"to get out, to make it big (with gross before verb)","sortir, réussir (avec gross avant le verbe)",das Rauskommen,the emergence,l'émergence,,
1663,120,D1,1511,C2,,,,,,,,,,erschaffen,"to create, to produce, to make","créer, produire, fabriquer",die Erschaffung,the creation,la Création,,
1664,120,D1,1512,C2,,,,,,,,,,bereuen,"to regret something, to rue something","regretter quelque chose, se lamenter sur quelque chose",die Reue,the regret,le regret,,
1665,120,D1,1513,A1,A1,A2,,,,,,,,feuern,"to fire (a weapon), to fire (terminate employment)","tirer (avec une arme), tirer (mettre fin à l'emploi)",das Feuer,the fire,le feu,,
1666,120,D1,1546,A1,A1,A1,,,,,,,,färben,,,die Farbe,the color,la couleur,,
1667,120,D1,1612,D1+,,,,,,,,,,schiefgehen,to go wrong,aller mal,das Schiefgehen,the failure,l'échec,,
1668,120,D1,1646,B1,,B1,,,,,,,,ermorden,to murder,assassiner,der Mord,the murder,le meurtre,,
1669,120,D1,1687,B2,,,,,,,,,,explodieren,to explode,exploser,die Explosion,the explosion,l'explosion,,
1670,120,D1,1754,A1,A1,B1,,,,,,,,kleiden,,,die Kleidung,the clothes,les vêtements,,
1671,120,D1,1810,C2,,,,,,,,,,benehmen,to behave (refl.),se comporter (réfl.),das Benehmen,the behavior,le comportement,,
1672,120,D1,1833,D1+,,,,,,,,,,einprägen,to memorize,mémoriser,die Einprägung,the memorization,la mémorisation,,
1673,120,D1,1835,D1+,,,,,,,,,,beglückwünschen,"to congratulate, to felicitate","féliciter, féliciter",die Beglückwünschung,the congratulation,les félicitations,,
1674,120,D1,1837,C2,,,,,,,,,,vererben,to inherit,hériter,die Vererbung,the inheritance,l'héritage,,
1675,120,D1,1909,B1,B1,B1,,,,,,,,befreunden,to befriend (refl.),se lier d'amitié (réfl.),die Freundschaft,the friendship,l'amitié,,
1676,120,D1,2019,D1+,,,,,,,,,,verheiraten,"to marry (to perform the marriage), to get married (refl.)","se marier (célébrer le mariage), se marier (réfl.)",die Verheiratung,the marriage,le mariage,,
1677,120,D1,2020,B2,,,,,,,,,,duften,"to smell pleasant, to give off a fragrance","sentir bon, dégager un parfum",der Duft,the fragrance,le parfum,,
1678,120,D1,2021,D1+,,,,,,,,,,betrinken,to get drunk,se saouler,die Betrunkenheit,the intoxication,l'intoxication,,
1679,120,D1,2024,D1+,,,,,,,,,,verdammen,"to condemn, to damn","condamner, damner",die Verdammung,the condemnation,la condamnation,,
1680,120,D1,2029,B1,,,,,,,,,,sanieren,to renovate,à rénover,die Sanierung,the renovation,la rénovation,,
1681,120,D1,2070,B1,,B1,,,,,,,,anweisen,,,die Anweisung,the instruction,l'instruction,,
1682,120,D1,2580,A1,A1,A1,,,,,,,,altern,to age,vieillir,das Alter,the age,l'âge,,
1683,120,D1,2581,D1+,,,,,,,,,,bewachen,to guard,garder,der Wächten,the guard,le garde,,
1684,120,D2,2715,A2,B1,A2,,,,,,,,knien,to kneel,s'agenouiller,das Knie,the knee,le genou,,
1685,120,D2,2847,B1,,B1,,,,,,,,befehligen,to command,commander,der Befehl,the command,la commande,,
1686,120,D2,5797,A2,,B1,,,,,,,,aufmerken,to pay attention,faire attention,die Aufmerksamkeit,the attention,l'attention,,
1687,140,B2,508,D1+,,,nicken,das Nicken,,to nod,the nod,hocher la tête,le signe de tête,nicken,to nod,hocher la tête,das Nicken,the nod,le signe de tête,,
1688,140,B2,,D1+,,,nicken,das Nicken,,to nod,the nod,hocher la tête,le signe de tête,nicken,to nod,hocher la tête,das Nicken,the nod,le signe de tête,Neuter,Neutre
1689,150,C2,1275,D1+,,,ersparen,die Ersparnisse,,,the savings,,les économies,ersparen,,,die Ersparnisse,the savings,les économies,,
1690,150,C2,,D1+,,,ersparen,die Ersparnisse,,,the savings,,les économies,ersparen,,,die Ersparnisse,the savings,les économies,Feminine,Féminin
1691,150,B1,286,D1+,,,,,,,,,,weinen,"to cry, to weep","pleurer, sangloter",das Weinen,the cry,le cri,,
1692,150,B1,330,D1+,,,,,,,,,,geraten,"to get into, to fall into, to turn out","entrer dans, tomber dans, se révéler",das Geraten,the incident,l'incident,,
1693,150,B1,339,D1+,,,,,,,,,,mitmachen,"to participate, to join in, to go along","participer, se joindre à, accompagner",das Mitmachen,the participation,la participation,,
1694,150,B1,347,C2,,,,,,,,,,gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",die Gewöhnung,the habituation,l'habituation,,
1695,150,B1,360,B2,,,,,,,,,,schaffen,"to manage, to accomplish, to create","gérer, accomplir, créer",die Schaffung,the achievement,la réussite,,
1696,150,B1,373,C2,,,,,,,,,,ermöglichen,"to enable, to make possible","permettre, rendre possible",die Ermöglichung,the enablement,l'habilitation,,
1697,150,B1,391,D1+,,,,,,,,,,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",das Nachdenken,the reflection,le reflet,,
1698,150,B1,398,B2,,,,,,,,,,geschehen,"to happen, to occur, to take place","se produire, avoir lieu (formel)",das Geschehen,the event,l'événement,,
1699,150,B1,399,C2,,,,,,,,,,brennen,"to burn, to have a strong affection for, to induce pain","brûler, avoir une forte affection pour, provoquer de la douleur",das Brennen,the burn,la brûlure,,
1700,150,A2,105,D1+,,,,,,,,,,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",das Legen,the placement,le placement,,
1701,150,A2,106,B2,,,,,,,,,,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),der Schau,the show,le spectacle,,
