Nr,exercise,level,level_adjektive,level_verb,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,verb_german,verb_english,verb_french
476,171,D2,B2,D2,,,,,,,,flach,"flat, shallow","plat, superficiel",verflachen,,
477,171,D2,B2,D2,,,,,,,,wild,wild,sauvage,wildern,,
478,171,D2,B2,D2,,,,,,,,durchschnittlich,average,moyenne,durchschneiden,,
479,171,D2,B2,D2,,,,,,,,hübsch,pretty,joli,aufhübschen,,
480,171,D2,B2,D2,,,,,,,,selbstständig,"self-employed, independent","autonome, indépendant, à son compte",verselbstständigen,,
481,171,D2,B2,D2,,,,,,,,zufällig,random,"aléatoire, fortuit",zufallen,,
482,171,D2,B2,D2,,,,,,,,voraussichtlich,"expected, anticipated","prévu, anticipé",voraussehen,,
483,171,D2,B2,D2,,,,,,,,ängstlich,anxious,craintif,ängstigen,to frighten,effrayer
484,171,D2,B2,D2,,,,,,,,blass,pale,pâle,erblassen,,
485,171,D2,B2,D2,,,,,,,,blass,pale,pâle,verblassen,,
486,171,D2,B2,D2,,,,,,,,nachhaltig,"sustainable, lasting",durable,nachhalten,,
487,171,D2,B2,D2,,,,,,,,berühmt,famous,célèbre,rühmen,,
488,171,D2,B2,D2,,,,,,,,eifersüchtig,"jealous, envious","jaloux, envieux",ereifern,,
489,171,D2,B2,D2,,,,,,,,ziemlich,considerable,"pas mal de, assez",ziemen,,
490,171,D2,B2,D2,,,,,,,,schüchtern,shy,timide,einschüchtern,,
491,171,D2,B2,D2,,,,,,,,verrückt,crazy,fou,verrücken,,
492,171,D2,B2,D2,,,,,,,,wütend,angry,furieux,wüten,,
493,171,D2,B2,D2,,,,,,,,eindeutig,"articulate, clear, distinct, considerable","clair, notable, évident",eindeuten,,
494,171,D2,B2,D2,,,,,,,,herrlich,wonderful,merveilleux,verherrlichen,,
495,171,D2,B2,D2,,,,,,,,gering,low,bas,geringschätzen,,
496,171,D2,B2,D2,,,,,,,,populär,popular,populaire,pauschalisieren,,
497,171,D2,C1,D2,,,,,,,,vorläufig,provisional,"provisoire, préliminaire",vorlaufen,,
498,171,D2,C1,D2,,,,,,,,spitz,pointed,pointu,anspitzen,,
499,171,D2,C1,D2,,,,,,,,spitz,pointed,pointu,zuspitzen,,
500,171,D2,C1,D2,,,,,,,,angemessen,appropriate,approprié,anmessen,,
501,171,D2,C1,D2,,,,,,,,stumm,mute,muet,verstummen,,
502,171,D2,C1,D2,,,,,,,,friedlich,peaceful,pacifique,befrieden,,
503,171,D2,C1,D2,,,,,,,,erneut,anew,nouveau,erneuen,,
504,171,D2,C1,D2,,,,,,,,rau,rough,rugueux,aufrauen,,
505,171,D2,C1,D2,,,,,,,,fortgeschritten,advanced,avancé,fortschreiten,,
506,171,D2,C1,D2,,,,,,,,taub,deaf,sourd,betäuben,,
507,171,D2,C1,D2,,,,,,,,pauschal,blanket,forfaitaire,pauschalisieren,,
508,171,D2,C1,D2,,,,,,,,mager,"skinny, meager",maigre,abmagern,,
509,171,D2,C1,D2,,,,,,,,gewaltig,enormous,énorme,walten,,
510,171,D2,C1,D2,,,,,,,,gelegentlich,occasional,occasionnel,gelegen,,
511,171,D2,C1,D2,,,,,,,,umstritten,controversial,controversé,umstreiten,,
512,171,D2,C1,D2,,,,,,,,fähig,"capable, able",capable,befähigen,,
513,171,D2,C1,D2,,,,,,,,fromm,pious,pieux,frömmeln,,
514,171,D2,C1,D2,,,,,,,,korrupt,corrupt,corrompu,korrumpieren,,
515,171,D2,C1,D2,,,,,,,,vielfach,multiple,plusieurs fois,vervielfachen,,
516,171,D2,C1,D2,,,,,,,,sanft,soft,doux,besänftigen,,
517,171,D2,C1,D2,,,,,,,,schlicht,"simple, plain",simple,schlichten,,
518,171,D2,C1,D2,,,,,,,,vollkommen,"perfect, complete","parfait, complet",vervollkommnen,,
519,171,D2,C1,D2,,,,,,,,vermeintlich,supposedly,soi-disant,vermeinen,,
520,171,D2,C1,D2,,,,,,,,flüchtig,volatile,volatil,verflüchtigen,,
521,171,D2,C1,D2,,,,,,,,mutmaßlich,"alleged, suspected, presumed","présumé, probable",mutmaßen,,
522,171,D2,C1,D2,,,,,,,,boshaft,malicious,malveillant,erbosen,,
523,171,D2,C1,D2,,,,,,,,ekelhaft,disgusting,dégoûtant,ekeln,to disgust,dégoûter
524,171,D2,C1,D2,,,,,,,,eklig,disgusting,dégoûtant,ekeln,to disgust,dégoûter
525,171,D2,C1,D2,,,,,,,,geizig,stingy,avare,geizen,,
526,171,D2,C1,D2,,,,,,,,schlampig,sloppy,négligent,schlampen,,
527,171,D2,C1,D2,,,,,,,,spöttisch,mocking,railleur,spötteln,,
