Nr,exercise,level,level_adjektive,level_noun,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,noun_german,noun_english,noun_french,gender_english,gender_french
578,101,C1,C1,A2,,,,,,,,bargeldlos,cashless,sans espèces,das Bargeld,the cash,l'argent,,
579,101,C1,C1,B2,,,,,,,,präsent,present,présent,die Präsenz,the presence,la présence,,
580,101,C1,C1,A1,,,,,,,,wirkungsvoll,effective,efficace,die Wirkung,the effect,l'effet,,
581,101,C1,C1,C1,,,,,,,,waagerecht,horizontal,horizontal,die Waage,the scale,l'échelle,,
582,101,C1,C1,A2,,,,,,,,zweifellos,doubtless,indubitable,der Zweifel,the doubt,le doute,,
583,101,C1,C1,A2,,,,,,,,zweifelhaft,doubtful,douteux,der Zweifel,the doubt,le doute,,
584,101,C1,C1,A1,,,,,,,,nämlich,very same,à savoir,der Name,the name,le nom,,
585,101,C1,C1,B2,,,,,,,,überlegen,superior,supérieur,die Überlegung,the consideration,la considération,,
586,101,C1,C1,B1,,,,,,,,experimentell,experimental,expérimental,das Experiment,the experiment,l'expérience,,
587,101,C1,C1,C1,,,,,,,,übel,"nauseous, evil",mauvais,das Übel,the evil,le mal,,
588,101,C1,C1,C1,,,,,,,,übel,"nauseous, evil",mauvais,die Übelkeit,the nausea,la nausée,,
589,101,C1,C1,B2,,,,,,,,dynamisch,dynamic,dynamique,die Dynamik,the dynamics,la dynamique,,
590,101,B2,B2,A2,,,,,,,,begeistert,enthusiastic,enthousiaste,der Geist,the spirit,l'esprit,,
591,101,C1,C1,C1,,,,,,,,pädagogisch,educational,pédagogique,der Pädagoge,the educator,l'éducateur,,
592,101,C1,C1,A2,,,,,,,,restlich,remaining,restant,der Rest,the rest,le reste,,
593,101,C1,C1,A1,,,,,,,,kirchlich,ecclesiastical,ecclésiastique,die Kirche,the church,l'église,,
594,101,C1,C1,A1,,,,,,,,bürgerlich,civil,civil,der Bürger,the citizen,le citoyen,,
595,101,C1,C1,B1,,,,,,,,mühsam,tedious,fastidieux,die Mühe,the effort,l'effort,,
596,101,C1,C1,A1,,,,,,,,qualitativ,qualitativ,qualitatif,die Qualität,the quality,la qualité,,
597,101,C1,C1,B1,,,,,,,,landwirtschaftlich,agricultural,agricole,die Landwirtschaft,agriculture,agriculture,,
598,101,C1,C1,A1,,,,,,,,steuerlich,tax,impôt,die Steuer,the tax,l'impôt,,
599,101,C1,C1,C1,,,,,,,,nachträglich,retrospective,rétrospectif,der Nachtrag,the addendum,l'addendum,,
600,101,C1,C1,A1,,,,,,,,schulisch,scholar,scolaire,die Schule,the school,l'école,,
601,101,C1,C1,B1,,,,,,,,wurscht,irrelevant,égal,die Wurst,the sausage,la saucisse,,
602,101,C1,C1,B2,,,,,,,,süchtig,addictive,"accro, addict",die Sucht,the addiction,la dépendance,,
603,101,C1,C1,A2,,,,,,,,wettbewerbsfähig,competitive,compétitif,der Wettbewerb,the competition,la compétition,,
604,101,C1,C1,B2,,,,,,,,entspannt,relaxed,détendu,die Entspannung,relaxation,relaxation,,
605,101,C1,C1,C1,,,,,,,,kalorienarm,low-calorie,faible en calories,die Kalorie,the calorie,la calorie,,
606,101,C1,C1,C1,,,,,,,,kalorienreich,high in calories,riche en calories,die Kalorie,the calorie,la calorie,,
607,101,C1,C1,A1,,,,,,,,regnerisch,rainy,pluvieux,der Regen,the rain,la pluie,,
608,101,C1,C1,B2,,,,,,,,ekelhaft,disgusting,dégoûtant,der Ekel,disgust,dégoût,,
609,101,C1,C1,B2,,,,,,,,eklig,disgusting,dégoûtant,der Ekel,disgust,dégoût,,
610,101,C1,C1,A1,,,,,,,,gefühlvoll,emotional,émotionnel,das Gefühl,the feeling,le sentiment,,
611,101,C1,C1,A1,,,,,,,,kindisch,childish,puéril,das Kind,the child,l'enfant,,
612,101,C1,C1,B1,,,,,,,,launisch,moody,lunatique,die Laune,the mood,l'humeur,,
613,101,C1,C1,C1,,,,,,,,rebellisch,rebellious,rebelle,der Rebell,the rebel,le rebelle,,
614,101,C1,C1,B1,,,,,,,,rücksichtslos,reckless,téméraire,die Rücksicht,the consideration,la considération,,
615,101,C1,C1,B1,,,,,,,,rücksichtsvoll,considerate,prévenant,die Rücksicht,the consideration,la considération,,
616,101,C1,C1,C1,,,,,,,,spöttisch,mocking,railleur,der Spott,the mockery,la moquerie,,
617,101,C1,C1,B2,,,,,,,,angestellt,employed,employé,die Anstellung,the employment,l'emploi,,
618,101,C1,C1,A2,,,,,,,,wolkig,cloudy,nuageux,die Wolke,the cloud,le nuage,,
619,101,C1,C1,B1,,,,,,,,ahnungslos,unsuspecting,sans méfiance,die Ahnung,the feeling,le sentiment,,
620,101,C1,C1,A1,,,,,,,,vorteilhaft,advantageous,avantageux,der Vorteil,the advantage,l'avantage,,
621,101,C1,C1,B1,,,,,,,,widersprüchlich,contradictory,contradictoire,der Widerspruch,the contradiction,la contradiction,,
622,101,C1,C1,A2,,,,,,,,anspruchsvoll,demanding,exigeant,der Anspruch,the claim,la réclamation,,
623,121,C2+,B2,C2+,,,,,,,,fällig,due,exigible,die Fälligkeit,the due date,la date d'échéance,,
624,121,C2+,B2,C2+,die Bescheidenheit,bescheiden,,modest,the modesty,modeste,la modestie,bescheiden,modest,modeste,die Bescheidenheit,the modesty,la modestie,Feminine,Féminin
625,121,C2+,B2,C2+,die Bescheidenheit,bescheiden,,modest,the modesty,modeste,la modestie,bescheiden,modest,modeste,die Bescheidenheit,the modesty,la modestie,,
626,121,C2+,A1,C2+,die Langsamkeit,langsam,,slow,the slowness,lent,la lenteur,langsam,slow,lent,die Langsamkeit,the slowness,la lenteur,,
627,121,C2+,A1,C2+,die Gleichheit,gleich,,same,the equality,même,l'égalité,gleich,same,même,die Gleichheit,the equality,l'égalité,,
628,121,C2+,A1,C2+,die Ganzheit,ganz,,"whole, entire, complete",the whole,"entier, complet",l'ensemble,ganz,"whole, entire, complete","entier, complet",die Ganzheit,the whole,l'ensemble,,
629,121,C2+,A1,C2+,die Traurigkeit,traurig,,sad,the sadness,triste,la tristesse,traurig,sad,triste,die Traurigkeit,the sadness,la tristesse,,
630,121,C2+,A1,C2+,die Dummheit,dumm,,stupid,the stupidity,stupide,la stupidité,dumm,stupid,stupide,die Dummheit,the stupidity,la stupidité,,
631,121,C2+,A1,C2+,die Klugheit,klug,,smart,the cleverness,intelligent,l'habileté,klug,smart,intelligent,die Klugheit,the cleverness,l'habileté,,
632,121,C2+,A2,C2+,der Fleiß,fleißig,,hardworking,the diligence,diligent,la diligence,fleißig,hardworking,diligent,der Fleiß,the diligence,la diligence,,
633,121,C2+,A2,C2+,die Bitterkeit,bitter,,bitter,the bitterness,amer,l'amertume,bitter,bitter,amer,die Bitterkeit,the bitterness,l'amertume,,
634,121,C2+,B1,C2+,die Nützlichkeit,nützlich,,useful,the usefulness,utile,l'utilité,nützlich,useful,utile,die Nützlichkeit,the usefulness,l'utilité,,
635,121,C2+,B1,C2+,die Echtheit,echt,,"real, genuine",the authenticity,réel,l'authenticité,echt,"real, genuine",réel,die Echtheit,the authenticity,l'authenticité,,
636,121,C2+,B1,C2+,die Strenge,streng,,strict,the severity,strict,la gravité,streng,strict,strict,die Strenge,the severity,la gravité,,
637,121,C2+,B1,C2+,die Knappheit,knapp,,"scarce, short",the scarcity,"rare, court",la rareté,knapp,"scarce, short","rare, court",die Knappheit,the scarcity,la rareté,,
638,121,C2+,B1,C2+,die Bequemlichkeit,bequem,,"comfortable, convenient",the convenience,"confortable, pratique",la commodité,bequem,"comfortable, convenient","confortable, pratique",die Bequemlichkeit,the convenience,la commodité,,
639,121,C2+,B1,C2+,die Höflichkeit,höflich,,"polite, courteous",the politeness,"poli, courtois",la politesse,höflich,"polite, courteous","poli, courtois",die Höflichkeit,the politeness,la politesse,,
640,121,C2+,B1,C2+,die Gemütlichkeit,gemütlich,,"cozy, comfortable",the coziness,"douillet, confortable",le confort,gemütlich,"cozy, comfortable","douillet, confortable",die Gemütlichkeit,the coziness,le confort,,
641,121,C2+,B1,C2+,die Verschiedenheit,verschieden,,"different, various",the difference,"divers, différent",la différence,verschieden,"different, various","divers, différent",die Verschiedenheit,the difference,la différence,,
642,121,C2+,B1,C2+,die Verschlimmerung,schlimm,,bad,the worsening,mauvais,l'aggravation,schlimm,bad,mauvais,die Verschlimmerung,the worsening,l'aggravation,,
643,121,C2+,B1,C2+,die Fröhlichkeit,froh,,"happy, glad",the joy,"heureux, content",la joie,froh,"happy, glad","heureux, content",die Fröhlichkeit,the joy,la joie,,
644,121,C2+,B2,C2+,die Frechheit,frech,,cheeky,the audacity,"effronté, insolent",l'audace,frech,cheeky,"effronté, insolent",die Frechheit,the audacity,l'audace,,
645,121,C2+,B2,C2+,die Regelmäßigkeit,regelmäßig,,regular,the regularity,régulier,la régularité,regelmäßig,regular,régulier,die Regelmäßigkeit,the regularity,la régularité,,
646,121,C2+,B2,C2+,die Finanz,finanziell,,financial,the finance,financier,la finance,finanziell,financial,financier,die Finanz,the finance,la finance,,
647,121,C2+,B2,C2+,die Harmlosigkeit,harmlos,,harmless,the harmlessness,inoffensif,l'innocuité,harmlos,harmless,inoffensif,die Harmlosigkeit,the harmlessness,l'innocuité,,
648,121,C2+,B2,C2+,die Gründlichkeit,gründlich,,thorough,the thoroughness,"minutieux, rigoureux",la minutie,gründlich,thorough,"minutieux, rigoureux",die Gründlichkeit,the thoroughness,la minutie,,
649,121,C2+,B2,C2+,die Reinheit,rein,,pure,the purity,pur,la pureté,rein,pure,pur,die Reinheit,the purity,la pureté,,
650,121,C2+,B2,C2+,die Vielfältigkeit,vielfältig,,"diverse, varied",the diversity,"varié, divers",la diversité,vielfältig,"diverse, varied","varié, divers",die Vielfältigkeit,the diversity,la diversité,,
651,121,C2+,B2,C2+,die Heiligkeit,heilig,,holy,the holiness,sacré,la sainteté,heilig,holy,sacré,die Heiligkeit,the holiness,la sainteté,,
652,121,C2+,B2,C2+,die Pein,peinlich,,awkward,the pain,"embarrassant, gênant",la douleur,peinlich,awkward,"embarrassant, gênant",die Pein,the pain,la douleur,,
653,121,C2+,B2,C2+,die Empfindlichkeit,empfindlich,,sensitive,the sensitivity,sensible,la sensibilité,empfindlich,sensitive,sensible,die Empfindlichkeit,the sensitivity,la sensibilité,,
654,121,C2+,B2,C2+,die Großzügigkeit,großzügig,,generous,the generosity,généreux,la générosité,großzügig,generous,généreux,die Großzügigkeit,the generosity,la générosité,,
655,121,C2+,B2,C2+,die Berühmtheit,berühmt,,famous,the celebrity,célèbre,la célébrité,berühmt,famous,célèbre,die Berühmtheit,the celebrity,la célébrité,,
656,121,C2+,B2,C2+,die Bescheidenheit,bescheiden,,modest,the modesty,modeste,la modestie,bescheiden,modest,modeste,die Bescheidenheit,the modesty,la modestie,,
657,121,C2+,B2,C2+,die Eifersucht,eifersüchtig,,"jealous, envious",the jealousy,"jaloux, envieux",la jalousie,eifersüchtig,"jealous, envious","jaloux, envieux",die Eifersucht,the jealousy,la jalousie,,
658,121,C2+,B2,C2+,der Eifer,eifersüchtig,,"jealous, envious",the zeal,"jaloux, envieux",le zèle,eifersüchtig,"jealous, envious","jaloux, envieux",der Eifer,the zeal,le zèle,,
659,121,C2+,B2,C2+,die Einseitigkeit,einseitig,,one-sided,the one-sidedness,"unilatéral, partial",le caractère unilatéral,einseitig,one-sided,"unilatéral, partial",die Einseitigkeit,the one-sidedness,le caractère unilatéral,,
660,121,C2+,B2,C2+,die Eindeutigkeit,eindeutig,,"articulate, clear, distinct, considerable",the unambiguity,"clair, notable, évident",l'absence d'ambiguïté,eindeutig,"articulate, clear, distinct, considerable","clair, notable, évident",die Eindeutigkeit,the unambiguity,l'absence d'ambiguïté,,
661,121,C2+,B2,C2+,die Merkwürdigkeit,merkwürdig,,"strange, funny",the oddity,"étrange, drôle",l'étrangeté,merkwürdig,"strange, funny","étrange, drôle",die Merkwürdigkeit,the oddity,l'étrangeté,,
662,121,C2+,B2,C2+,die Herrlichkeit,herrlich,,wonderful,the glory,merveilleux,la gloire,herrlich,wonderful,merveilleux,die Herrlichkeit,the glory,la gloire,,
663,121,C2+,B2,C2+,die Fröhlichkeit,fröhlich,,"happy, glad",the joy,"heureux, content",la joie,fröhlich,"happy, glad","heureux, content",die Fröhlichkeit,the joy,la joie,,
664,121,C2+,B2,C2+,die Pauschale,populär,,popular,the flat rate,populaire,le tarif forfaitaire,populär,popular,populaire,die Pauschale,the flat rate,le tarif forfaitaire,,
665,121,C2+,C1,C2+,,,,,,,,verständlich,understandable,compréhensible,die Verständlichkeit,,,,
666,121,C2+,C1,C2+,,,,,,,,gar,"cooked, done, refined","bien cuit, à point",der Garaus,,,,
667,121,C2+,C1,C2+,,,,,,,,heftig,"fierce, violent",violent,die Heftigkeit,,,,
668,121,C2+,C1,C2+,,,,,,,,sensibel,sensitive,sensible,die Sensibilität,,,,
669,121,C2+,C1,C2+,,,,,,,,vereinbar,compatible,compatible,die Vereinbarkeit,,,,
670,121,C2+,C1,C2+,,,,,,,,pauschal,blanket,forfaitaire,die Pauschale,,,,
671,121,C2+,C1,C2+,,,,,,,,geographisch,geographical,géographique,die Geografie,,,,
672,121,C2+,C1,C2+,,,,,,,,anständig,decent,respectable,der Anstand,,,,
673,121,C2+,C1,C2+,,,,,,,,aufrichtig,"candid, frank, sincere",sincère,die Aufrichtigkeit,,,,
674,121,C2+,C1,C2+,,,,,,,,eigenverantwortlich,directly responsible,directement responsable,die Eigenverantwortlichkeit,,,,
675,121,C2+,C1,C2+,,,,,,,,fromm,pious,pieux,die Frömmigkeit,,,,
676,121,C2+,C1,C2+,,,,,,,,gesellig,sociable,sociable,die Geselligkeit,,,,
677,121,C2+,C1,C2+,,,,,,,,gesellig,sociable,sociable,die Geselle,,,,
678,121,C2+,C1,C2+,,,,,,,,grausam,awful,affreux,die Grausamkeit,,,,
679,121,C2+,C1,C2+,,,,,,,,hartnäckig,persistent,persistant,die Hartnäckigkeit,,,,
680,121,C2+,C1,C2+,,,,,,,,heiter,cheerful,joyeux,die Heiterkeit,,,,
681,121,C2+,C1,C2+,,,,,,,,schlicht,"simple, plain",simple,die Schlichtheit,,,,
682,121,C2+,C1,C2+,,,,,,,,vollkommen,"perfect, complete","parfait, complet",die Vollkommenheit,,,,
683,121,C2+,C1,C2+,,,,,,,,rechtswidrig,unlawful,illicite,die Rechtswidrigkeit,,,,
684,121,C2+,C1,C2+,,,,,,,,reibungslos,Smoothly,Doucement,die Reibung,,,,
685,121,C2+,C1,C2+,,,,,,,,egoistisch,egotistical,égocentrique,der Egoist,,,,
686,121,C2+,C1,C2+,,,,,,,,egoistisch,egotistical,égocentrique,der Egoismus,,,,
687,121,C2+,C1,C2+,,,,,,,,gleichgültig,indifferent,indifférent,die Gleichgültigkeit,,,,
688,121,C2+,C1,C2+,,,,,,,,geizig,stingy,avare,der Geiz,,,,
689,121,C2+,C1,C2+,,,,,,,,nachlässig,negligent,négligent,die Nachlässigkeit,,,,
690,121,C2+,C1,C2+,,,,,,,,schwermütig,melancholy,mélancolie,die Schwermut,,,,
691,121,C2+,C1,C2+,,,,,,,,selbstsicher,self-confident,sûr de soi,die Selbstsicherheit,,,,
692,121,C2+,C1,C2+,,,,,,,,vertraulich,confidential,confidentiel,die Vertraulichkeit,,,,
693,121,C2+,C1,C2+,,,,,,,,aussagekräftig,meaningful,significatif,die Aussagekraft,,,,
694,121,C2+,C1,C2+,,,,,,,,tapfer,brave,courageux,die Tapferkeit,,,,
695,121,C2+,C1,C2+,,,,,,,,verständlich,,,die Verständlichkeit,,,,
696,121,C2+,C1,C2+,,,,,,,,gar,,,der Garaus,,,,
697,121,C2+,C1,C2+,,,,,,,,heftig,,,die Heftigkeit,,,,
698,121,C2+,C1,C2+,,,,,,,,sensibel,,,die Sensibilität,,,,
699,121,C2+,C1,C2+,,,,,,,,vereinbar,,,die Vereinbarkeit,,,,
700,121,C2+,C1,C2+,,,,,,,,pauschal,,,die Pauschale,,,,
701,121,C2+,C1,C2+,,,,,,,,geographisch,,,die Geografie,,,,
702,121,C2+,C1,C2+,,,,,,,,anständig,,,der Anstand,,,,
703,121,C2+,C1,C2+,,,,,,,,aufrichtig,,,die Aufrichtigkeit,,,,
704,121,C2+,C1,C2+,,,,,,,,eigenverantwortlich,,,die Eigenverantwortlichkeit,,,,
705,121,C2+,C1,C2+,,,,,,,,fromm,,,die Frömmigkeit,,,,
706,121,C2+,C1,C2+,,,,,,,,gesellig,,,die Geselligkeit,,,,
707,121,C2+,C1,C2+,,,,,,,,gesellig,,,die Geselle,,,,
708,121,C2+,C1,C2+,,,,,,,,grausam,,,die Grausamkeit,,,,
709,121,C2+,C1,C2+,,,,,,,,hartnäckig,,,die Hartnäckigkeit,,,,
710,121,C2+,C1,C2+,,,,,,,,heiter,,,die Heiterkeit,,,,
711,121,C2+,C1,C2+,,,,,,,,tapfer,,,die Tapferkeit,,,,
712,121,C2+,C1,C2+,,,,,,,,schlicht,,,die Schlichtheit,,,,
713,121,C2+,C1,C2+,,,,,,,,vollkommen,,,die Vollkommenheit,,,,
714,121,C2+,C1,C2+,,,,,,,,rechtswidrig,,,die Rechtswidrigkeit,,,,
715,121,C2+,C1,C2+,,,,,,,,reibungslos,,,die Reibung,,,,
716,121,C2+,C1,C2+,,,,,,,,egoistisch,,,der Egoist,,,,
717,121,C2+,C1,C2+,,,,,,,,egoistisch,,,der Egoismus,,,,
718,121,C2+,C1,C2+,,,,,,,,gleichgültig,,,die Gleichgültigkeit,,,,
719,121,C2+,C1,C2+,,,,,,,,geizig,,,der Geiz,,,,
720,121,C2+,C1,C2+,,,,,,,,nachlässig,,,die Nachlässigkeit,,,,
721,121,C2+,C1,C2+,,,,,,,,schwermütig,,,die Schwermut,,,,
722,121,C2+,C1,C2+,,,,,,,,selbstsicher,,,die Selbstsicherheit,,,,
723,121,C2+,C1,C2+,,,,,,,,vertraulich,,,die Vertraulichkeit,,,,
724,121,C2+,C1,C2+,,,,,,,,aussagekräftig,,,die Aussagekraft,,,,
725,151,D1,A1,D1+,das Alte,alt,,old,the old,vieux,le vieux,alt,old,vieux,das Alte,the old,le vieux,,
726,151,D1,A1,D1+,die Falschheit,falsch,,"false, wrong",the falsehood,faux,le mensonge,falsch,"false, wrong",faux,die Falschheit,the falsehood,le mensonge,,
727,151,D1,A1,D1+,die Schlechtigkeit,schlecht,,bad,the wickedness,mauvais,la méchanceté,schlecht,bad,mauvais,die Schlechtigkeit,the wickedness,la méchanceté,,
728,151,D1,A1,D1+,die Hässlichkeit,hässlich,,ugly,the ugliness,laid,la laideur,hässlich,ugly,laid,die Hässlichkeit,the ugliness,la laideur,,
729,151,D1,A1,D1+,die Glücklichkeit,glücklich,,"happy, glad",the happiness,"heureux, content",le bonheur,glücklich,"happy, glad","heureux, content",die Glücklichkeit,the happiness,le bonheur,,
730,151,D1,A1,D1+,die Müdigkeit,müde,,tired,the fatigue,fatigué,la fatigue,müde,tired,fatigué,die Müdigkeit,the fatigue,la fatigue,,
731,151,D1,A2,D1+,der Ahn,ähnlich,,similar,the ancestor,similaire,l'ancêtre,ähnlich,similar,similaire,der Ahn,the ancestor,l'ancêtre,,
732,151,D1,B1,D1+,der Fremder,fremd,,foreign,the stranger,étranger,l'étranger,fremd,foreign,étranger,der Fremder,the stranger,l'étranger,,
733,151,D1,B1,D1+,das Böse,böse,,"evil, angry",the evil,"méchant, en colère",le mal,böse,"evil, angry","méchant, en colère",das Böse,the evil,le mal,,
734,151,D1,B1,D1+,die Blödheit,blöd,,stupid,the stupidity,stupide,la stupidité,blöd,stupid,stupide,die Blödheit,the stupidity,la stupidité,,
735,151,D1,B2,D1+,die Illegalität,illegal,,illegal,the illegality,illégal,l'illégalité,illegal,illegal,illégal,die Illegalität,the illegality,l'illégalité,,
736,151,D1,B2,D1+,die Wildnis,wild,,wild,the wilderness,sauvage,la nature sauvage,wild,wild,sauvage,die Wildnis,the wilderness,la nature sauvage,,
737,151,D1,B2,D1+,die Fairness,fair,,fair,the fairness,"juste, équitable",la justice,fair,fair,"juste, équitable",die Fairness,the fairness,la justice,,
738,151,D1,B2,D1+,die Blässe,blass,,pale,the pallor,pâle,la pâleur,blass,pale,pâle,die Blässe,the pallor,la pâleur,,
739,151,D1,B2,D1+,der Bekannter,bekannt,,known,the acquaintance,connu,la connaissance,bekannt,known,connu,der Bekannter,the acquaintance,la connaissance,,
740,151,D1,B2,D1+,"das Rund, die Runde",rund,,round,"the round, the circle",rond,"le rond, le cercle",rund,round,rond,"das Rund, die Runde","the round, the circle","le rond, le cercle",,
741,151,D1,B2,D1+,der Heiliger,heilig,,holy,the saint,sacré,le saint,heilig,holy,sacré,der Heiliger,the saint,le saint,,
742,151,D1,B2,D1+,die Schlankheit,schlank,,thin,the slimness,mince,la minceur,schlank,thin,mince,die Schlankheit,the slimness,la minceur,,
743,151,D1,B2,D1+,die Kunft,künftig,,future,the future,futur,l'avenir,künftig,future,futur,die Kunft,the future,l'avenir,,
744,151,D1,B2,D1+,die Gewissheit,gewiss,,"certain, determined",the certainty,"déterminé, destiné",la certitude,gewiss,"certain, determined","déterminé, destiné",die Gewissheit,the certainty,la certitude,,
745,151,D1,C1,D1+,,,,,,,,einheimisch,"indigenous, domestic, native",indigène,der Einheimischer,,,,
746,151,D1,C1,D1+,,,,,,,,schlau,clever,malin,die Schläue,,,,
747,151,D1,C1,D1+,,,,,,,,gespannt,tense,tendu,die Gespanntheit,,,,
748,151,D1,C1,D1+,,,,,,,,spitz,pointed,pointu,der Spitz,,,,
749,151,D1,C1,D1+,,,,,,,,ausschließlich,exclusive,exclusif,der Ausschluss,,,,
750,151,D1,C1,D1+,,,,,,,,spezifisch,specific,spécifique,die Spezifität,,,,
751,151,D1,C1,D1+,,,,,,,,bewusst,"conscious, aware, intentional",conscient,das Bewusstsein,,,,
752,151,D1,C1,D1+,,,,,,,,außergewöhnlich,unusual,inhabituel,die Außergewöhnlichkeit,,,,
753,151,D1,C1,D1+,,,,,,,,gerade,"even, straight",droit,die Gerade,,,,
754,151,D1,C1,D1+,,,,,,,,anständig,decent,respectable,die Anständigkeit,,,,
755,151,D1,C1,D1+,,,,,,,,niedlich,cute,mignon,die Niedlichkeit,,,,
756,151,D1,C1,D1+,,,,,,,,steif,stiff,rigide,die Steifheit,,,,
757,151,D1,C1,D1+,,,,,,,,stilistisch,stylistic,stylistique,der Stilist,,,,
758,151,D1,C1,D1+,,,,,,,,minderwertig,inferior,inférieur,die Minderwertigkeit,,,,
759,151,D1,C1,D1+,,,,,,,,sanft,soft,doux,die Sanftheit,,,,
760,151,D1,C1,D1+,,,,,,,,stetig,"steady, continuous","continu, incessant",die Stetigkeit,,,,
761,151,D1,C1,D1+,,,,,,,,fachlich,technical,professionnel,der Fachman,,,,
762,151,D1,C1,D1+,,,,,,,,starr,rigid,rigide,die Starre,,,,
763,151,D1,C1,D1+,,,,,,,,flüchtig,volatile,volatil,die Flüchtigkeit,,,,
764,151,D1,C1,D1+,,,,,,,,vorzeitig,premature,prématuré,die Vorzeitigkeit,,,,
765,151,D1,C1,D1+,,,,,,,,flüssig,fluid,fluide,der Fluß,,,,
766,151,D1,C1,D1+,,,,,,,,engstirnig,narrow-minded,borné,die Engstirnigkeit,,,,
767,151,D1,C1,D1+,,,,,,,,gastfreundlich,hospitable,hospitalier,die Gastfreundlichkeit,,,,
768,151,D1,C1,D1+,,,,,,,,hinterlistig,treacherous,perfide,die Hinterlistigkeit,,,,
769,151,D1,C1,D1+,,,,,,,,kleinlich,petty,petit,die Kleinlichkeit,,,,
770,151,D1,C1,D1+,,,,,,,,krumm,crooked,courbé,die Krümme,,,,
771,151,D1,C1,D1+,,,,,,,,selbstlos,selfless,désintéressé,die Selbstlosigkeit,,,,
772,151,D1,C1,D1+,,,,,,,,schlau,,,die Schläue,,,,
773,151,D1,C1,D1+,,,,,,,,gespannt,,,die Gespanntheit,,,,
774,151,D1,C1,D1+,,,,,,,,spitz,,,der Spitz,,,,
775,151,D1,C1,D1+,,,,,,,,ausschließlich,,,der Ausschluss,,,,
776,151,D1,C1,D1+,,,,,,,,spezifisch,,,die Spezifität,,,,
777,151,D1,C1,D1+,,,,,,,,bewusst,,,das Bewusstsein,,,,
778,151,D1,C1,D1+,,,,,,,,außergewöhnlich,,,die Außergewöhnlichkeit,,,,
779,151,D1,C1,D1+,,,,,,,,gerade,,,die Gerade,,,,
780,151,D1,C1,D1+,,,,,,,,anständig,,,die Anständigkeit,,,,
781,151,D1,C1,D1+,,,,,,,,niedlich,,,die Niedlichkeit,,,,
782,151,D1,C1,D1+,,,,,,,,steif,,,die Steifheit,,,,
783,151,D1,C1,D1+,,,,,,,,stilistisch,,,der Stilist,,,,
784,151,D1,C1,D1+,,,,,,,,minderwertig,,,die Minderwertigkeit,,,,
785,151,D1,C1,D1+,,,,,,,,sanft,,,die Sanftheit,,,,
786,151,D1,C1,D1+,,,,,,,,stetig,,,die Stetigkeit,,,,
787,151,D1,C1,D1+,,,,,,,,fachlich,,,der Fachman,,,,
788,151,D1,C1,D1+,,,,,,,,starr,,,die Starre,,,,
789,151,D1,C1,D1+,,,,,,,,flüchtig,,,die Flüchtigkeit,,,,
790,151,D1,C1,D1+,,,,,,,,vorzeitig,,,die Vorzeitigkeit,,,,
791,151,D1,C1,D1+,,,,,,,,flüssig,,,der Fluß,,,,
792,151,D1,C1,D1+,,,,,,,,engstirnig,,,die Engstirnigkeit,,,,
793,151,D1,C1,D1+,,,,,,,,gastfreundlich,,,die Gastfreundlichkeit,,,,
794,151,D1,C1,D1+,,,,,,,,hinterlistig,,,die Hinterlistigkeit,,,,
795,151,D1,C1,D1+,,,,,,,,kleinlich,,,die Kleinlichkeit,,,,
796,151,D1,C1,D1+,,,,,,,,krumm,,,die Krümme,,,,
797,151,D1,C1,D1+,,,,,,,,selbstlos,,,die Selbstlosigkeit,,,,
