Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
709,24,Wegen _____ Häuser,ältester,Wegen ältester Häuser,Because of oldest houses,À cause des maisons les plus anciennes,alt,Plural,Pluriel,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
710,24,Mit _____ Nachbarn,nettesten,Mit nettesten Nachbarn,With nicest neighbors,Avec les voisins les plus sympathiques,nett,Plural,Pluriel,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
711,24,_____ Vögel im Baum,Lauteste,Lauteste Vögel im Baum,Loudest birds in the tree,Les oiseaux les plus bruyants de l'arbre,laut,Plural,Pluriel,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
712,25,für diese _____ Mutter,nette,für diese nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
713,25,für diesen _____ Vater,netten,für diesen netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
714,25,für dieses _____ Kind,nette,für dieses nette Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
715,25,für diese _____ Eltern,netten,für diese netten Eltern,,,nett,Plural,Pluriel,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
716,25,mit dieser _____ Mutter,netten,mit dieser netten Mutter,,,nett,Feminine,Féminin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
717,25,mit diesem _____ Vater,netten,mit diesem netten Vater,,,nett,Masculine,Masculin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
718,25,mit diesem _____ Kind,netten,mit diesem netten Kind,,,nett,Neuter,Neutre,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
719,25,mit diesen _____ Eltern,netten,mit diesen netten Eltern,,,nett,Plural,Pluriel,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
720,25,wegen dieser _____ Mutter,netten,wegen dieser netten Mutter,,,nett,Feminine,Féminin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
721,25,wegen dieses _____ Vaters,netten,wegen dieses netten Vaters,,,nett,Masculine,Masculin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
722,25,wegen dieses _____ Kindes,netten,wegen dieses netten Kindes,,,nett,Neuter,Neutre,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
723,25,wegen dieser _____ Eltern,netten,wegen dieser netten Eltern,,,nett,Plural,Pluriel,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
724,25,diese _____ Mutter,nette,diese nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
725,25,dieser _____ Vater,nette,dieser nette Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
726,25,dieses _____ Kind,nette,dieses nette Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
727,25,diese _____ Eltern,netten,diese netten Eltern,,,nett,Plural,Pluriel,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
728,26,Ich kenne diese _____ Schülerin seit Jahren.,fleißige,Ich kenne diese fleißige Schülerin seit Jahren.,I have known this hard-working student for years.,Je connais cet étudiant travailleur depuis des années.,fleißig,Feminine,Féminin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
729,26,Er besucht diese _____ Frau regelmäßig im Pflegeheim.,alte,Er besucht diese alte Frau regelmäßig im Pflegeheim.,He regularly visits this old woman in the nursing home.,Il rend régulièrement visite à cette vieille femme dans la maison de retraite.,alt,Feminine,Féminin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
730,26,Wir haben diese _____ Künstlerin auf einer Ausstellung getroffen.,junge,Wir haben diese junge Künstlerin auf einer Ausstellung getroffen.,We met this young artist at an exhibition.,Nous avons rencontré ce jeune artiste lors d'une exposition.,jung,Feminine,Féminin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
731,26,Ich sehe diesen _____ Schüler in der Bibliothek.,fleißigen,Ich sehe diesen fleißigen Schüler in der Bibliothek.,I see this diligent student in the library.,Je vois cet étudiant assidu à la bibliothèque.,fleißig,Masculine,Masculin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
732,26,Ich besuche diesen _____ Mann jeden Sonntag.,alten,Ich besuche diesen alten Mann jeden Sonntag.,I visit this old man every Sunday.,Je rends visite à ce vieil homme tous les dimanches.,alt,Masculine,Masculin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
733,26,Ich bewundere diesen _____ Künstler für seine Werke.,jungen,Ich bewundere diesen jungen Künstler für seine Werke.,I admire this young artist for his works.,J'admire ce jeune artiste pour ses œuvres.,jung,Masculine,Masculin,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
734,26,Ich kaufe diesem fleißigen Kind ein _____ Buch.,neues,Ich kaufe diesem fleißigen Kind ein neues Buch.,I'm buying this hardworking child a new book.,J'achète un nouveau livre à cet enfant qui travaille dur.,neu,Neuter,Neutre,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
735,26,Wir besichtigen dieses _____ Haus am Wochenende.,alte,Wir besichtigen dieses alte Haus am Wochenende.,We're visiting this old house this weekend.,Nous visitons cette vieille maison ce week-end.,alt,Neuter,Neutre,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
736,26,Er unterstützt dieses _____ Unternehmen finanziell.,junge,Er unterstützt dieses junge Unternehmen finanziell.,He supports this young company financially.,Il soutient financièrement cette jeune entreprise.,jung,Neuter,Neutre,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
737,26,Ich sehe diese _____ Schüler jeden Tag in der Schule.,fleißigen,Ich sehe diese fleißigen Schüler jeden Tag in der Schule.,I see these hardworking students every day at school.,Je vois ces élèves qui travaillent dur tous les jours à l’école.,fleißig,Plural,Pluriel,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
738,26,Wir besuchen diese _____ Häuser in unserer Stadt.,alten,Wir besuchen diese alten Häuser in unserer Stadt.,We visit these old houses in our city.,Nous visitons ces vieilles maisons de notre ville.,alt,Plural,Pluriel,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
739,26,Sie hat diese _____ Künstler zur Ausstellung eingeladen.,jungen,Sie hat diese jungen Künstler zur Ausstellung eingeladen.,She invited these young artists to the exhibition.,Elle a invité ces jeunes artistes à l’exposition.,jung,Plural,Pluriel,Accusative,Accusatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
740,26,Ich helfe dieser _____ Schülerin bei den Matheaufgaben.,fleißigen,Ich helfe dieser fleißigen Schülerin bei den Matheaufgaben.,I'm helping this hard-working student with her math homework.,J'aide cette étudiante travailleuse avec ses devoirs de mathématiques.,fleißig,Feminine,Féminin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
741,26,Er schenkt dieser _____ Frau einen Blumenstrauß.,alten,Er schenkt dieser alten Frau einen Blumenstrauß.,He gives this old woman a bouquet of flowers.,Il offre à cette vieille femme un bouquet de fleurs.,alt,Feminine,Féminin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
742,26,Wir gratulieren dieser _____ Künstlerin zu ihrem Erfolg.,jungen,Wir gratulieren dieser jungen Künstlerin zu ihrem Erfolg.,We congratulate this young artist on her success.,Nous félicitons cette jeune artiste pour sa réussite.,jung,Feminine,Féminin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
743,26,Ich helfe diesem _____ Schüler bei den Hausaufgaben.,fleißigen,Ich helfe diesem fleißigen Schüler bei den Hausaufgaben.,I'm helping this hard-working student with his homework.,J'aide cet étudiant travailleur avec ses devoirs.,fleißig,Masculine,Masculin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
744,26,Sie spricht mit diesem _____ Mann über seine Vergangenheit.,alten,Sie spricht mit diesem alten Mann über seine Vergangenheit.,She talks to this old man about his past.,Elle parle à ce vieil homme de son passé.,alt,Masculine,Masculin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
745,26,Er gratuliert diesem _____ Künstler zu seinem Erfolg.,jungen,Er gratuliert diesem jungen Künstler zu seinem Erfolg.,He congratulates this young artist on his success.,Il félicite ce jeune artiste pour sa réussite.,jung,Masculine,Masculin,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
746,26,Ich gebe diesem _____ Kind ein neues Buch.,fleißigen,Ich gebe diesem fleißigen Kind ein neues Buch.,I give this hardworking child a new book.,Je donne à cet enfant travailleur un nouveau livre.,fleißig,Neuter,Neutre,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
747,26,Wir helfen diesem _____ Haus mit einer Renovierung.,alten,Wir helfen diesem alten Haus mit einer Renovierung.,We are helping this old house with a renovation.,Nous aidons cette vieille maison à se rénover.,alt,Neuter,Neutre,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
748,26,Er schenkt diesem _____ Unternehmen eine große Investition.,jungen,Er schenkt diesem jungen Unternehmen eine große Investition.,He is making a major investment in this young company.,Il réalise un investissement majeur dans cette jeune entreprise.,jung,Neuter,Neutre,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
749,26,Ich helfe diesen _____ Schülern bei den Hausaufgaben.,fleißigen,Ich helfe diesen fleißigen Schülern bei den Hausaufgaben.,I help these hardworking students with their homework.,J'aide ces étudiants qui travaillent dur avec leurs devoirs.,fleißig,Plural,Pluriel,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
750,26,Wir schenken diesen _____ Häusern eine Renovierung.,alten,Wir schenken diesen alten Häusern eine Renovierung.,We are giving these old houses a renovation.,Nous rénovons ces vieilles maisons.,alt,Plural,Pluriel,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
751,26,Sie gratuliert diesen _____ Künstlern zu ihrem Erfolg.,jungen,Sie gratuliert diesen jungen Künstlern zu ihrem Erfolg.,She congratulates these young artists on their success.,Elle félicite ces jeunes artistes pour leur succès.,jung,Plural,Pluriel,Dative,Datif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
752,26,Während dieser _____ Schülerin Abwesenheit hat die Klasse weitergearbeitet.,fleißigen,Während dieser fleißigen Schülerin Abwesenheit hat die Klasse weitergearbeitet.,"During this diligent student's absence, the class continued working.","Pendant l'absence de cet élève assidu, la classe a continué à travailler.",fleißig,Feminine,Féminin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
753,26,Trotz dieser _____ Frau Weisheit hörte niemand auf sie.,alten,Trotz dieser alten Frau Weisheit hörte niemand auf sie.,"Despite this old woman's wisdom, no one listened to her.","Malgré la sagesse de cette vieille femme, personne ne l’écoutait.",alt,Feminine,Féminin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
754,26,Anlässlich dieser _____ Künstlerin Ausstellung waren viele Besucher da.,jungen,Anlässlich dieser jungen Künstlerin Ausstellung waren viele Besucher da.,There were many visitors at this young artist's exhibition.,Les visiteurs étaient nombreux à l'exposition de ce jeune artiste.,jung,Feminine,Féminin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
755,26,Während dieses _____ Schülers Abwesenheit hat die Klasse weitergearbeitet.,fleißigen,Während dieses fleißigen Schülers Abwesenheit hat die Klasse weitergearbeitet.,"During this diligent student's absence, the class continued working.","Pendant l'absence de cet élève assidu, la classe a continué à travailler.",fleißig,Masculine,Masculin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
756,26,Trotz dieses _____ Mannes Warnungen ging er weiter.,alten,Trotz dieses alten Mannes Warnungen ging er weiter.,"Despite this old man's warnings, he continued.","Malgré les avertissements du vieil homme, il continua.",alt,Masculine,Masculin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
757,26,Anlässlich dieses _____ Künstlers Ausstellung kamen viele Besucher.,jungen,Anlässlich dieses jungen Künstlers Ausstellung kamen viele Besucher.,Many visitors came to this young artist's exhibition.,De nombreux visiteurs sont venus à l'exposition de ce jeune artiste.,jung,Masculine,Masculin,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
758,26,Trotz dieses _____ Kindes harter Arbeit gab es keine Anerkennung.,fleißigen,Trotz dieses fleißigen Kindes harter Arbeit gab es keine Anerkennung.,"Despite this diligent child's hard work, there was no recognition.","Malgré le travail acharné de cet enfant assidu, il n’y avait aucune reconnaissance.",fleißig,Neuter,Neutre,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
759,26,Während dieses _____ Hauses Renovierung konnten wir es nicht betreten.,alten,Während dieses alten Hauses Renovierung konnten wir es nicht betreten.,During renovation of this old house we could not enter it.,"Lors de la rénovation de cette vieille maison, nous n'avons pas pu y entrer.",alt,Neuter,Neutre,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
760,26,Aufgrund dieses _____ Unternehmens schnellen Wachstums steigen die Aktienkurse.,jungen,Aufgrund dieses jungen Unternehmens schnellen Wachstums steigen die Aktienkurse.,"Due to this young company's rapid growth, share prices are rising.","En raison de la croissance rapide de cette jeune entreprise, le cours des actions augmente.",jung,Neuter,Neutre,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
761,26,Trotz dieser _____ Schüler harter Arbeit gab es wenige Belohnungen.,fleißigen,Trotz dieser fleißigen Schüler harter Arbeit gab es wenige Belohnungen.,"Despite these diligent students' hard work, there were few rewards.","Malgré le travail acharné de ces étudiants assidus, les récompenses furent rares.",fleißig,Plural,Pluriel,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
762,26,Während dieser _____ Häuser Renovierung mussten viele Menschen umziehen.,alten,Während dieser alten Häuser Renovierung mussten viele Menschen umziehen.,During these old houses renovations many people had to move.,"Lors des rénovations de ces vieilles maisons, de nombreuses personnes ont dû déménager.",alt,Plural,Pluriel,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
763,26,Aufgrund dieser _____ Künstler kreativen Ideen wurde die Ausstellung ein Erfolg.,jungen,Aufgrund dieser jungen Künstler kreativen Ideen wurde die Ausstellung ein Erfolg.,"Thanks to these young artists’ creative ideas, the exhibition was a success.","Grâce aux idées créatives de ces jeunes artistes, l’exposition a été un succès.",jung,Plural,Pluriel,Genitive,Génitif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
764,26,Diese _____ Schülerin hat die beste Note bekommen.,fleißige,Diese fleißige Schülerin hat die beste Note bekommen.,This hardworking student got the best grade.,Cet étudiant travailleur a obtenu la meilleure note.,fleißig,Feminine,Féminin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
765,26,Diese _____ Frau erzählt immer interessante Geschichten.,alte,Diese alte Frau erzählt immer interessante Geschichten.,This old woman always tells interesting stories.,Cette vieille femme raconte toujours des histoires intéressantes.,alt,Feminine,Féminin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
766,26,Diese _____ Künstlerin hat ein beeindruckendes Gemälde geschaffen.,junge,Diese junge Künstlerin hat ein beeindruckendes Gemälde geschaffen.,This young artist has created an impressive painting.,Ce jeune artiste a créé une peinture impressionnante.,jung,Feminine,Féminin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
767,26,Dieser _____ Schüler hat die beste Note bekommen.,fleißige,Dieser fleißige Schüler hat die beste Note bekommen.,This hardworking student got the best grade.,Cet étudiant travailleur a obtenu la meilleure note.,fleißig,Masculine,Masculin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
768,26,Dieser _____ Mann erzählt immer interessante Geschichten.,alte,Dieser alte Mann erzählt immer interessante Geschichten.,This old man always tells interesting stories.,Ce vieil homme raconte toujours des histoires intéressantes.,alt,Masculine,Masculin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
769,26,Dieser _____ Künstler hat ein beeindruckendes Gemälde geschaffen.,junge,Dieser junge Künstler hat ein beeindruckendes Gemälde geschaffen.,This young artist has created an impressive painting.,Ce jeune artiste a créé une peinture impressionnante.,jung,Masculine,Masculin,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
770,26,Dieses _____ Kind lernt jeden Tag neue Vokabeln.,fleißige,Dieses fleißige Kind lernt jeden Tag neue Vokabeln.,This hardworking child learns new vocabulary every day.,Cet enfant travailleur apprend chaque jour du nouveau vocabulaire.,fleißig,Neuter,Neutre,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
771,26,Dieses _____ Haus hat eine lange Geschichte.,alte,Dieses alte Haus hat eine lange Geschichte.,This old house has a long history.,Cette vieille maison a une longue histoire.,alt,Neuter,Neutre,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
772,26,Dieses _____ Unternehmen wächst sehr schnell.,junge,Dieses junge Unternehmen wächst sehr schnell.,This young company is growing very quickly.,Cette jeune entreprise connaît une croissance très rapide.,jung,Neuter,Neutre,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
773,26,Diese _____ Schüler bereiten sich auf die Prüfung vor.,fleißigen,Diese fleißigen Schüler bereiten sich auf die Prüfung vor.,These hardworking students are preparing for the exam.,Ces étudiants travailleurs se préparent à l’examen.,fleißig,Plural,Pluriel,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
774,26,Diese _____ Häuser erzählen viele Geschichten.,alten,Diese alten Häuser erzählen viele Geschichten.,These old houses tell many stories.,Ces vieilles maisons racontent de nombreuses histoires.,alt,Plural,Pluriel,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
775,26,Diese _____ Künstler haben beeindruckende Werke geschaffen.,jungen,Diese jungen Künstler haben beeindruckende Werke geschaffen.,These young artists have created impressive works.,Ces jeunes artistes ont créé des œuvres impressionnantes.,jung,Plural,Pluriel,Nominative,Nominatif,Demonstrativartikel (Schwache Deklination),Demonstrative article (weak declension),Article démonstratif (déclinaison faible)
776,26,,,,,,,Plural,Accusative,,,,,
777,26,,,,,,,Plural,Dative,,,,,
778,26,,,,,,,Plural,Genitive,,,,,
779,26,,,,,,,Plural,Nominative,,,,,
756,27,für etwas _____ Mutter,nette,für etwas nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
757,27,für etwas _____ Vater,netten,für etwas netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
758,27,für etwas _____ Kind,nettes,für etwas nettes Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
759,27,mit etwas _____ Mutter,netter,mit etwas netter Mutter,,,nett,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
760,27,mit etwas _____ Vater,nettem,mit etwas nettem Vater,,,nett,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
761,27,mit etwas _____ Kind,nettem,mit etwas nettem Kind,,,nett,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
762,27,wegen etwas _____ Mutter,netter,wegen etwas netter Mutter,,,nett,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
763,27,wegen etwas _____ Vater,netten,wegen etwas netten Vater,,,nett,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
764,27,wegen etwas _____ Kind,netten,wegen etwas netten Kind,,,nett,Neuter,Neutre,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
765,27,etwas _____ Mutter,nette,etwas nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
766,27,etwas _____ Vater,netter,etwas netter Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
767,27,etwas _____ Kind,nettes,etwas nettes Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
768,28,Ich trinke viel _____ Milch zum Frühstück,frische,Ich trinke viel frische Milch zum Frühstück,I drink a lot of fresh milk for breakfast,Je bois beaucoup de lait frais au petit-déjeuner,frisch,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
769,28,Er isst etwas _____ Suppe aus dem Kühlschrank,kalte,Er isst etwas kalte Suppe aus dem Kühlschrank,He eats some cold soup from the fridge,Il mange de la soupe froide du réfrigérateur,kalt,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
770,28,Wir brauchen genug _____ Luft im Raum,klare,Wir brauchen genug klare Luft im Raum,We need enough clean air in the room,Nous avons besoin de suffisamment d’air pur dans la pièce,klar,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
771,28,Sie hört gern mehr _____ Musik am Abend,ruhige,Sie hört gern mehr ruhige Musik am Abend,She likes to listen to more quiet music in the evening,Elle aime écouter de la musique plus calme le soir,ruhig,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
772,28,Man verwendet etwas _____ Soße für das Gericht,starke,Man verwendet etwas starke Soße für das Gericht,You use some strong sauce for the dish,Vous utilisez une sauce forte pour le plat,stark,Feminine,Féminin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
773,28,Ich habe etwas _____ Tee für dich vorbereitet,heißen,Ich habe etwas heißen Tee für dich vorbereitet,I have prepared some hot tea for you,Je t'ai préparé du thé chaud.,heiß,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
774,28,Wir brauchen viel _____ Käse für das Rezept,frischen,Wir brauchen viel frischen Käse für das Rezept,We need a lot of fresh cheese for the recipe,Nous avons besoin de beaucoup de fromage frais pour la recette,frisch,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
775,28,"Er trank genug _____ Kaffee, um wach zu bleiben",starken,"Er trank genug starken Kaffee, um wach zu bleiben",He drank enough strong coffee to stay awake,Il a bu suffisamment de café fort pour rester éveillé,stark,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
776,28,Sie wollte mehr _____ Schlaf bekommen,ruhigen,Sie wollte mehr ruhigen Schlaf bekommen,She wanted to get more restful sleep,Elle voulait avoir un sommeil plus réparateur,ruhig,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
777,28,Man muss etwas _____ Verstand mitbringen,klaren,Man muss etwas klaren Verstand mitbringen,You have to have some clear mind,Il faut avoir l'esprit clair,klar,Masculine,Masculin,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
