Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,,,
1123,32,_____ sind die Fahrräder am Eingang.,Ihre,Ihre sind die Fahrräder am Eingang.,Theirs are the bikes at the entrance.,Ce sont les vélos à l'entrée.,,Nominative,Nominatif,Plural,Pluriel,,,
1124,32,_____ ist der Anzug mit den silbernen Knöpfen.,Ihrer,Ihrer ist der Anzug mit den silbernen Knöpfen.,Yours is the suit with the silver buttons.,Le tien est le costume avec les boutons argentés.,,Nominative,Nominatif,Masculine,Masculin,,,
1125,32,_____ ist das Büro ganz oben.,Ihres,Ihres ist das Büro ganz oben.,Yours is the office at the very top.,Votre bureau est tout en haut.,,Nominative,Nominatif,Neuter,Neutre,,,
1126,32,_____ ist die Tasche mit dem goldenen Reißverschluss.,Ihre,Ihre ist die Tasche mit dem goldenen Reißverschluss.,Yours is the bag with the golden zipper.,Le tien est le sac avec la fermeture éclair dorée.,,Nominative,Nominatif,Feminine,Féminin,,,
1127,32,_____ sind die Dokumente auf dem Tisch.,Ihre,Ihre sind die Dokumente auf dem Tisch.,Yours are the documents on the table.,Ce sont vos documents qui sont sur la table.,,Nominative,Nominatif,Plural,Pluriel,,,
1128,33,,einer davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Nominative,Nominatif,Masculine,Masculin,,,
1129,33,,eines davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Nominative,Nominatif,Neuter,Neutre,,,
1130,33,,eine davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Nominative,Nominatif,Feminine,Féminin,,,
1131,33,,einen davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Accusative,Accusatif,Masculine,Masculin,,,
1132,33,,eines davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Accusative,Accusatif,Neuter,Neutre,,,
1133,33,,eine davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Accusative,Accusatif,Feminine,Féminin,,,
1134,33,,einem davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Dative,Datif,Masculine,Masculin,,,
1135,33,,einem davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Dative,Datif,Neuter,Neutre,,,
1136,33,,einer davon,,one of them ● Object,l'un d'entre eux ● Objet,eine,Dative,Datif,Feminine,Féminin,,,
1137,33,,einer von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Nominative,Nominatif,Masculine,Masculin,,,
1138,33,,eines von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Nominative,Nominatif,Neuter,Neutre,,,
1139,33,,eine von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Nominative,Nominatif,Feminine,Féminin,,,
1140,33,,einen von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Accusative,Accusatif,Masculine,Masculin,,,
1141,33,,eines von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Accusative,Accusatif,Neuter,Neutre,,,
1142,33,,eine von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Accusative,Accusatif,Feminine,Féminin,,,
1143,33,,einem von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Dative,Datif,Masculine,Masculin,,,
1144,33,,einem von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Dative,Datif,Neuter,Neutre,,,
1145,33,,einer von ihnen,,one of them ● Person,l'un d'entre eux ● Personne,eine,Dative,Datif,Feminine,Féminin,,,
1146,33,,keiner von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Nominative,Nominatif,Masculine,Masculin,,,
1147,33,,keinen von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Accusative,Accusatif,Masculine,Masculin,,,
1148,33,,keinem von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Dative,Datif,Masculine,Masculin,,,
1149,33,,keine von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Nominative,Nominatif,Feminine,Féminin,,,
1150,33,,keine von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Accusative,Accusatif,Feminine,Féminin,,,
1151,33,,keiner von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Dative,Datif,Feminine,Féminin,,,
1152,33,,keines von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Nominative,Nominatif,Neuter,Neutre,,,
1153,33,,keines von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Accusative,Accusatif,Neuter,Neutre,,,
1154,33,,keinem von ihnen,,none of them ● Person,aucun d'entre eux ● Personne,keine,Dative,Datif,Neuter,Neutre,,,
1155,33,,keiner davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Nominative,Nominatif,Masculine,Masculin,,,
1156,33,,keinen davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Accusative,Accusatif,Masculine,Masculin,,,
1157,33,,keinem davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Dative,Datif,Masculine,Masculin,,,
1158,33,,keine davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Nominative,Nominatif,Feminine,Féminin,,,
1159,33,,keine davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Accusative,Accusatif,Feminine,Féminin,,,
1160,33,,keiner davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Dative,Datif,Feminine,Féminin,,,
1161,33,,keines davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Nominative,Nominatif,Neuter,Neutre,,,
1162,33,,keines davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Accusative,Accusatif,Neuter,Neutre,,,
1163,33,,keinem davon,,none of them ● Object,aucun d'entre eux ● Objet,keine,Dative,Datif,Neuter,Neutre,,,
1164,34,Unter den zahlreichen Vorschlägen zur Reform des Systems erscheint _____ besonders überzeugend.,einer davon,Unter den zahlreichen Vorschlägen zur Reform des Systems erscheint einer davon besonders überzeugend.,"Among the numerous proposals to reform the system, one of them appears particularly convincing.","Parmi les nombreuses propositions visant à réformer le système, l’une d’entre elles paraît particulièrement convaincante.",,Nominative,Nominatif,Masculine,Masculin,,,
1165,34,Mehrere Studien wurden im Bericht erwähnt; _____ untersucht speziell die langfristigen wirtschaftlichen Folgen.,eine davon,Mehrere Studien wurden im Bericht erwähnt; eine davon untersucht speziell die langfristigen wirtschaftlichen Folgen.,Several studies were mentioned in the report; one of them specifically examines the long-term economic consequences.,Plusieurs études ont été mentionnées dans le rapport ; l’une d’entre elles examine spécifiquement les conséquences économiques à long terme.,,Nominative,Nominatif,Feminine,Féminin,,,
1166,34,Im Archiv befinden sich zahlreiche Dokumente aus dieser Zeit; _____ enthält eine überraschend detaillierte Beschreibung der Ereignisse.,eines davon,Im Archiv befinden sich zahlreiche Dokumente aus dieser Zeit; eines davon enthält eine überraschend detaillierte Beschreibung der Ereignisse.,Numerous documents from that period are stored in the archive; one of them contains a surprisingly detailed description of the events.,De nombreux documents de cette époque se trouvent dans les archives ; l’un d’entre eux contient une description étonnamment détaillée des événements.,,Nominative,Nominatif,Neuter,Neutre,,,
1167,34,Unter den zahlreichen Vorschlägen hat die Kommission _____ besonders gründlich geprüft.,einen davon,Unter den zahlreichen Vorschlägen hat die Kommission einen davon besonders gründlich geprüft.,"Among the numerous proposals, the commission examined one of them particularly thoroughly.","Parmi les nombreuses propositions, la commission en a examiné une particulièrement en détail.",,Accusative,Accusatif,Masculine,Masculin,,,
1168,34,Die Forscherinnen haben mehrere Studien ausgewertet und _____ in ihrem Bericht ausführlich zitiert.,eine davon,Die Forscherinnen haben mehrere Studien ausgewertet und eine davon in ihrem Bericht ausführlich zitiert.,The researchers evaluated several studies and cited one of them extensively in their report.,Les chercheuses ont analysé plusieurs études et en ont cité une longuement dans leur rapport.,,Accusative,Accusatif,Feminine,Féminin,,,
1169,34,"Im Archiv habe ich viele alte Dokumente gefunden, und _____ habe ich schließlich genauer untersucht.",eines davon,"Im Archiv habe ich viele alte Dokumente gefunden, und eines davon habe ich schließlich genauer untersucht.","In the archive I found many old documents, and I examined one of them more closely.","Dans les archives, j’ai trouvé de nombreux anciens documents et j’en ai finalement examiné un de plus près.",,Accusative,Accusatif,Neuter,Neutre,,,
1170,34,Unter den zahlreichen Berichten über die Krise schenkte der Ausschuss _____ besondere Aufmerksamkeit.,einem davon,Unter den zahlreichen Berichten über die Krise schenkte der Ausschuss einem davon besondere Aufmerksamkeit.,"Among the numerous reports on the crisis, the committee paid special attention to one of them.","Parmi les nombreux rapports sur la crise, le comité a accordé une attention particulière à l’un d’entre eux.",,Dative,Datif,Masculine,Masculin,,,
1171,34,Von den vielen Studien zur Energiewende widmet der Autor _____ ein ganzes Kapitel.,einer davon,Von den vielen Studien zur Energiewende widmet der Autor einer davon ein ganzes Kapitel.,"Of the many studies on the energy transition, the author devotes an entire chapter to one of them.","Parmi les nombreuses études sur la transition énergétique, l’auteur consacre un chapitre entier à l’une d’entre elles.",,Dative,Datif,Feminine,Féminin,,,
1172,34,Unter den Dokumenten aus jener Zeit kommt _____ eine besondere historische Bedeutung zu.,einem davon,Unter den Dokumenten aus jener Zeit kommt einem davon eine besondere historische Bedeutung zu.,"Among the documents from that period, one of them holds particular historical significance.","Parmi les documents de cette époque, l’un d’entre eux revêt une importance historique particulière.",,Dative,Datif,Neuter,Neutre,,,
1173,34,Unter den zahlreichen Kandidaten für die Stelle ist _____ besonders erfahren im internationalen Projektmanagement.,einer von ihnen,Unter den zahlreichen Kandidaten für die Stelle ist einer von ihnen besonders erfahren im internationalen Projektmanagement.,"Among the numerous candidates for the position, one of them is particularly experienced in international project management.","Parmi les nombreux candidats au poste, l’un d’entre eux est particulièrement expérimenté dans la gestion de projets internationaux.",,Nominative,Nominatif,Masculine,Masculin,,,
1174,34,Mehrere Expertinnen nahmen an der Diskussion teil; _____ stellte schließlich eine überraschend überzeugende Lösung vor.,eine von ihnen,Mehrere Expertinnen nahmen an der Diskussion teil; eine von ihnen stellte schließlich eine überraschend überzeugende Lösung vor.,Several experts took part in the discussion; one of them eventually presented a surprisingly convincing solution.,Plusieurs expertes ont participé à la discussion ; l’une d’entre elles a finalement présenté une solution étonnamment convaincante.,,Nominative,Nominatif,Feminine,Féminin,,,
1175,34,"Unter den jungen Wissenschaftlern, die an dem Projekt beteiligt sind, gilt _____ bereits als außergewöhnlich talentiert.",einer von ihnen,"Unter den jungen Wissenschaftlern, die an dem Projekt beteiligt sind, gilt einer von ihnen bereits als außergewöhnlich talentiert.","Among the young scientists involved in the project, one of them is already considered exceptionally talented.","Parmi les jeunes scientifiques impliqués dans le projet, l’un d’entre eux est déjà considéré comme exceptionnellement talentueux.",,Nominative,Nominatif,Neuter,Neutre,,,
1176,34,Unter den vielen Bewerbern hat die Kommission _____ zu einem zweiten Gespräch eingeladen.,einen von ihnen,Unter den vielen Bewerbern hat die Kommission einen von ihnen zu einem zweiten Gespräch eingeladen.,"Among the many applicants, the committee invited one of them for a second interview.","Parmi les nombreux candidats, la commission en a invité un à un deuxième entretien.",,Accusative,Accusatif,Masculine,Masculin,,,
1177,34,Während der Diskussion habe ich _____ um eine genauere Erklärung ihrer Argumente gebeten.,eine von ihnen,Während der Diskussion habe ich eine von ihnen um eine genauere Erklärung ihrer Argumente gebeten.,"During the discussion, I asked one of them for a more detailed explanation of her arguments.","Pendant la discussion, j’ai demandé à l’une d’entre elles une explication plus détaillée de ses arguments.",,Accusative,Accusatif,Feminine,Féminin,,,
1178,34,Von den jungen Forschern habe ich _____ später persönlich kennengelernt.,einen von ihnen,Von den jungen Forschern habe ich einen von ihnen später persönlich kennengelernt.,"Of the young researchers, I later met one of them personally.","Parmi les jeunes chercheurs, j’en ai rencontré un personnellement par la suite.",,Accusative,Accusatif,Neuter,Neutre,,,
1179,34,Unter den vielen Bewerbern gab der Direktor schließlich _____ eine zweite Chance.,einem von ihnen,Unter den vielen Bewerbern gab der Direktor schließlich einem von ihnen eine zweite Chance.,"Among the many applicants, the director ultimately gave one of them a second chance.","Parmi les nombreux candidats, le directeur a finalement donné une seconde chance à l’un d’entre eux.",,Dative,Datif,Masculine,Masculin,,,
1180,34,Während der Diskussion stellte ich _____ eine zusätzliche Frage zu ihrer Argumentation.,einer von ihnen,Während der Diskussion stellte ich einer von ihnen eine zusätzliche Frage zu ihrer Argumentation.,"During the discussion, I asked one of them an additional question about her reasoning.","Pendant la discussion, j’ai posé à l’une d’entre elles une question supplémentaire sur son raisonnement.",,Dative,Datif,Feminine,Féminin,,,
1181,34,Nach dem Vortrag gratulierte der Professor _____ zu seiner besonders überzeugenden Analyse.,einem von ihnen,Nach dem Vortrag gratulierte der Professor einem von ihnen zu seiner besonders überzeugenden Analyse.,"After the lecture, the professor congratulated one of them on his particularly convincing analysis.","Après la conférence, le professeur a félicité l’un d’entre eux pour son analyse particulièrement convaincante.",,Dative,Datif,Neuter,Neutre,,,
1182,34,"Unter den zahlreichen Kandidaten wusste _____, wie schwierig sich die Aufgabe tatsächlich erweisen würde.",keiner von ihnen,"Unter den zahlreichen Kandidaten wusste keiner von ihnen, wie schwierig sich die Aufgabe tatsächlich erweisen würde.","Among the numerous candidates, none of them knew how difficult the task would actually prove to be.","Parmi les nombreux candidats, aucun d’entre eux ne savait à quel point la tâche se révélerait difficile.",,Nominative,Nominatif,Masculine,Masculin,,,
1183,34,Während der Befragung konnte der Ausschuss _____ eindeutig mit dem Vorfall in Verbindung bringen.,keinen von ihnen,Während der Befragung konnte der Ausschuss keinen von ihnen eindeutig mit dem Vorfall in Verbindung bringen.,"During the questioning, the committee could not clearly link any of them to the incident.","Pendant l’interrogatoire, le comité n’a pu relier aucun d’entre eux de manière certaine à l’incident.",,Accusative,Accusatif,Masculine,Masculin,,,
1184,34,"Am Ende der Sitzung gelang es dem Vorsitzenden, _____ eine klare Zusage zu entlocken.",keinem von ihnen,"Am Ende der Sitzung gelang es dem Vorsitzenden, keinem von ihnen eine klare Zusage zu entlocken.","At the end of the meeting, the chair managed to obtain a clear commitment from none of them.","À la fin de la réunion, le président n’est parvenu à obtenir de promesse claire d’aucun d’entre eux.",,Dative,Datif,Masculine,Masculin,,,
1185,34,"Unter den zahlreichen Bewerberinnen wusste _____, wie anspruchsvoll die Aufgabe tatsächlich sein würde.",keine von ihnen,"Unter den zahlreichen Bewerberinnen wusste keine von ihnen, wie anspruchsvoll die Aufgabe tatsächlich sein würde.","Among the numerous female applicants, none of them knew how demanding the task would actually be.","Parmi les nombreuses candidates, aucune d’entre elles ne savait à quel point la tâche serait exigeante.",,Nominative,Nominatif,Feminine,Féminin,,,
1186,34,Während der Diskussion konnte der Ausschuss _____ eindeutig mit der umstrittenen Entscheidung in Verbindung bringen.,keine von ihnen,Während der Diskussion konnte der Ausschuss keine von ihnen eindeutig mit der umstrittenen Entscheidung in Verbindung bringen.,"During the discussion, the committee could not clearly link any of them to the controversial decision.","Pendant la discussion, le comité n’a pu relier aucune d’entre elles de manière certaine à la décision controversée.",,Accusative,Accusatif,Feminine,Féminin,,,
1187,34,"Am Ende der Sitzung gelang es dem Vorsitzenden, _____ eine verbindliche Zusage zu entlocken.",keiner von ihnen,"Am Ende der Sitzung gelang es dem Vorsitzenden, keiner von ihnen eine verbindliche Zusage zu entlocken.","At the end of the meeting, the chair managed to obtain a binding commitment from none of them.","À la fin de la réunion, le président n’est parvenu à obtenir d’engagement formel d’aucune d’entre elles.",,Dative,Datif,Feminine,Féminin,,,
1188,34,"Unter den vielen Kindern im Kurs verstand _____, warum das Experiment plötzlich abgebrochen wurde.",keines von ihnen,"Unter den vielen Kindern im Kurs verstand keines von ihnen, warum das Experiment plötzlich abgebrochen wurde.","Among the many children in the class, none of them understood why the experiment was suddenly stopped.","Parmi les nombreux enfants du cours, aucun d’entre eux n’a compris pourquoi l’expérience a été soudainement interrompue.",,Nominative,Nominatif,Neuter,Neutre,,,
1189,34,Während der Übung konnte der Lehrer _____ eindeutig für den Fehler verantwortlich machen.,keines von ihnen,Während der Übung konnte der Lehrer keines von ihnen eindeutig für den Fehler verantwortlich machen.,"During the exercise, the teacher could not clearly hold any of them responsible for the mistake.","Pendant l’exercice, le professeur n’a pu tenir aucun d’entre eux clairement responsable de l’erreur.",,Accusative,Accusatif,Neuter,Neutre,,,
1190,34,"Am Ende der Aktivität gelang es dem Betreuer, _____ eine klare Erklärung für das Ergebnis zu geben.",keinem von ihnen,"Am Ende der Aktivität gelang es dem Betreuer, keinem von ihnen eine klare Erklärung für das Ergebnis zu geben.","At the end of the activity, the supervisor managed to give none of them a clear explanation for the result.","À la fin de l’activité, l’encadrant n’est parvenu à donner à aucun d’entre eux une explication claire du résultat.",,Dative,Datif,Neuter,Neutre,,,
1191,34,Unter den zahlreichen Berichten über die Krise liefert _____ eine wirklich überzeugende Erklärung für den plötzlichen Einbruch der Märkte.,keiner davon,Unter den zahlreichen Berichten über die Krise liefert keiner davon eine wirklich überzeugende Erklärung für den plötzlichen Einbruch der Märkte.,"Among the numerous reports on the crisis, none of them provides a truly convincing explanation for the sudden collapse of the markets.","Parmi les nombreux rapports sur la crise, aucun d’entre eux ne fournit une explication vraiment convaincante de l’effondrement soudain des marchés.",,Nominative,Nominatif,Masculine,Masculin,,,
1192,34,"Der Ausschuss hat mehrere Vorschläge zur Reform geprüft, doch er hat _____ als ausreichend tragfähig angesehen.",keinen davon,"Der Ausschuss hat mehrere Vorschläge zur Reform geprüft, doch er hat keinen davon als ausreichend tragfähig angesehen.",The committee examined several proposals for reform but considered none of them sufficiently viable.,"Le comité a examiné plusieurs propositions de réforme, mais il n’en a jugé aucune suffisamment solide.",,Accusative,Accusatif,Masculine,Masculin,,,
1193,34,"In der Analyse wird deutlich, dass _____ eine entscheidende Rolle bei der Entwicklung der Krise zukommt.",keinem davon,"In der Analyse wird deutlich, dass keinem davon eine entscheidende Rolle bei der Entwicklung der Krise zukommt.",The analysis shows that none of them plays a decisive role in the development of the crisis.,L’analyse montre qu’aucun d’entre eux ne joue un rôle décisif dans le développement de la crise.,,Dative,Datif,Masculine,Masculin,,,
1194,34,Unter den zahlreichen Studien zur Energiewende liefert _____ eine endgültige Antwort auf die Frage nach den langfristigen Kosten.,keine davon,Unter den zahlreichen Studien zur Energiewende liefert keine davon eine endgültige Antwort auf die Frage nach den langfristigen Kosten.,"Among the numerous studies on the energy transition, none of them provides a definitive answer to the question of long-term costs.","Parmi les nombreuses études sur la transition énergétique, aucune d’entre elles ne fournit de réponse définitive à la question des coûts à long terme.",,Nominative,Nominatif,Feminine,Féminin,,,
1195,34,"Die Kommission hat mehrere mögliche Strategien diskutiert, doch sie hat _____ als wirklich überzeugend betrachtet.",keine davon,"Die Kommission hat mehrere mögliche Strategien diskutiert, doch sie hat keine davon als wirklich überzeugend betrachtet.",The commission discussed several possible strategies but regarded none of them as truly convincing.,"La commission a discuté de plusieurs stratégies possibles, mais elle n’en a considéré aucune comme réellement convaincante.",,Accusative,Accusatif,Feminine,Féminin,,,
1196,34,"In der Analyse zeigt sich, dass _____ eine ausreichende Erklärung für die beobachteten Veränderungen liefert.",keiner davon,"In der Analyse zeigt sich, dass keiner davon eine ausreichende Erklärung für die beobachteten Veränderungen liefert.",The analysis shows that none of them provides a sufficient explanation for the observed changes.,L’analyse montre qu’aucune d’entre elles ne fournit une explication suffisante des changements observés.,,Dative,Datif,Feminine,Féminin,,,
1197,34,Unter den vielen Argumenten im Bericht überzeugt _____ wirklich.,keines davon,Unter den vielen Argumenten im Bericht überzeugt keines davon wirklich.,"Among the many arguments in the report, none of them is truly convincing.","Parmi les nombreux arguments du rapport, aucun d’entre eux n’est vraiment convaincant.",,Nominative,Nominatif,Neuter,Neutre,,,
1198,34,"Der Ausschuss hat mehrere Gutachten geprüft, doch er konnte _____ als ausreichend fundiert betrachten.",keines davon,"Der Ausschuss hat mehrere Gutachten geprüft, doch er konnte keines davon als ausreichend fundiert betrachten.",The committee examined several expert reports but could consider none of them sufficiently well-founded.,"Le comité a examiné plusieurs expertises, mais il n’a pu en considérer aucune comme suffisamment fondée.",,Accusative,Accusatif,Neuter,Neutre,,,
1199,34,"In der Analyse zeigt sich, dass _____ eine zentrale Bedeutung für die Entwicklung der Krise zukommt.",keinem davon,"In der Analyse zeigt sich, dass keinem davon eine zentrale Bedeutung für die Entwicklung der Krise zukommt.",The analysis shows that none of them plays a central role in the development of the crisis.,L’analyse montre qu’aucun d’entre eux ne joue un rôle central dans le développement de la crise.,,Dative,Datif,Neuter,Neutre,,,
1200,35,,einige davon,,some of them ● Object,certains d'entre eux ● Objet,einige,Nominative,Nominatif,Plural,Pluriel,,,
1201,35,,einige davon,,some of them ● Object,certains d'entre eux ● Objet,einige,Accusative,Accusatif,Plural,Pluriel,,,
1202,35,,einigen davon,,some of them ● Object,certains d'entre eux ● Objet,einige,Dative,Datif,Plural,Pluriel,,,
1203,35,,einige von ihnen,,some of them ● Person,certains d'entre eux ● Personne,einige,Nominative,Nominatif,Plural,Pluriel,,,
1204,35,,einige von ihnen,,some of them ● Person,certains d'entre eux ● Personne,einige,Accusative,Accusatif,Plural,Pluriel,,,
1205,35,,einigen von ihnen,,some of them ● Person,certains d'entre eux ● Personne,einige,Dative,Datif,Plural,Pluriel,,,
1206,35,,jeder von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Nominative,Nominatif,Masculine,Masculin,,,
1207,35,,jeden von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Accusative,Accusatif,Masculine,Masculin,,,
1208,35,,jedem von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Dative,Datif,Masculine,Masculin,,,
1209,35,,jede von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Nominative,Nominatif,Feminine,Féminin,,,
1210,35,,jede von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Accusative,Accusatif,Feminine,Féminin,,,
1211,35,,jeder von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Dative,Datif,Feminine,Féminin,,,
1212,35,,jedes von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Nominative,Nominatif,Neuter,Neutre,,,
1213,35,,jedes von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Accusative,Accusatif,Neuter,Neutre,,,
1214,35,,jedem von ihnen,,each one of them ● Person,chacun d'entre eux ● Personne,jede,Dative,Datif,Neuter,Neutre,,,
1215,35,,jeder davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Nominative,Nominatif,Masculine,Masculin,,,
1216,35,,jeden davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Accusative,Accusatif,Masculine,Masculin,,,
1217,35,,jedem davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Dative,Datif,Masculine,Masculin,,,
1218,35,,jede davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Nominative,Nominatif,Feminine,Féminin,,,
1219,35,,jede davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Accusative,Accusatif,Feminine,Féminin,,,
1220,35,,jeder davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Dative,Datif,Feminine,Féminin,,,
1221,35,,jedes davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Nominative,Nominatif,Neuter,Neutre,,,
1222,35,,jedes davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Accusative,Accusatif,Neuter,Neutre,,,
1223,35,,jedem davon,,each one of them ● Object,chacun d'entre eux ● Objet,jede,Dative,Datif,Neuter,Neutre,,,
1224,35,,viele davon,,many of them ● Object,bon nombre d'entre eux ● Objet,,Nominative,Nominatif,Plural,Pluriel,,,
1225,35,,viele davon,,many of them ● Object,bon nombre d'entre eux ● Objet,,Accusative,Accusatif,Plural,Pluriel,,,
1226,35,,vielen davon,,many of them ● Object,bon nombre d'entre eux ● Objet,,Dative,Datif,Plural,Pluriel,,,
1227,35,,viele von ihnen,,many of them ● Person,bon nombre d'entre eux ● Personne,,Nominative,Nominatif,Plural,Pluriel,,,
1228,35,,viele von ihnen,,many of them ● Person,bon nombre d'entre eux ● Personne,,Accusative,Accusatif,Plural,Pluriel,,,
1229,35,,vielen von ihnen,,many of them ● Person,bon nombre d'entre eux ● Personne,,Dative,Datif,Plural,Pluriel,,,
1230,35,,die meisten davon,,most of them ● Object,la plupart d'entre eux ● Objet,,Nominative,Nominatif,Plural,Pluriel,,,
1231,35,,die meisten davon,,most of them ● Object,la plupart d'entre eux ● Objet,,Accusative,Accusatif,Plural,Pluriel,,,
1232,35,,den meisten davon,,most of them ● Object,la plupart d'entre eux ● Objet,,Dative,Datif,Plural,Pluriel,,,
1233,35,,die meisten von ihnen,,most of them ● Person,la plupart d'entre eux ● Personne,,Nominative,Nominatif,Plural,Pluriel,,Nominative,Nominatif
1234,35,,die meisten von ihnen,,most of them ● Person,la plupart d'entre eux ● Personne,,Accusative,Accusatif,Plural,Pluriel,,Accusative,Accusatif
1235,35,,den meisten von ihnen,,most of them ● Person,la plupart d'entre eux ● Personne,,Dative,Datif,Plural,Pluriel,,Dative,Datif
1236,35,,beide davon,,both of them ● Object,tous les deux ● Objet,,Nominative,Nominatif,Plural,Pluriel,,Masculine,Masculin
1237,35,,beide davon,,both of them ● Object,tous les deux ● Objet,,Accusative,Accusatif,Plural,Pluriel,,Neuter,Neutre
1238,35,,beiden davon,,both of them ● Object,tous les deux ● Objet,,Dative,Datif,Plural,Pluriel,,Feminine,Féminin
1239,35,,beide von ihnen,,both of them ● Person,tous les deux ● Personne,,Nominative,Nominatif,Plural,Pluriel,,Plural,Pluriel
1240,35,,beide von ihnen,,both of them ● Person,tous les deux ● Personne,,Accusative,Accusatif,Plural,Pluriel,,,
1241,35,,beiden von ihnen,,both of them ● Person,tous les deux ● Personne,,Dative,Datif,Plural,Pluriel,,,
1242,35,,alle davon,,all of them ● Object,"tous, l'ensemble ● Objet",,Nominative,Nominatif,Plural,Pluriel,,,
1243,35,,alle davon,,all of them ● Object,"tous, l'ensemble ● Objet",,Accusative,Accusatif,Plural,Pluriel,,,
1244,35,,allen davon,,all of them ● Object,"tous, l'ensemble ● Objet",,Dative,Datif,Plural,Pluriel,,,
1245,35,,alle von ihnen,,all of them ● Person,"tous, l'ensemble ● Personne",,Nominative,Nominatif,Plural,Pluriel,,,
1246,35,,alle von ihnen,,all of them ● Person,"tous, l'ensemble ● Personne",,Accusative,Accusatif,Plural,Pluriel,,,
1247,35,,allen von ihnen,,all of them ● Person,"tous, l'ensemble ● Personne",,Dative,Datif,Plural,Pluriel,,,
1248,36,In der Bibliothek gibt es zahlreiche alte Manuskripte; _____ stammen noch aus dem frühen 18. Jahrhundert.,einige davon,In der Bibliothek gibt es zahlreiche alte Manuskripte; einige davon stammen noch aus dem frühen 18. Jahrhundert.,There are numerous old manuscripts in the library; some of them date back to the early 18th century.,Il y a de nombreux manuscrits anciens dans la bibliothèque ; certains d’entre eux remontent au début du XVIIIᵉ siècle.,,Nominative,Nominatif,Plural,Pluriel,,,
1249,36,"Der Bericht enthält viele Vorschläge zur Reform des Systems, und die Regierung hat _____ bereits umgesetzt.",einige davon,"Der Bericht enthält viele Vorschläge zur Reform des Systems, und die Regierung hat einige davon bereits umgesetzt.","The report contains many proposals to reform the system, and the government has already implemented some of them.","Le rapport contient de nombreuses propositions pour réformer le système, et le gouvernement en a déjà mis certaines en œuvre.",,Accusative,Accusatif,Plural,Pluriel,,,
1250,36,Unter den zahlreichen Argumenten in der Debatte kommt _____ besondere Bedeutung zu.,einigen davon,Unter den zahlreichen Argumenten in der Debatte kommt einigen davon besondere Bedeutung zu.,"Among the numerous arguments in the debate, some of them are of particular importance.","Parmi les nombreux arguments du débat, certains d’entre eux revêtent une importance particulière.",,Dative,Datif,Plural,Pluriel,,,
