Nr,level,question,answer,german,person,case,english
633,14,"Das Problem, _____ wir besprochen haben, ist gelöst.",das,"Das Problem, das wir besprochen haben, ist gelöst.",Neutral,Accusative,
634,14,"Die Aufgabe, _____ er erledigt hat, war schwierig.",die,"Die Aufgabe, die er erledigt hat, war schwierig.",Feminine,Accusative,
635,14,"Der Computer, _____ ich gekauft habe, ist schnell.",den,"Der Computer, den ich gekauft habe, ist schnell.",Masculine,Accusative,
636,14,"Die Musik, _____ du hörst, gefällt mir.",die,"Die Musik, die du hörst, gefällt mir.",Feminine,Accusative,
637,14,"Das Essen, _____ wir bestellt haben, ist lecker.",das,"Das Essen, das wir bestellt haben, ist lecker.",Neutral,Accusative,
638,14,"Die Leute, _____ ich getroffen habe, waren freundlich.",die,"Die Leute, die ich getroffen habe, waren freundlich.",Feminine,Accusative,
639,14,"Der Zug, _____ wir verpasst haben, fährt später.",den,"Der Zug, den wir verpasst haben, fährt später.",Masculine,Accusative,
640,14,"Das Hotel, _____ sie gefunden haben, ist billig.",das,"Das Hotel, das sie gefunden haben, ist billig.",Neutral,Accusative,
641,14,"Die Arbeit, _____ sie gefunden hat, ist gut bezahlt.",die,"Die Arbeit, die sie gefunden hat, ist gut bezahlt.",Feminine,Accusative,
642,14,"Das Wetter, _____ wir hatten, war schlecht.",das,"Das Wetter, das wir hatten, war schlecht.",Neutral,Accusative,
643,14,"Die Ferien, _____ sie geplant haben, sind kurz.",die,"Die Ferien, die sie geplant haben, sind kurz.",Feminine,Accusative,
644,14,"Der Urlaub, _____ er macht, ist erholsam.",den,"Der Urlaub, den er macht, ist erholsam.",Masculine,Accusative,
645,14,"Das Geschenk, _____ du bekommen hast, ist nützlich.",das,"Das Geschenk, das du bekommen hast, ist nützlich.",Neutral,Accusative,
646,14,"Die Party, _____ sie organisiert haben, war super.",die,"Die Party, die sie organisiert haben, war super.",Feminine,Accusative,
647,14,"Das ist der Mann, _____ ich geholfen habe.",dem,"Das ist der Mann, dem ich geholfen habe.",Neutral,Dative,
648,14,"Die Frau, _____ ich das Buch gegeben habe, ist nett.",der,"Die Frau, der ich das Buch gegeben habe, ist nett.",Feminine,Dative,
649,14,"Das Kind, _____ wir gratuliert haben, hat sich gefreut.",dem,"Das Kind, dem wir gratuliert haben, hat sich gefreut.",Neutral,Dative,
650,14,"Die Firma, _____ wir die Rechnung geschickt haben, ist groß.",an die,"Die Firma, an die wir die Rechnung geschickt haben, ist groß.",Feminine,Dative,
651,14,"Die Kollegin, _____ ich die Nachricht geschickt habe, arbeitet im Büro.",der,"Die Kollegin, der ich die Nachricht geschickt habe, arbeitet im Büro.",Feminine,Dative,
652,14,"Der Lehrer, _____ wir zuhören, ist erfahren.",dem,"Der Lehrer, dem wir zuhören, ist erfahren.",Masculine,Dative,
653,14,"Die Familie, _____ wir einen Besuch gemacht haben, geht es gut.",bei der,"Die Familie, bei der wir einen Besuch gemacht haben, geht es gut.",Feminine,Dative,
654,14,"Der Stuhl, _____ du sitzt, ist bequem.",auf dem,"Der Stuhl, auf dem du sitzt, ist bequem.",Masculine,Dative,
655,14,"Das Fenster, _____ es zieht, ist undicht.",aus dem,"Das Fenster, aus dem es zieht, ist undicht.",Neutral,Dative,
656,14,"Der Baum, _____ viele Vögel nisten, ist alt.",in dem,"Der Baum, in dem viele Vögel nisten, ist alt.",Masculine,Dative,
657,14,"Die Lampe, _____ ich eine neue Birne eingesetzt habe, leuchtet wieder.",in die,"Die Lampe, in die ich eine neue Birne eingesetzt habe, leuchtet wieder.",Feminine,Accusative,
658,14,"Der Tisch, _____ wir uns setzen, ist gedeckt.",an den,"Der Tisch, an den wir uns setzen, ist gedeckt.",Masculine,Accusative,
659,14,"Der Chef, _____ ich die Idee vorgestellt habe,  hat sie gemocht.",dem,"Der Chef, dem ich die Idee vorgestellt habe, hat sie gemocht.",Masculine,Dative,
660,14,"Die Kinder, _____ wir Geschenke gegeben haben, haben sich gefreut.",denen,"Die Kinder, denen wir Geschenke gegeben haben, haben sich gefreut.",Plural,Dative,
661,14,"Das Projekt, _____ wir arbeiten, ist wichtig.",an dem,"Das Projekt, an dem wir arbeiten, ist wichtig.",Neutral,Dative,
662,14,"Das Problem, _____ wir uns beschäftigen, ist kompliziert.",mit dem,"Das Problem, mit dem wir uns beschäftigen, ist kompliziert.",Neutral,Dative,
663,14,"Der Computer, _____ ich arbeite, ist neu.",mit dem,"Der Computer, mit dem ich arbeite, ist neu.",Masculine,Dative,
664,14,"Das Auto, _____ er fährt, ist schnell.",mit dem,"Das Auto, mit dem er fährt, ist schnell.",Neutral,Dative,
665,14,"Der Zug, _____ wir fahren, ist pünktlich.",mit dem,"Der Zug, mit dem wir fahren, ist pünktlich.",Masculine,Dative,
666,14,"Das Hotel, _____ wir übernachtet haben, war komfortabel.",in dem,"Das Hotel, in dem wir übernachtet haben, war komfortabel.",Neutral,Dative,
667,14,"Die Stadt, _____ ich wohne, gefällt mir gut.",in der,"Die Stadt, in der ich wohne, gefällt mir gut.",Feminine,Dative,
668,14,"Das Land, _____ er lebt, ist schön.",in dem,"Das Land, in dem er lebt, ist schön.",Neutral,Dative,
669,14,"Der Urlaub, _____ sie erzählt hat, war interessant.",von dem,"Der Urlaub, von dem sie erzählt hat, war interessant.",Masculine,Dative,
670,14,"Das ist das Haus, _____ Dach rot ist.",dessen,"Das ist das Haus, dessen Dach rot ist.",Neutral,Genitive,
671,14,"Die Firma, _____ Produkte bekannt sind, ist erfolgreich.",deren,"Die Firma, deren Produkte bekannt sind, ist erfolgreich.",Feminine,Genitive,
672,14,"Der Mann, _____ Auto kaputt ist, ist traurig.",dessen,"Der Mann, dessen Auto kaputt ist, ist traurig.",Masculine,Genitive,
673,14,"Die Frau, _____ Kinder spielen, ist glücklich.",deren,"Die Frau, deren Kinder spielen, ist glücklich.",Feminine,Genitive,
674,14,"Das Buch, _____ Inhalt spannend ist, gefällt mir.",dessen,"Das Buch, dessen Inhalt spannend ist, gefällt mir.",Neutral,Genitive,
675,14,"Der Tisch, _____ Beine wackeln, ist instabil.",dessen,"Der Tisch, dessen Beine wackeln, ist instabil.",Masculine,Genitive,
676,14,"Die Tür, _____ Farbe blau ist, gefällt mir.",deren,"Die Tür, deren Farbe blau ist, gefällt mir.",Feminine,Genitive,
677,14,"Das Fenster, _____ Scheibe sauber ist, ist neu.",dessen,"Das Fenster, dessen Scheibe sauber ist, ist neu.",Neutral,Genitive,
678,14,"Der Computer, _____ Software aktuell ist, funktioniert gut.",dessen,"Der Computer, dessen Software aktuell ist, funktioniert gut.",Masculine,Genitive,
679,14,"Die Reise, _____ Ziel Italien ist, ist teuer.",deren,"Die Reise, deren Ziel Italien ist, ist teuer.",Feminine,Genitive,
680,14,"Der Urlaub, _____ Dauer zwei Wochen beträgt, ist lang.",dessen,"Der Urlaub, dessen Dauer zwei Wochen beträgt, ist lang.",Masculine,Genitive,
681,14,"Das Hotel, _____ Zimmer modern sind, ist komfortabel.",dessen,"Das Hotel, dessen Zimmer modern sind, ist komfortabel.",Neutral,Genitive,
682,14,"Die Stadt, _____ Einwohner freundlich sind, gefällt mir.",deren,"Die Stadt, deren Einwohner freundlich sind, gefällt mir.",Feminine,Genitive,
683,14,"Das Land, _____ Landschaft schön ist, besuche ich gerne.",dessen,"Das Land, dessen Landschaft schön ist, besuche ich gerne.",Neutral,Genitive,
684,14,"Die Musik, _____ Melodie eingängig ist, gefällt vielen.",deren,"Die Musik, deren Melodie eingängig ist, gefällt vielen.",Feminine,Genitive,
685,14,"Der Sport, _____ Regeln kompliziert sind, ist schwer zu verstehen.",dessen,"Der Sport, dessen Regeln kompliziert sind, ist schwer zu verstehen.",Masculine,Genitive,
686,14,"Die Arbeit, _____ Arbeitszeiten flexibel sind, ist attraktiv.",deren,"Die Arbeit, deren Arbeitszeiten flexibel sind, ist attraktiv.",Feminine,Genitive,
687,14,"Das Wetter, _____ Vorhersage schlecht ist, stört mich.",dessen,"Das Wetter, dessen Vorhersage schlecht ist, stört mich.",Neutral,Genitive,
688,14,"Das Geschenk, _____ Verpackung schön ist, gefällt mir.",dessen,"Das Geschenk, dessen Verpackung schön ist, gefällt mir.",Neutral,Genitive,
689,14,"Die Party, _____ Musik gut war, hat mir gefallen.",deren,"Die Party, deren Musik gut war, hat mir gefallen.",Feminine,Genitive,
690,15,"Das ist das Dorf, _____ ich geboren wurde.",wo/in dem,"Das ist das Dorf, wo ich geboren wurde.
<br>
<br>
Das ist das Dorf, in dem ich geboren wurde.",,,
691,15,"Das ist der Park, _____ die Kinder spielen.",wo/in dem,"Das ist der Park, wo die Kinder spielen.
<br>
<br>
Das ist der Park, in dem die Kinder spielen.",,,
692,15,"Die Stadt, _____ ich meinen Urlaub verbracht habe, war wunderschön.",wo/in die,"Die Stadt, wo ich meinen Urlaub verbracht habe, war wunderschön.
<br>
<br>
Die Stadt, in die ich meinen Urlaub verbracht habe, war wunderschön.",,,
693,15,"Das Café, _____ wir unseren ersten Kaffee getrunken haben, war gemütlich.",wo/in das,"Das Café, wo wir unseren ersten Kaffee getrunken haben, war gemütlich.
<br>
<br>
Das Café, in das wir unseren ersten Kaffee getrunken haben, war gemütlich.",,,
694,15,"Das Hotel, _____ wir übernachtet haben, hatte ein tolles Frühstück.",wo/in dem,"Das Hotel, wo wir übernachtet haben, hatte ein tolles Frühstück.
<br>
<br>
Das Hotel, in dem wir übernachtet haben, hatte ein tolles Frühstück.",,,
695,15,"Die Wohnung, _____ ich seit drei Jahren wohne, ist sehr ruhig.",wo/in der,"Die Wohnung, wo ich seit drei Jahren wohne, ist sehr ruhig.
<br>
<br>
Die Wohnung, in der ich seit drei Jahren wohne, ist sehr ruhig.",,,
696,15,"Die Straße, _____ Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",wo/in deren,"Die Straße, wo der Name des berühmten Schriftstellers erwähnt wird, ist in der Altstadt.
<br>
<br>
Die Straße, in deren Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",,,
697,15,"Der Raum, _____ Decke repariert werden muss, ist geschlossen.",wo/in dessen,"Der Raum, wo die Decke repariert werden muss, ist geschlossen.
<br>
<br>
Der Raum, in dessen Decke repariert werden muss, ist geschlossen.",,,
698,15,"Das ist das Dorf, _____ ich gezogen bin.",wohin/in das,"Das ist das Dorf, wohin ich gezogen bin.
<br>
<br>
Das ist das Dorf, in das ich gezogen bin.",,,
699,15,"Das ist der Park, _____ die Kinder laufen.",wohin/in den,"Das ist der Park, wohin die Kinder laufen.
<br>
<br>
Das ist der Park, in den die Kinder laufen.",,,
700,15,"Die Stadt, _____ ich meinen Freund eingeladen habe, ist wunderschön.",wohin/in die,"Die Stadt, wohin ich meinen Freund eingeladen habe, ist wunderschön.
<br>
<br>
Die Stadt, in die ich meinen Freund eingeladen habe, ist wunderschön.",,,
701,15,"Das Café, _____ wir später gehen wollen, liegt in der Altstadt.",wohin/in das,"Das Café, wohin wir später gehen wollen, liegt in der Altstadt.
<br>
<br>
Das Café, in das wir später gehen wollen, liegt in der Altstadt.",,,
702,15,"Das Hotel, _____ wir unsere Koffer gebracht haben, ist sehr luxuriös.",wohin/in das,"Das Hotel, wohin wir unsere Koffer gebracht haben, ist sehr luxuriös.
<br>
<br>
Das Hotel, in das wir unsere Koffer gebracht haben, ist sehr luxuriös.",,,
703,15,"Die Wohnung, _____ ich meine Bücher gebracht habe, ist neu renoviert.",wohin/in die,"Die Wohnung, wohin ich meine Bücher gebracht habe, ist neu renoviert.
<br>
<br>
Die Wohnung, in die ich meine Bücher gebracht habe, ist neu renoviert.",,,
704,15,"Die Straße, _____ die Besucher kommen, ist sehr belebt.",wohin/in die,"Die Straße, wohin die Besucher kommen, ist sehr belebt.
<br>
<br>
Die Straße, in die die Besucher kommen, ist sehr belebt.",,,
705,15,"Der Raum, _____ die Möbel geliefert werden, ist leer.",wohin/in den,"Der Raum, wohin die Möbel geliefert werden, ist leer.
<br>
<br>
Der Raum, in den die Möbel geliefert werden, ist leer.",,,
706,15,"Das ist das Dorf, _____ ich komme.",woher/aus dem,"Das ist das Dorf, woher ich komme.
<br>
<br>
Das ist das Dorf, aus dem ich komme.",,,
707,15,"Das ist der Park, _____ die Geräusche kommen.",woher/aus dem,"Das ist der Park, woher die Geräusche kommen.
<br>
<br>
Das ist der Park, aus dem die Geräusche kommen.",,,
708,15,"Die Stadt, _____ ich meinen Freund kenne, ist weit entfernt.",woher/aus der,"Die Stadt, woher ich meinen Freund kenne, ist weit entfernt.
<br>
<br>
Die Stadt, aus der ich meinen Freund kenne, ist weit entfernt.",,,
709,15,"Das Café, _____ wir unseren Kaffee bestellen, ist sehr beliebt.",woher/aus dem,"Das Café, woher wir unseren Kaffee bestellen, ist sehr beliebt.
<br>
<br>
Das Café, aus dem wir unseren Kaffee bestellen, ist sehr beliebt.",,,
710,15,"Das Hotel, _____ die Gäste immer zufrieden abreisen, ist sehr renommiert.",woher/aus dem,"Das Hotel, woher die Gäste immer zufrieden abreisen, ist sehr renommiert.
<br>
<br>
Das Hotel, aus dem die Gäste immer zufrieden abreisen, ist sehr renommiert.",,,
711,15,"Die Wohnung, _____ ich ausgezogen bin, war zu klein.",woher/aus der,"Die Wohnung, woher ich ausgezogen bin, war zu klein.
<br>
<br>
Die Wohnung, aus der ich ausgezogen bin, war zu klein.",,,
712,15,"Die Straße, _____ die alten Geschichten stammen, ist sehr bekannt.",woher/aus der,"Die Straße, woher die alten Geschichten stammen, ist sehr bekannt.
<br>
<br>
Die Straße, aus der die alten Geschichten stammen, ist sehr bekannt.",,,
713,15,"Der Raum, _____ die seltsamen Geräusche kommen, ist verschlossen.",woher/aus dem,"Der Raum, woher die seltsamen Geräusche kommen, ist verschlossen.
<br>
<br>
Der Raum, aus dem die seltsamen Geräusche kommen, ist verschlossen.",,,
714,15,"Paris, _____ man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",wo,"Paris, wo man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",,,
715,15,"Berlin, _____ die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",wo,"Berlin, wo die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",,,
716,15,"Deutschland, _____ viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",wo,"Deutschland, wo viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",,,
717,15,"Italien, _____ die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",wo,"Italien, wo die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",,,
718,15,"Frankreich, _____ viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",wohin,"Frankreich, wohin viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",,,
719,15,"Spanien, _____ wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",wohin,"Spanien, wohin wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",,,
720,15,"München, _____ viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",wohin,"München, wohin viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",,,
721,15,"Österreich, _____ wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",wohin,"Österreich, wohin wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",,,
722,15,"Rom, _____ viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",woher,"Rom, woher viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",,,
723,15,"Japan, _____ die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",woher,"Japan, woher die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",,,
724,15,"Wien, _____ die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",woher,"Wien, woher die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",,,
725,15,"Indien, _____ der beste Tee importiert wird, ist ein Land mit langer Teetradition.",woher,"Indien, woher der beste Tee importiert wird, ist ein Land mit langer Teetradition.",,,
726,16,"_____ fleißig arbeitet, wird Erfolg haben.",Wer,"Wer fleißig arbeitet, wird Erfolg haben.",,,Whoever works hard will succeed.
727,16,"_____ zu spät kommt, muss draußen bleiben.",Wer,"Wer zu spät kommt, muss draußen bleiben.",,,Whoever arrives late must stay outside.
728,16,"_____ das versteht, ist richtig gut in Mathe.",Wer,"Wer das versteht, ist richtig gut in Mathe.",,,Whoever understands that is really good at math.
729,16,"_____ Hilfe braucht, kann mit mir reden.",Wer,"Wer Hilfe braucht, kann mit mir reden.",,,Whoever needs help can talk to me.
730,16,"_____ nicht zuhört, muss die Konsequenzen tragen.",Wer,"Wer nicht zuhört, muss die Konsequenzen tragen.",,,Whoever doesn’t listen must face the consequences.
731,16,"_____ du suchst, ist gerade nicht da.",Wen,"Wen du suchst, ist gerade nicht da.",,,The person you're looking for isn't here right now.
732,16,"Niemand weiß, _____ er eingeladen hat.",wen,"Niemand weiß, wen er eingeladen hat.",,,Nobody knows whom he invited.
733,16,"_____ sie liebt, ist ein Geheimnis.",Wen,"Wen sie liebt, ist ein Geheimnis.",,,Whom she loves is a secret.
734,16,"_____ man nicht kennt, soll man nicht sofort beurteilen.",Wen,"Wen man nicht kennt, soll man nicht sofort beurteilen.",,,You shouldn't judge someone you don't know.
735,16,"_____ das interessiert, kann mehr darüber lesen.",Wen,"Wen das interessiert, kann mehr darüber lesen.",,,Whoever is interested can read more about it.
736,16,"_____ du vertraust, ist deine Entscheidung.",Wem,"Wem du vertraust, ist deine Entscheidung.",,,Whom you trust is your decision.
737,16,"_____ ich geholfen habe, war sehr dankbar.",Wem,"Wem ich geholfen habe, war sehr dankbar.",,,The person I helped was very grateful.
738,16,"_____ man zuhört, sollte gut gewählt sein.",Wem,"Wem man zuhört, sollte gut gewählt sein.",,,Whom you listen to should be carefully chosen.
739,16,"_____ das gefällt, der kann sich anmelden.",Wem,"Wem das gefällt, der kann sich anmelden.",,,Whoever likes that can sign up.
740,16,"_____ er die Nachricht geschickt hat, weiß ich nicht.",Wem,"Wem er die Nachricht geschickt hat, weiß ich nicht.",,,I don't know to whom he sent the message.
741,16,"Ich weiß nicht, _____ Auto draußen parkt.",wessen,"Ich weiß nicht, wessen Auto draußen parkt.",,,I don't know whose car is parked outside.
742,16,"_____ Idee das war, hat den Wettbewerb gewonnen.",Wessen,"Wessen Idee das war, hat den Wettbewerb gewonnen.",,,Whose idea it was won the competition.
743,16,"_____ Meinung zählt, ist noch unklar.",Wessen,"Wessen Meinung zählt, ist noch unklar.",,,Whose opinion matters is still unclear.
744,16,"_____ Hund das ist, sollte ihn besser anleinen.",Wessen,"Wessen Hund das ist, sollte ihn besser anleinen.",,,Whoever owns that dog should keep it on a leash.
745,16,"Ich habe nicht verstanden, _____ Namen sie erwähnt hat.",wessen,"Ich habe nicht verstanden, wessen Namen sie erwähnt hat.",,,I didn’t catch whose name she mentioned.
746,16,"Alles, _____ passiert, hat einen Grund.",was,"Alles, was passiert, hat einen Grund.",,,Everything that happens has a reason.
747,16,"Etwas, _____ mir auffällt, ist die Ruhe hier.",was,"Etwas, was mir auffällt, ist die Ruhe hier.",,,Something that I notice is the quiet here.
748,16,"Nichts, _____ du sagst, überzeugt mich.",was,"Nichts, was du sagst, überzeugt mich.",,,Nothing you say convinces me.
749,16,"Vieles, _____ er erzählt, klingt unglaubwürdig.",was,"Vieles, was er erzählt, klingt unglaubwürdig.",,,A lot of what he says sounds unbelievable.
750,16,"_____ zählt, ist Ehrlichkeit.",Was,"Was zählt, ist Ehrlichkeit.",,,What matters is honesty.
751,16,"Alles, _____ ich gesagt habe, war die Wahrheit.",was,"Alles, was ich gesagt habe, war die Wahrheit.",,,Everything I said was the truth.
752,16,"Nichts, _____ sie getan hat, war richtig.",was,"Nichts, was sie getan hat, war richtig.",,,Nothing she did was right.
753,16,"Etwas, _____ ich nicht verstehe, ist deine Reaktion.",was,"Etwas, was ich nicht verstehe, ist deine Reaktion.",,,Something I don't understand is your reaction.
754,16,"_____ du gehört hast, stimmt nicht.",Was,"Was du gehört hast, stimmt nicht.",,,What you heard isn't true.
755,16,"Vieles, _____ wir gesehen haben, war beeindruckend.",was,"Vieles, was wir gesehen haben, war beeindruckend.",,,Much of what we saw was impressive.
756,16,"Alles, _____ mir gefällt, ist leider teuer.",was,"Alles, was mir gefällt, ist leider teuer.",,,Everything I like is unfortunately expensive.
757,16,"Nichts, _____ ihm geholfen hat, war legal.",was,"Nichts, was ihm geholfen hat, war legal.",,,Nothing that helped him was legal.
758,16,"Ich verstehe nicht, _____ ihr wichtig ist.",was,"Ich verstehe nicht, was ihr wichtig ist.",,,I don't understand what is important to her.
759,16,"Etwas, _____ uns fehlt, ist Geduld.",was,"Etwas, was uns fehlt, ist Geduld.",,,Something we're lacking is patience.
760,16,"Vieles, _____ den Kindern Spaß macht, ist heute verboten.",was,"Vieles, was den Kindern Spaß macht, ist heute verboten.",,,Many things children enjoy are forbidden today.
